Sample REF	0095AB4C-70E1-460B-AFEB-74AAB65D1E95
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.12398547
14-3-3_epsilon-M-C	0.0501820559999999
14-3-3_zeta-R-V	0.253687665
4E-BP1-R-V	0.39087208
4E-BP1_pS65-R-V	-0.171759452
4E-BP1_pT37_T46-R-V	-0.013397862
4E-BP1_pT70-R-V	0.378657211
53BP1-R-E	0.128511922
A-Raf_pS299-R-C	0.179061865
ACC_pS79-R-V	-0.094253094
ACC1-R-E	-0.289583752
Acetyl-a-Tubulin-Lys40-R-C	-0.300643636
ACVRL1-R-C	-0.0504567200000001
ADAR1-M-V	0.078963603
Akt-R-V	-0.796871906
Akt_pS473-R-V	-0.380274206
Akt_pT308-R-V	-0.311540419
alpha-Catenin-M-V	0.277251995
AMPK_alpha-R-C	0.382977544
AMPK_pT172-R-V	0.598921845
Annexin-1-M-E	-0.178817585
Annexin_VII-M-V	0.255335976
AR-R-V	-0.168499206
DIRAS3-M-E	0.030094763
ASNS-R-V	0.945361909
ATM-R-E	-0.515089843
B-Raf-M-C	0
Bad_pS112-R-V	0.094013568
Bak-R-C	-0.0552309109999998
Bap1-c-4-M-E	0.098237296
Bax-R-V	0.232752229
Bcl-2-M-V	0.024254988
Bcl-xL-R-V	0.079452744
Beclin-G-C	0.0385319040000001
beta-Catenin-R-V	0.430238308
Bid-R-C	-0.086769666
Bim-R-V	0.17541879
BRCA2-R-C	0.0946293699999998
c-Jun_pS73-R-V	-0.367166084
c-Kit-R-V	0.13058274
c-Met-M-E	4.468714669
c-Met_pY1235-R-V	0.0442610809999999
c-Myc-R-C	0.341755188
C-Raf-R-V	-0.261364558
C-Raf_pS338-R-V	0.00489348299999998
Caspase-7_cleavedD198-R-C	0.457908845
Caspase-8-M-E	3.467184402
Caveolin-1-R-V	-0.496458006
CD20-R-C	-0.0141247820000001
CD31-M-V	0.163671254
CD49b-M-V	0.0525038929999999
CDK1-R-V	0.232796166
Chk1-M-C	-0.146012396
Chk1_pS345-R-C	0.146941563
Chk2-M-E	0.577995736
Chk2_pT68-R-C	-0.024277068
cIAP-R-V	0.070663175
Claudin-7-R-V	1.630825983
Collagen_VI-R-V	0.161359685
Cyclin_B1-R-V	0.463711619
Cyclin_D1-R-V	-0.109153754
Cyclin_E1-M-V	0.240755399
Cyclin_E2-R-C	0.125752973
DJ-1-R-E	0.191068392
Dvl3-R-V	-0.319959037
E-Cadherin-R-V	0.401857156
eEF2-R-C	-0.18902879
eEF2K-R-V	-0.508812937
EGFR-R-V	-0.38715084
EGFR_pY1068-R-C	-0.00908814699999994
EGFR_pY1173-R-V	-0.022445461
eIF4E-R-V	0.366999472
eIF4G-R-C	-0.909631473
ER-alpha-R-V	1.373887285
ER-alpha_pS118-R-V	-0.044103059
ERCC1-M-V	-0.112415011
ERK2-R-E	-0.611172208
ETS-1-R-V	-0.00657148800000001
FASN-R-V	-0.750805226
Fibronectin-R-V	-0.391224456
FoxM1-R-V	0.143850364
FOXO3a-R-C	0.108387854
FOXO3a_pS318_S321-R-C	0.390885869
G6PD-M-V	-0.0870998590000003
GAB2-R-V	-0.750702609
GAPDH-M-C	0.246941486
GATA3-M-V	0.108616174
GSK3-alpha-beta-M-V	-0.0827484250000001
GSK3-alpha-beta_pS21_S9-R-V	-0.249529055
GSK3_pS9-R-V	-0.592137977
HER2-M-V	-0.129880933
HER2_pY1248-R-C	-0.037642018
HER3-R-V	0.162771737
HER3_pY1289-R-C	0.113484493
Heregulin-R-V	-0.107086928
HSP70-R-C	-0.2343528
IGFBP2-R-V	1.177740547
INPP4B-R-V	0.609710494
IRS1-R-V	-0.0931173680000001
JNK_pT183_pY185-R-V	-0.154118812
JNK2-R-C	-0.0298280980000001
Ku80-R-C	-0.053587605
Lck-R-V	0.116535313
LKB1-M-E	-0.0824122859999999
MAPK_pT202_Y204-R-V	-0.474646885
MEK1-R-V	0.114240221
MEK1_pS217_S221-R-V	-0.108146518
MIG-6-M-V	0.0475959029999999
Mre11-R-C	-0.056357722
MSH2-M-V	0.229758758
MSH6-R-C	0.047478286
mTOR-R-V	-0.034263012
mTOR_pS2448-R-C	0.019776113
MYH11-R-V	-1.104515137
