Sample REF	030704AA-5162-44EE-B68B-7D35FB6DD2A0
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.055507246
14-3-3_epsilon-M-C	-0.0786593780000001
14-3-3_zeta-R-V	0.013909944
4E-BP1-R-V	-0.261288397
4E-BP1_pS65-R-V	0.22634436
4E-BP1_pT37_T46-R-V	0.353112503
4E-BP1_pT70-R-V	-0.0190303000000001
53BP1-R-E	0.229888185
A-Raf_pS299-R-C	-0.308750791
ACC_pS79-R-V	0.22989868
ACC1-R-E	0.0703406139999999
Acetyl-a-Tubulin-Lys40-R-C	-0.127515978
ACVRL1-R-C	-0.0980219920000002
ADAR1-M-V	-0.10322238
Akt-R-V	0.558150831
Akt_pS473-R-V	0.438245003
Akt_pT308-R-V	0.284844932
alpha-Catenin-M-V	-0.177742562
AMPK_alpha-R-C	-0.064309409
AMPK_pT172-R-V	0.192436699
Annexin-1-M-E	1.00534039
Annexin_VII-M-V	-0.278029215
AR-R-V	0.085388285
DIRAS3-M-E	-0.0974058030000001
ASNS-R-V	-0.33366595
ATM-R-E	0.783954761
B-Raf-M-C	-0.051558616
Bad_pS112-R-V	-0.266222453
Bak-R-C	-0.0807285489999999
Bap1-c-4-M-E	-0.027946581
Bax-R-V	-0.146091881
Bcl-2-M-V	-0.243716858
Bcl-xL-R-V	0.117777333
Beclin-G-C	-0.120925051
beta-Catenin-R-V	0.30817985
Bid-R-C	-0.061829173
Bim-R-V	-0.828470313
BRCA2-R-C	-0.24120777
c-Jun_pS73-R-V	0.501754349
c-Kit-R-V	-0.240461468
c-Met-M-E	0.144705136
c-Met_pY1235-R-V	0.137311439
c-Myc-R-C	0.229778959
C-Raf-R-V	0.0455780649999999
C-Raf_pS338-R-V	0.195172521
Caspase-7_cleavedD198-R-C	-0.177884081
Caspase-8-M-E	-0.0189684449999999
Caveolin-1-R-V	0.506171659
CD20-R-C	-0.127968285
CD31-M-V	-0.0605802169999999
CD49b-M-V	0.553232279
CDK1-R-V	-0.288093114
Chk1-M-C	0.28433479
Chk1_pS345-R-C	-0.242780387
Chk2-M-E	-0.247750338
Chk2_pT68-R-C	-0.090206364
cIAP-R-V	-0.143253027
Claudin-7-R-V	-0.747419433
Collagen_VI-R-V	-0.206486189
Cyclin_B1-R-V	-0.199352201
Cyclin_D1-R-V	-0.009462949
Cyclin_E1-M-V	0.0246294799999999
Cyclin_E2-R-C	0.341261187
DJ-1-R-E	-0.0702929470000001
Dvl3-R-V	0.131510764
E-Cadherin-R-V	-0.624915524
eEF2-R-C	0.204858489
eEF2K-R-V	-0.240932328
EGFR-R-V	0.442813979
EGFR_pY1068-R-C	2.022503533
EGFR_pY1173-R-V	0.051860445
eIF4E-R-V	-0.072945574
eIF4G-R-C	0.164798209
ER-alpha-R-V	0.0129879840000001
ER-alpha_pS118-R-V	-0.118135421
ERCC1-M-V	-0.0421423499999999
ERK2-R-E	-0.123010269
ETS-1-R-V	0.032391781
FASN-R-V	0.073908172
Fibronectin-R-V	0.532884359
FoxM1-R-V	-0.303726526
FOXO3a-R-C	-0.161743911
FOXO3a_pS318_S321-R-C	-0.171650594
G6PD-M-V	-0.341746141
GAB2-R-V	0.024279074
GAPDH-M-C	-0.114617339
GATA3-M-V	-0.432934831
GSK3-alpha-beta-M-V	0.072599805
GSK3-alpha-beta_pS21_S9-R-V	-0.079186311
GSK3_pS9-R-V	-0.0991736579999999
HER2-M-V	3.132721584
HER2_pY1248-R-C	2.814057175
HER3-R-V	0.269201118
HER3_pY1289-R-C	0.106882515
Heregulin-R-V	0.203493557
HSP70-R-C	0.012793172
IGFBP2-R-V	1.22248791
INPP4B-R-V	-0.263896767
IRS1-R-V	0.227118306
JNK_pT183_pY185-R-V	0.0735276580000001
JNK2-R-C	0.058835745
Ku80-R-C	0.000405671999999968
Lck-R-V	-0.322731412
LKB1-M-E	0.00632823199999999
MAPK_pT202_Y204-R-V	0.0627047949999998
MEK1-R-V	0.104082507
MEK1_pS217_S221-R-V	0.137229284
MIG-6-M-V	0.188010202
Mre11-R-C	0
MSH2-M-V	-0.253227543
MSH6-R-C	-0.369528774
mTOR-R-V	0.209662814
mTOR_pS2448-R-C	0.077658017
MYH11-R-V	-0.96368403
Myosin-IIa_pS1943-R-V	0.359183632
N-Cadherin-R-V	0.319758687
N-Ras-M-V	-0.025938099
NDRG1_pT346-R-V	0.495201025
NF-kB-p65_pS536-R-C	-0.0740943400000001
NF2-R-C	0.177006372
Notch1-R-V	0.623604182
P-Cadherin-R-C	-0.269139327
p21-R-V	0.00699600099999997
p27-R-V	-0.255067471
p27_pT157-R-C	-0.08842088
p27_pT198-R-V	0.00789024699999996
p38_MAPK-R-V	0.2033771
p38_pT180_Y182-R-V	0.330972654
p53-R-E	-0.0513920119999997
p62-LCK-ligand-M-C	-0.13211033
p70S6K-R-V	0.015488319
p70S6K_pT389-R-V	0.213463957
p90RSK-R-C	-0.1346193
p90RSK_pT359_S363-R-C	0.211374205
PAI-1-M-E	0.742825212
PARP_cleaved-M-E	-0.0956161940000001
Paxillin-R-C	0.563369501
PCNA-M-C	0.181339816
PDCD4-R-C	0.163348841
PDK1-R-V	-0.107281639
PDK1_pS241-R-V	-0.125422153
PEA15-R-V	-0.274172232
PEA15_pS116-R-V	-0.069946547
PI3K-p110-alpha-R-C	-0.157066961
PI3K-p85-R-V	-0.0879004210000001
PKC-alpha-M-V	1.38316471
PKC-alpha_pS657-R-C	0.00476700699999988
PKC-delta_pS664-R-V	-0.236823397
PKC-pan_BetaII_pS660-R-V	0.0358476079999999
PR-R-V	0.0252404199999999
PRAS40_pT246-R-V	0.0524367
PRDX1-R-V	-0.688282198
PREX1-R-E	-0.148347815
PTEN-R-V	0.355134371
Rab11-R-E	-0.035976129
Rab25-R-V	-0.335634026
Rad50-M-V	-0.117617927
Rad51-R-V	0.222248054
Raptor-R-V	0.0618433369999999
Rb-M-E	0.0141657639999999
Rb_pS807_S811-R-V	0.493670306
RBM15-R-V	-0.479227779
Rictor-R-C	-0.259050753
Rictor_pT1135-R-V	-0.0339338300000001
S6-R-E	0.001598818
S6_pS235_S236-R-V	1.369842781
S6_pS240_S244-R-V	1.40632279
SCD-M-V	-0.153333407
SETD2-R-E	0.809171266
SF2-M-V	0.251274352
Shc_pY317-R-E	0.314366285
Smac-M-E	-0.478737872
Smad1-R-V	-0.150704071
Smad3-R-V	-0.074804262
Smad4-M-V	0.0528845729999999
Snail-M-E	0.197745862
Src-M-V	0.431122708
Src_pY416-R-C	0.459966755
Src_pY527-R-V	0.888805625
STAT3_pY705-R-V	0.023624575
STAT5-alpha-R-V	-0.414453514
Stathmin-R-V	-0.039109334
Syk-M-V	-0.450081663
TAZ-R-V	0.253079333
TIGAR-R-V	-0.228348451
Transglutaminase-M-V	-0.113162687
TFRC-R-V	0.420951186
TSC1-R-C	-0.135103776
TTF1-R-V	-0.090612051
Tuberin-R-E	-0.013498702
Tuberin_pT1462-R-V	-0.175244718
VEGFR2-R-V	0.204574748
EPPK1-M-E	-0.014801189
XBP1-G-C	-0.140178405
XRCC1-R-E	-0.145992014
YAP-R-E	-0.059308878
YAP_pS127-R-E	0.00687545099999992
YB-1-R-V	0.158050567
YB-1_pS102-R-V	0.102489432
JAB1-M-C	-0.146250994
PARP1-R-V	-0.531447363
A-Raf-R-V	-0.052958899
ARID1A-R-C	0.084087867
B-Raf_pS445-R-V	-0.104298142
Bcl2A1-R-V	0.214864015
BRD4-R-V	0.029262389
c-Abl-R-V	-0.099547968
Caspase-3-R-C	-0.216509066
CD26-R-V	-0.19470534
Chk1_pS296-R-V	0.0806773139999999
COG3-R-V	-0.041731682
DUSP4-R-V	1.743654452
ERCC5-R-C	-0.00243608100000003
IGF1R_pY1135_Y1136-R-V	0.0699366690000001
IRF-1-R-C	-0.032784028
Jak2-R-V	-0.095137337
p16_INK4a-R-V	0.045784611
SHP-2_pY542-R-C	0.689959485
CDK1_pY15-R-C	0.227227594
