Sample REF	03EE5C70-AD05-49F8-83F9-AB7C4A1F323A
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.00558458799999995
14-3-3_epsilon-M-C	-0.175859711
14-3-3_zeta-R-V	0.000265898999999958
4E-BP1-R-V	-0.051041743
4E-BP1_pS65-R-V	0.010245138
4E-BP1_pT37_T46-R-V	0.226877082
4E-BP1_pT70-R-V	0.156724901
53BP1-R-E	0.520657379
A-Raf_pS299-R-C	0
ACC_pS79-R-V	-0.09218849
ACC1-R-E	-0.702106936
Acetyl-a-Tubulin-Lys40-R-C	2.0302989
ACVRL1-R-C	-0.264792186
ADAR1-M-V	-0.261985966
Akt-R-V	0.358262579
Akt_pS473-R-V	0.436943365
Akt_pT308-R-V	0.168867941
alpha-Catenin-M-V	0.027241842
AMPK_alpha-R-C	0.263571793
AMPK_pT172-R-V	0.87846491
Annexin-1-M-E	-1.407623566
Annexin_VII-M-V	-0.310854803
AR-R-V	0.061490984
DIRAS3-M-E	-0.077591491
ASNS-R-V	-0.136869582
ATM-R-E	0.36685397
B-Raf-M-C	0.012003387
Bad_pS112-R-V	0.094665517
Bak-R-C	0.07638601
Bap1-c-4-M-E	0.025301961
Bax-R-V	0.144643231
Bcl-2-M-V	-0.532760831
Bcl-xL-R-V	0.0521257310000001
Beclin-G-C	0.0276216330000001
beta-Catenin-R-V	0.799643997
Bid-R-C	0.027241842
Bim-R-V	-0.84057391
BRCA2-R-C	-0.0530596320000001
c-Jun_pS73-R-V	0.022662183
c-Kit-R-V	0.475737445
c-Met-M-E	-0.187534174
c-Met_pY1235-R-V	-0.093554414
c-Myc-R-C	0.027241842
C-Raf-R-V	0.029170861
C-Raf_pS338-R-V	0.03921878
Caspase-7_cleavedD198-R-C	-1.167420269
Caspase-8-M-E	-0.391734039
Caveolin-1-R-V	0.445118329
CD20-R-C	0.093745916
CD31-M-V	0.00761527299999987
CD49b-M-V	0.0590576789999999
CDK1-R-V	-0.176542105
Chk1-M-C	-0.010274082
Chk1_pS345-R-C	0.229376459
Chk2-M-E	-0.0213419540000002
Chk2_pT68-R-C	-0.14254447
cIAP-R-V	0.060554368
Claudin-7-R-V	-0.408222436
Collagen_VI-R-V	-0.0185389540000001
Cyclin_B1-R-V	-0.175546129
Cyclin_D1-R-V	0.285827304
Cyclin_E1-M-V	-0.373831077
Cyclin_E2-R-C	-0.077505044
DJ-1-R-E	-0.00473887999999999
Dvl3-R-V	-0.020400344
E-Cadherin-R-V	0.698194089
eEF2-R-C	0.549306978
eEF2K-R-V	-0.585434945
EGFR-R-V	-0.343799512
EGFR_pY1068-R-C	-0.316289695
EGFR_pY1173-R-V	-0.02037266
eIF4E-R-V	-0.135367425
eIF4G-R-C	-0.046787562
ER-alpha-R-V	1.194625527
ER-alpha_pS118-R-V	0.184976375
ERCC1-M-V	0.019920285
ERK2-R-E	-0.059443601
ETS-1-R-V	0.333015802
FASN-R-V	-0.156816757
Fibronectin-R-V	0.122284329
FoxM1-R-V	-0.294382022
FOXO3a-R-C	-0.229618599
FOXO3a_pS318_S321-R-C	0.071664331
G6PD-M-V	-0.352325716
GAB2-R-V	0.877409757
GAPDH-M-C	-0.321667849
GATA3-M-V	0.61143971
GSK3-alpha-beta-M-V	-0.039180938
GSK3-alpha-beta_pS21_S9-R-V	0.268743741
GSK3_pS9-R-V	0.454541343
HER2-M-V	0.279903818
HER2_pY1248-R-C	-0.0593310079999999
HER3-R-V	0.0436291120000001
HER3_pY1289-R-C	0.00800492100000001
Heregulin-R-V	0.448824029
HSP70-R-C	-0.00443450499999998
IGFBP2-R-V	1.343613927
INPP4B-R-V	0.0255023600000004
IRS1-R-V	0.019152912
JNK_pT183_pY185-R-V	-0.0962726749999998
JNK2-R-C	0.038392014
Ku80-R-C	0.465513349
Lck-R-V	-0.122384301
LKB1-M-E	-0.146367226
MAPK_pT202_Y204-R-V	-0.00225020499999995
MEK1-R-V	-1.245002854
MEK1_pS217_S221-R-V	-0.058072795
MIG-6-M-V	0.185807006
Mre11-R-C	-0.093881534
MSH2-M-V	-0.235734931
MSH6-R-C	-0.427409789
mTOR-R-V	0.208260716
mTOR_pS2448-R-C	0.344423002
MYH11-R-V	0.93852083
Myosin-IIa_pS1943-R-V	-0.637052513
N-Cadherin-R-V	0.3473632
N-Ras-M-V	-0.131083463
NDRG1_pT346-R-V	-2.012602017
NF-kB-p65_pS536-R-C	0.458631989
NF2-R-C	0.344079768
Notch1-R-V	-0.104432243
P-Cadherin-R-C	-0.0869797509999999
p21-R-V	-0.260589536
p27-R-V	-0.322240915
p27_pT157-R-C	0.021394267
p27_pT198-R-V	-0.00294442599999997
p38_MAPK-R-V	-0.083927446
p38_pT180_Y182-R-V	-0.034120695
p53-R-E	-0.102100018
p62-LCK-ligand-M-C	-0.56004124
p70S6K-R-V	-0.074708022
p70S6K_pT389-R-V	-0.0705059909999999
p90RSK-R-C	0.153993015
p90RSK_pT359_S363-R-C	0.646203761
