Sample REF	04640F98-D09E-4760-9F47-5E68498D3176
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0173701779999998
14-3-3_epsilon-M-C	-0.142967772
14-3-3_zeta-R-V	-0.0621964749999999
4E-BP1-R-V	0.03638932
4E-BP1_pS65-R-V	-0.358008301
4E-BP1_pT37_T46-R-V	0.197833404
4E-BP1_pT70-R-V	-0.103257352
53BP1-R-E	0.209666204
A-Raf_pS299-R-C	-0.159664756
ACC_pS79-R-V	0.0833900990000001
ACC1-R-E	-0.154505217
Acetyl-a-Tubulin-Lys40-R-C	0.470748987
ACVRL1-R-C	-0.137159658
ADAR1-M-V	0.0259862710000001
Akt-R-V	0.046014208
Akt_pS473-R-V	0.886759714
Akt_pT308-R-V	0.330498294
alpha-Catenin-M-V	-0.138975259
AMPK_alpha-R-C	0.011062102
AMPK_pT172-R-V	0.165682694
Annexin-1-M-E	-0.131100727
Annexin_VII-M-V	-0.039002011
AR-R-V	0.167976262
DIRAS3-M-E	-0.095964152
ASNS-R-V	-0.443585182
ATM-R-E	0.669212988
B-Raf-M-C	0.0875429530000001
Bad_pS112-R-V	0.209014233
Bak-R-C	0.0752798600000002
Bap1-c-4-M-E	-0.00372358900000003
Bax-R-V	0.0961336580000001
Bcl-2-M-V	0.441515745
Bcl-xL-R-V	-0.113032732
Beclin-G-C	-0.187510933
beta-Catenin-R-V	0.223251584
Bid-R-C	-0.0630151049999999
Bim-R-V	0.346023606
BRCA2-R-C	0.0147067919999999
c-Jun_pS73-R-V	0.06436138
c-Kit-R-V	0.373104756
c-Met-M-E	-0.300584064
c-Met_pY1235-R-V	-0.156507163
c-Myc-R-C	-0.393186056
C-Raf-R-V	0.0884377210000001
C-Raf_pS338-R-V	-0.083941611
Caspase-7_cleavedD198-R-C	-0.169326915
Caspase-8-M-E	-0.220820302
Caveolin-1-R-V	0.333723188
CD20-R-C	-0.152779065
CD31-M-V	-0.118772535
CD49b-M-V	-0.150777248
CDK1-R-V	-0.053033109
Chk1-M-C	0.114414873
Chk1_pS345-R-C	0.102265233
Chk2-M-E	0.036169388
Chk2_pT68-R-C	-0.0563830919999999
cIAP-R-V	0.090779703
Claudin-7-R-V	-0.655821446
Collagen_VI-R-V	-0.094590492
Cyclin_B1-R-V	-0.58314354
Cyclin_D1-R-V	-0.185056598
Cyclin_E1-M-V	-0.319692509
Cyclin_E2-R-C	-0.0554125329999999
DJ-1-R-E	0.00202636400000004
Dvl3-R-V	-0.0892646459999999
E-Cadherin-R-V	0.479721017
eEF2-R-C	-0.086455551
eEF2K-R-V	0.0164393250000001
EGFR-R-V	0.000705861000000141
EGFR_pY1068-R-C	0.0189249790000001
EGFR_pY1173-R-V	-0.143732352
eIF4E-R-V	-0.0607471429999999
eIF4G-R-C	-0.00332907100000024
ER-alpha-R-V	0.657677692
ER-alpha_pS118-R-V	-0.0136598109999999
ERCC1-M-V	0.0938134610000001
ERK2-R-E	0.028070145
ETS-1-R-V	0.106809298
FASN-R-V	-0.665334077
Fibronectin-R-V	-0.396697788
FoxM1-R-V	1.055405584
FOXO3a-R-C	-0.124054452
FOXO3a_pS318_S321-R-C	0.0365006430000001
G6PD-M-V	-0.13223359
GAB2-R-V	0.0598077750000001
GAPDH-M-C	0.063586986
GATA3-M-V	0.845857054
GSK3-alpha-beta-M-V	0.00975007100000003
GSK3-alpha-beta_pS21_S9-R-V	0.255260083
GSK3_pS9-R-V	0.325112793
HER2-M-V	0.165764486
HER2_pY1248-R-C	0.00527929100000013
HER3-R-V	-0.0490634139999999
HER3_pY1289-R-C	-0.110776834
Heregulin-R-V	-0.00473192999999994
HSP70-R-C	-0.135445418
IGFBP2-R-V	-0.439809954
INPP4B-R-V	0.329151241
IRS1-R-V	-0.033433533
JNK_pT183_pY185-R-V	0.138060848
JNK2-R-C	0
Ku80-R-C	0.0809199540000001
Lck-R-V	0.711755788
LKB1-M-E	0.00352456000000001
MAPK_pT202_Y204-R-V	0.530794837
MEK1-R-V	0.12034711
MEK1_pS217_S221-R-V	-0.0573966989999999
MIG-6-M-V	-0.033881579
Mre11-R-C	-0.0166635129999999
MSH2-M-V	0.174025489
MSH6-R-C	0.211370482
mTOR-R-V	0.307765478
mTOR_pS2448-R-C	0.133749776
MYH11-R-V	-2.024836294
Myosin-IIa_pS1943-R-V	-0.173977934
N-Cadherin-R-V	-0.0108600419999999
N-Ras-M-V	-0.134277523
NDRG1_pT346-R-V	-0.363058337
NF-kB-p65_pS536-R-C	0.19194623
NF2-R-C	-0.00678350499999997
Notch1-R-V	0.102714967
P-Cadherin-R-C	-0.0210274010000002
p21-R-V	-2.041451243
p27-R-V	0.362927878
p27_pT157-R-C	-0.241726011
p27_pT198-R-V	0.0833900990000001
p38_MAPK-R-V	0.0500770200000001
p38_pT180_Y182-R-V	0.279153111
p53-R-E	0.000382730000000331
p62-LCK-ligand-M-C	0.147556073
p70S6K-R-V	-0.090704812
p70S6K_pT389-R-V	0.118643994
p90RSK-R-C	0.334960549
p90RSK_pT359_S363-R-C	0.440643499
PAI-1-M-E	-0.524070518
PARP_cleaved-M-E	-0.353329294
Paxillin-R-C	-0.052831757
PCNA-M-C	0.261104255
PDCD4-R-C	0.0833900990000001
PDK1-R-V	0.03405742
PDK1_pS241-R-V	0.0833900990000001
PEA15-R-V	-0.0390542219999999
PEA15_pS116-R-V	0.128457984
PI3K-p110-alpha-R-C	0.0114713860000001
PI3K-p85-R-V	0.219237357
PKC-alpha-M-V	-0.0764280309999998
PKC-alpha_pS657-R-C	0.00819526100000001
PKC-delta_pS664-R-V	0.0539259779999999
PKC-pan_BetaII_pS660-R-V	0.371990838
PR-R-V	-0.0421938849999999
PRAS40_pT246-R-V	0.0506823380000001
PRDX1-R-V	-0.607922859
PREX1-R-E	0.183603195
PTEN-R-V	-0.00874156399999992
Rab11-R-E	-0.130919515
Rab25-R-V	0.151287072
Rad50-M-V	-0.0744709429999999
Rad51-R-V	0.374056839
Raptor-R-V	-0.071232669
Rb-M-E	-0.244799584
Rb_pS807_S811-R-V	0.078432096
RBM15-R-V	0.0993015800000001
Rictor-R-C	-0.157299668
Rictor_pT1135-R-V	-0.028380693
S6-R-E	-0.232270893
S6_pS235_S236-R-V	-0.035323094
S6_pS240_S244-R-V	-0.136104595
SCD-M-V	-0.253387668
SETD2-R-E	-0.0876778599999999
SF2-M-V	-0.66113002
Shc_pY317-R-E	0.0369090890000001
Smac-M-E	0.121010519
Smad1-R-V	-0.0618621499999999
Smad3-R-V	-0.0823369849999999
Smad4-M-V	-0.0188233209999999
Snail-M-E	-0.280767198
Src-M-V	0.269119502
Src_pY416-R-C	-0.0153122569999999
Src_pY527-R-V	0.529950517
STAT3_pY705-R-V	0.630030299
STAT5-alpha-R-V	0.679931118
Stathmin-R-V	-0.115582013
Syk-M-V	-0.00457726099999989
TAZ-R-V	-0.034290523
TIGAR-R-V	0.057129184
Transglutaminase-M-V	0.574296501
TFRC-R-V	-1.131502747
TSC1-R-C	0.116046679
TTF1-R-V	-0.026793681
Tuberin-R-E	0.243874575
Tuberin_pT1462-R-V	0.05349516
VEGFR2-R-V	0.143890475
EPPK1-M-E	-0.404889957
XBP1-G-C	-0.379652754
XRCC1-R-E	0.110160469
YAP-R-E	-0.230591814
YAP_pS127-R-E	-0.487191841
YB-1-R-V	-0.190145402
YB-1_pS102-R-V	-0.056904297
JAB1-M-C	-0.184740133
PARP1-R-V	0.1819399
A-Raf-R-V	-0.0813327739999999
ARID1A-R-C	0.437446738
B-Raf_pS445-R-V	0.159164007
Bcl2A1-R-V	-0.0816221499999999
BRD4-R-V	0.222508922
c-Abl-R-V	-0.187465982
Caspase-3-R-C	-0.200461007
CD26-R-V	-0.151586565
Chk1_pS296-R-V	-0.109767886
COG3-R-V	0.11535267
DUSP4-R-V	0.0229418279999998
ERCC5-R-C	-0.311685139
IGF1R_pY1135_Y1136-R-V	-0.114404584
IRF-1-R-C	-0.089989213
Jak2-R-V	0.201511981
p16_INK4a-R-V	0.0445255510000001
SHP-2_pY542-R-C	0.0833900990000001
CDK1_pY15-R-C	0.467648219
