Sample REF	05E67180-E51A-488E-BD2D-BD24DA4F2D38
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0493184010000001
14-3-3_epsilon-M-C	-0.280893895
14-3-3_zeta-R-V	0.0115953279999998
4E-BP1-R-V	0.169426652
4E-BP1_pS65-R-V	0.0694355589999999
4E-BP1_pT37_T46-R-V	0.465188984
4E-BP1_pT70-R-V	0.298537517
53BP1-R-E	0.640166784
A-Raf_pS299-R-C	-0.0492603970000001
ACC_pS79-R-V	0.455159106
ACC1-R-E	0.0944775879999999
Acetyl-a-Tubulin-Lys40-R-C	-0.070768379
ACVRL1-R-C	-0.123614007
ADAR1-M-V	-0.107590825
Akt-R-V	0.304479145
Akt_pS473-R-V	2.231441407
Akt_pT308-R-V	1.945201944
alpha-Catenin-M-V	-0.145747922
AMPK_alpha-R-C	0.41706376
AMPK_pT172-R-V	0.429219862
Annexin-1-M-E	-0.120348666
Annexin_VII-M-V	-0.10785924
AR-R-V	0.444743668
DIRAS3-M-E	-0.0909519840000001
ASNS-R-V	-0.598267171
ATM-R-E	0.556602394
B-Raf-M-C	-0.0664112090000001
Bad_pS112-R-V	0.386456152
Bak-R-C	-0.274939916
Bap1-c-4-M-E	0.173900589
Bax-R-V	0.0708145459999998
Bcl-2-M-V	0.079408098
Bcl-xL-R-V	-0.0806041670000001
Beclin-G-C	0.00553570399999992
beta-Catenin-R-V	0.363640319
Bid-R-C	0.14549246
Bim-R-V	0.264779528
BRCA2-R-C	-0.101852364
c-Jun_pS73-R-V	-0.121430013
c-Kit-R-V	0.481061675
c-Met-M-E	-0.0869730920000003
c-Met_pY1235-R-V	-0.0699292060000001
c-Myc-R-C	-0.257292069
C-Raf-R-V	-0.281886713
C-Raf_pS338-R-V	0.0783089009999999
Caspase-7_cleavedD198-R-C	-0.518470812
Caspase-8-M-E	-0.132165954
Caveolin-1-R-V	0.290599047
CD20-R-C	0.14225024
CD31-M-V	-0.112695795
CD49b-M-V	-0.248600574
CDK1-R-V	0.0760124579999999
Chk1-M-C	0.303735994
Chk1_pS345-R-C	0.305178413
Chk2-M-E	0.397633463
Chk2_pT68-R-C	0.11555478
cIAP-R-V	-0.0925798990000001
Claudin-7-R-V	0.528521197
Collagen_VI-R-V	-0.270093587
Cyclin_B1-R-V	-0.0640143000000001
Cyclin_D1-R-V	0.325361277
Cyclin_E1-M-V	-0.569005824
Cyclin_E2-R-C	-0.00268332100000007
DJ-1-R-E	0.103716356
Dvl3-R-V	0.0609243129999999
E-Cadherin-R-V	0.799574455
eEF2-R-C	-0.47631991
eEF2K-R-V	0.205563961
EGFR-R-V	-0.049660644
EGFR_pY1068-R-C	0.0636959970000002
EGFR_pY1173-R-V	0.0364211759999999
eIF4E-R-V	-0.0828212650000001
eIF4G-R-C	-0.127277453
ER-alpha-R-V	0.838044139
ER-alpha_pS118-R-V	0.00708000799999997
ERCC1-M-V	0.308989865
ERK2-R-E	0.0975785759999999
ETS-1-R-V	-0.175638895
FASN-R-V	-0.065941596
Fibronectin-R-V	-0.135555719
FoxM1-R-V	0.137562936
FOXO3a-R-C	-0.131564098
FOXO3a_pS318_S321-R-C	0.387326084
G6PD-M-V	-0.491632786
GAB2-R-V	-0.413352406
GAPDH-M-C	-0.59211334
GATA3-M-V	-0.391802576
GSK3-alpha-beta-M-V	0.17789754
GSK3-alpha-beta_pS21_S9-R-V	0.76054754
GSK3_pS9-R-V	1.276188246
HER2-M-V	0.341809155
HER2_pY1248-R-C	0.164100967
HER3-R-V	-0.082317623
HER3_pY1289-R-C	-0.0764988190000001
Heregulin-R-V	-0.248216494
HSP70-R-C	0.105501906
IGFBP2-R-V	2.00019961
INPP4B-R-V	-0.17017968
IRS1-R-V	-0.15684102
JNK_pT183_pY185-R-V	-0.116780407
JNK2-R-C	-0.109659254
Ku80-R-C	0.517376275
Lck-R-V	-0.506713617
LKB1-M-E	-0.0060369500000001
MAPK_pT202_Y204-R-V	-0.0272749600000002
MEK1-R-V	0.377706932
MEK1_pS217_S221-R-V	-0.00265062200000005
MIG-6-M-V	-0.177366904
Mre11-R-C	0.073961183
MSH2-M-V	0.142817761
MSH6-R-C	0.632265877
mTOR-R-V	0.408368935
mTOR_pS2448-R-C	0.206029687
MYH11-R-V	1.59057237
Myosin-IIa_pS1943-R-V	-0.387884441
N-Cadherin-R-V	0.0502980839999999
N-Ras-M-V	0.0458058069999999
NDRG1_pT346-R-V	2.610631557
NF-kB-p65_pS536-R-C	-0.102840655
NF2-R-C	0.22847236
Notch1-R-V	0.0714492549999998
P-Cadherin-R-C	0.0052122659999998
p21-R-V	0.327903262
p27-R-V	0.201254027
p27_pT157-R-C	-0.185132046
p27_pT198-R-V	-0.0484721940000001
p38_MAPK-R-V	0.069426672
p38_pT180_Y182-R-V	0.652718937
p53-R-E	0.157207982
p62-LCK-ligand-M-C	-0.15763723
p70S6K-R-V	0.18253404
p70S6K_pT389-R-V	0.179029523
p90RSK-R-C	0.277275013
p90RSK_pT359_S363-R-C	-0.0484740170000002
PAI-1-M-E	-1.114723116
PARP_cleaved-M-E	-0.10338847
