Sample REF	05FAF119-1842-40FE-9B3D-A97D8E6B9662
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.05142146
14-3-3_epsilon-M-C	-0.043432206
14-3-3_zeta-R-V	-0.2081214
4E-BP1-R-V	-0.24391541
4E-BP1_pS65-R-V	0.111295593
4E-BP1_pT37_T46-R-V	0.58432808
4E-BP1_pT70-R-V	-0.320946334
53BP1-R-E	-0.136159001
A-Raf_pS299-R-C	0.241776382
ACC_pS79-R-V	-0.072205423
ACC1-R-E	0.064944003
Acetyl-a-Tubulin-Lys40-R-C	-2.136312293
ACVRL1-R-C	0.021119035
ADAR1-M-V	-0.0959560679999999
Akt-R-V	0.504474146
Akt_pS473-R-V	1.530586417
Akt_pT308-R-V	0.973421234
alpha-Catenin-M-V	0.152810353
AMPK_alpha-R-C	0.0335564959999999
AMPK_pT172-R-V	0.153641392
Annexin-1-M-E	-0.256904795
Annexin_VII-M-V	0.13551915
AR-R-V	0.305413882
DIRAS3-M-E	0.0577506179999999
ASNS-R-V	0.372580111
ATM-R-E	-0.228803833
B-Raf-M-C	-0.0669189860000001
Bad_pS112-R-V	0.177368413
Bak-R-C	-0.0405689399999999
Bap1-c-4-M-E	0.0439631779999999
Bax-R-V	-0.0218816650000001
Bcl-2-M-V	0.63963567
Bcl-xL-R-V	0.288057053
Beclin-G-C	-0.232698762
beta-Catenin-R-V	-0.070196818
Bid-R-C	-0.02209132
Bim-R-V	-0.202719672
BRCA2-R-C	-0.0761500320000001
c-Jun_pS73-R-V	0.0432279119999997
c-Kit-R-V	-0.0468322359999999
c-Met-M-E	-0.019523546
c-Met_pY1235-R-V	0.0174490419999999
c-Myc-R-C	0.143679168
C-Raf-R-V	-0.250679019
C-Raf_pS338-R-V	0.0811725529999999
Caspase-7_cleavedD198-R-C	-0.921024996
Caspase-8-M-E	-0.0932357040000002
Caveolin-1-R-V	1.236537173
CD20-R-C	-0.00329986600000004
CD31-M-V	-0.0531436039999999
CD49b-M-V	-0.398514203
CDK1-R-V	0.02354028
Chk1-M-C	-0.0477826460000001
Chk1_pS345-R-C	-0.0987771080000001
Chk2-M-E	-0.191257473
Chk2_pT68-R-C	-0.035564524
cIAP-R-V	-0.132587133
Claudin-7-R-V	0.391360803
Collagen_VI-R-V	-0.0941341640000001
Cyclin_B1-R-V	0
Cyclin_D1-R-V	-0.230095426
Cyclin_E1-M-V	0.020204129
Cyclin_E2-R-C	-0.140463841
DJ-1-R-E	0.298127234
Dvl3-R-V	-0.135416731
E-Cadherin-R-V	0.50360394
eEF2-R-C	-0.0391299470000001
eEF2K-R-V	0.0494192360000001
EGFR-R-V	0.033833601
EGFR_pY1068-R-C	0.395955409
EGFR_pY1173-R-V	0.0753185279999999
eIF4E-R-V	0.04676466
eIF4G-R-C	-0.36421118
ER-alpha-R-V	1.679052777
ER-alpha_pS118-R-V	0.188832303
ERCC1-M-V	-0.0875233100000001
ERK2-R-E	-0.117116595
ETS-1-R-V	-0.0827012150000001
FASN-R-V	0.187649621
Fibronectin-R-V	0.795975276
FoxM1-R-V	0.0544660239999999
FOXO3a-R-C	0.0199825949999999
FOXO3a_pS318_S321-R-C	0.18140222
G6PD-M-V	0.030983807
GAB2-R-V	0.20686511
GAPDH-M-C	-0.031682107
GATA3-M-V	0.694053675
GSK3-alpha-beta-M-V	0.00985548799999986
GSK3-alpha-beta_pS21_S9-R-V	0.447049408
GSK3_pS9-R-V	0.326564399
HER2-M-V	0.131573711
HER2_pY1248-R-C	0.166556333
HER3-R-V	-0.10585034
HER3_pY1289-R-C	-0.0537970810000001
Heregulin-R-V	0.131566497
HSP70-R-C	0.079138863
IGFBP2-R-V	1.734925339
INPP4B-R-V	0.105011955
IRS1-R-V	-0.0499947420000001
JNK_pT183_pY185-R-V	0.348823414
JNK2-R-C	0.0323585769999999
Ku80-R-C	0.111456001
Lck-R-V	-0.0508144500000001
LKB1-M-E	0.056733397
MAPK_pT202_Y204-R-V	1.659573668
MEK1-R-V	0.0370193859999999
MEK1_pS217_S221-R-V	0.494312822
MIG-6-M-V	-0.0696706430000001
Mre11-R-C	0.021382235
MSH2-M-V	0.0484786019999997
MSH6-R-C	-0.029275831
mTOR-R-V	-0.252866375
mTOR_pS2448-R-C	0.0615173010000001
MYH11-R-V	2.200309132
Myosin-IIa_pS1943-R-V	-0.271975258
N-Cadherin-R-V	-0.068252331
N-Ras-M-V	0.0446135629999999
NDRG1_pT346-R-V	-0.419629165
NF-kB-p65_pS536-R-C	-0.20521796
NF2-R-C	0.0930812079999999
Notch1-R-V	-0.330894777
P-Cadherin-R-C	0.0786814389999997
p21-R-V	-0.556600062
p27-R-V	0.02322634
p27_pT157-R-C	-0.082026073
p27_pT198-R-V	-0.0349251470000001
p38_MAPK-R-V	-0.020598904
p38_pT180_Y182-R-V	0.481476966
p53-R-E	-0.00866239399999963
p62-LCK-ligand-M-C	0.014990058
p70S6K-R-V	-0.261593727
p70S6K_pT389-R-V	0.0319816769999999
p90RSK-R-C	0.00797369799999995
p90RSK_pT359_S363-R-C	0.459435638
PAI-1-M-E	-1.118734431
PARP_cleaved-M-E	0.05121626
Paxillin-R-C	-0.190747437
PCNA-M-C	0.378139554
PDCD4-R-C	1.846295071
PDK1-R-V	-0.0770779980000001
PDK1_pS241-R-V	-0.128056716
PEA15-R-V	-0.114289102
PEA15_pS116-R-V	-0.35537214
PI3K-p110-alpha-R-C	-0.121691442
PI3K-p85-R-V	-0.0456768300000001
PKC-alpha-M-V	0.470425797
PKC-alpha_pS657-R-C	0.798836466
PKC-delta_pS664-R-V	-0.0695605600000002
PKC-pan_BetaII_pS660-R-V	0.411216678
PR-R-V	0.135349588
PRAS40_pT246-R-V	0.518128022
PRDX1-R-V	-0.0144691440000001
PREX1-R-E	-0.385609008
