Sample REF	07182B36-7B4A-4EE6-9A92-E922AC718242
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0454935689999998
14-3-3_epsilon-M-C	-0.0639738299999999
14-3-3_zeta-R-V	-0.409690941
4E-BP1-R-V	-0.108684145
4E-BP1_pS65-R-V	0.0259097590000001
4E-BP1_pT37_T46-R-V	0.109726786
4E-BP1_pT70-R-V	0.0845353480000001
53BP1-R-E	0.254002102
A-Raf_pS299-R-C	-0.0893672439999999
ACC_pS79-R-V	0.0684231430000001
ACC1-R-E	-0.0354719029999999
Acetyl-a-Tubulin-Lys40-R-C	0.839800904
ACVRL1-R-C	0.0119561510000001
ADAR1-M-V	0.293302322
Akt-R-V	0.0430894500000001
Akt_pS473-R-V	-0.00678400899999998
Akt_pT308-R-V	-0.123611573
alpha-Catenin-M-V	0
AMPK_alpha-R-C	0.673498717
AMPK_pT172-R-V	-0.281382623
Annexin-1-M-E	-0.790335651
Annexin_VII-M-V	-0.024652525
AR-R-V	-0.0188064819999999
DIRAS3-M-E	-0.0423349559999999
ASNS-R-V	-0.472066194
ATM-R-E	0.697614857
B-Raf-M-C	0.248489689
Bad_pS112-R-V	0.110690095
Bak-R-C	-0.0122566359999998
Bap1-c-4-M-E	0.026552508
Bax-R-V	-0.320574444
Bcl-2-M-V	0.316362379
Bcl-xL-R-V	-0.0959306579999999
Beclin-G-C	0.109290581
beta-Catenin-R-V	-0.142553096
Bid-R-C	-0.0867447719999999
Bim-R-V	0.228918578
BRCA2-R-C	-0.0237621809999999
c-Jun_pS73-R-V	0.137647804
c-Kit-R-V	0.0412705920000001
c-Met-M-E	-0.0151023900000002
c-Met_pY1235-R-V	-0.0242556319999999
c-Myc-R-C	1.324230369
C-Raf-R-V	-0.180273539
C-Raf_pS338-R-V	-0.105043731
Caspase-7_cleavedD198-R-C	-0.402130543
Caspase-8-M-E	0.133241272
Caveolin-1-R-V	0.301463645
CD20-R-C	-0.00257607799999993
CD31-M-V	-0.0155649529999999
CD49b-M-V	0.310294788
CDK1-R-V	0.270839839
Chk1-M-C	-0.24457905
Chk1_pS345-R-C	-0.0494250989999999
Chk2-M-E	-0.00609890699999993
Chk2_pT68-R-C	0.00485405800000016
cIAP-R-V	0.0733489070000001
Claudin-7-R-V	-1.080078746
Collagen_VI-R-V	-0.140060816
Cyclin_B1-R-V	-0.291640033
Cyclin_D1-R-V	0.0839930460000001
Cyclin_E1-M-V	-0.340200373
Cyclin_E2-R-C	-0.0176835519999999
DJ-1-R-E	0.00283268700000008
Dvl3-R-V	0.00629666100000004
E-Cadherin-R-V	0.061617616
eEF2-R-C	-0.0494882149999999
eEF2K-R-V	1.185677937
EGFR-R-V	0.511200839
EGFR_pY1068-R-C	0.0900036480000004
EGFR_pY1173-R-V	-0.08609135
eIF4E-R-V	-0.165969251
eIF4G-R-C	0.300289155
ER-alpha-R-V	1.23586294
ER-alpha_pS118-R-V	0.0689120670000001
ERCC1-M-V	0.0481133710000001
ERK2-R-E	-0.154547058
ETS-1-R-V	0.0136987270000001
FASN-R-V	0.108581274
Fibronectin-R-V	-0.338211963
FoxM1-R-V	0.201316045
