Sample REF	094DF0CC-0C59-4855-B581-56FB17D71468
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.042781851
14-3-3_epsilon-M-C	-0.0298633100000001
14-3-3_zeta-R-V	-0.34687006
4E-BP1-R-V	0.392070538
4E-BP1_pS65-R-V	0.021896285
4E-BP1_pT37_T46-R-V	-0.776303091
4E-BP1_pT70-R-V	-0.299464361
53BP1-R-E	0.411025568
A-Raf_pS299-R-C	-0.144375202
ACC_pS79-R-V	0.176799292
ACC1-R-E	0.52049062
Acetyl-a-Tubulin-Lys40-R-C	-0.416255023
ACVRL1-R-C	0.189777819
ADAR1-M-V	0.149204276
Akt-R-V	0.00910404899999995
Akt_pS473-R-V	-0.390085832
Akt_pT308-R-V	-0.401099441
alpha-Catenin-M-V	-0.112252524
AMPK_alpha-R-C	0.024544537
AMPK_pT172-R-V	0.148952328
Annexin-1-M-E	-1.028441206
Annexin_VII-M-V	-0.058444629
AR-R-V	-0.020914681
DIRAS3-M-E	0.110442954
ASNS-R-V	0.65892979
ATM-R-E	0.399361682
B-Raf-M-C	-0.213211153
Bad_pS112-R-V	-0.554312293
Bak-R-C	0.17170248
Bap1-c-4-M-E	0.644982868
Bax-R-V	-0.077758848
Bcl-2-M-V	2.589418114
Bcl-xL-R-V	-0.329540309
Beclin-G-C	0.293311101
beta-Catenin-R-V	-0.271929583
Bid-R-C	-0.057523553
Bim-R-V	1.417805801
BRCA2-R-C	0.0961188849999999
c-Jun_pS73-R-V	-0.140589029
c-Kit-R-V	0.464833052
c-Met-M-E	0.185996539
c-Met_pY1235-R-V	0.132630447
c-Myc-R-C	0.604159896
C-Raf-R-V	0.073204741
C-Raf_pS338-R-V	-0.161232471
Caspase-7_cleavedD198-R-C	0.474279263
Caspase-8-M-E	0.0878553120000001
Caveolin-1-R-V	1.560467706
CD20-R-C	0.0928909739999999
CD31-M-V	0.0216382960000001
CD49b-M-V	-0.257824974
CDK1-R-V	0.211530294
Chk1-M-C	0.303713839
Chk1_pS345-R-C	-0.179685134
Chk2-M-E	0.858945667
Chk2_pT68-R-C	0.067864704
cIAP-R-V	0.118977842
Claudin-7-R-V	0.728451003
Collagen_VI-R-V	0.043501084
Cyclin_B1-R-V	0.278721462
Cyclin_D1-R-V	-0.0598689529999999
Cyclin_E1-M-V	0.246343231
Cyclin_E2-R-C	0.142466971
DJ-1-R-E	-0.059125165
Dvl3-R-V	-0.192734682
E-Cadherin-R-V	-0.528916405
eEF2-R-C	0.205814653
eEF2K-R-V	0.833930375
EGFR-R-V	-0.393490913
EGFR_pY1068-R-C	-0.188112991
EGFR_pY1173-R-V	0.078783325
eIF4E-R-V	0.138079944
eIF4G-R-C	0.102367434
ER-alpha-R-V	-0.792992063
ER-alpha_pS118-R-V	0.0692029160000001
ERCC1-M-V	-0.1026287
ERK2-R-E	-0.101905776
ETS-1-R-V	0.012828964
FASN-R-V	0.294749489
Fibronectin-R-V	0.000257358999999902
FoxM1-R-V	0.362165301
FOXO3a-R-C	0.0156530229999998
FOXO3a_pS318_S321-R-C	-0.0168079240000001
G6PD-M-V	-0.343448022
GAB2-R-V	0.19272898
