Sample REF	0BB4A1E7-3861-4E40-895F-0C25B47E8E57
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.190859469
14-3-3_epsilon-M-C	-0.077215467
14-3-3_zeta-R-V	-0.230935688
4E-BP1-R-V	0.289226076
4E-BP1_pS65-R-V	0.169567539
4E-BP1_pT37_T46-R-V	0.095972492
4E-BP1_pT70-R-V	0.190979443
53BP1-R-E	0.064420809
A-Raf_pS299-R-C	0.107971031
ACC_pS79-R-V	0.318664773
ACC1-R-E	-0.079365421
Acetyl-a-Tubulin-Lys40-R-C	0.310618252
ACVRL1-R-C	0.0299048630000001
ADAR1-M-V	0.040391098
Akt-R-V	0.227243482
Akt_pS473-R-V	0.191329929
Akt_pT308-R-V	0.0392953380000001
alpha-Catenin-M-V	-0.0252108190000002
AMPK_alpha-R-C	0.0224191380000001
AMPK_pT172-R-V	0.162769779
Annexin-1-M-E	0.138378212
Annexin_VII-M-V	-0.09958617
AR-R-V	-0.064850234
DIRAS3-M-E	0.00194443
ASNS-R-V	-0.723359773
ATM-R-E	0.278381174
B-Raf-M-C	0.189437063
Bad_pS112-R-V	0.320905663
Bak-R-C	-0.156562935
Bap1-c-4-M-E	-0.0988472149999999
Bax-R-V	-0.135249355
Bcl-2-M-V	-0.0543508539999999
Bcl-xL-R-V	-0.301545332
Beclin-G-C	-0.080377148
beta-Catenin-R-V	0.450528196
Bid-R-C	-0.087004926
Bim-R-V	0.242876228
BRCA2-R-C	-0.119885767
c-Jun_pS73-R-V	-0.053974325
c-Kit-R-V	0.364475934
c-Met-M-E	-0.347080444
c-Met_pY1235-R-V	-0.0604683210000001
c-Myc-R-C	0.0913420500000001
C-Raf-R-V	0.067678934
C-Raf_pS338-R-V	0.00661810200000001
Caspase-7_cleavedD198-R-C	-0.127565173
Caspase-8-M-E	0.0337894140000001
Caveolin-1-R-V	0.426967373
CD20-R-C	-0.114044256
CD31-M-V	-0.0490223859999999
CD49b-M-V	-0.133200448
CDK1-R-V	0.00876144300000004
Chk1-M-C	0.151802808
Chk1_pS345-R-C	0.264674871
Chk2-M-E	-0.24442777
Chk2_pT68-R-C	-0.0335725099999999
cIAP-R-V	-0.033401486
Claudin-7-R-V	-0.153028751
Collagen_VI-R-V	0.056957808
Cyclin_B1-R-V	0.02262303
Cyclin_D1-R-V	-0.140143946
Cyclin_E1-M-V	-0.305323165
Cyclin_E2-R-C	-0.107193041
DJ-1-R-E	0.061024668
Dvl3-R-V	0.142505014
E-Cadherin-R-V	-0.160393095
eEF2-R-C	-0.134274848
eEF2K-R-V	0.312438215
EGFR-R-V	0.486178905
EGFR_pY1068-R-C	-0.187552866
EGFR_pY1173-R-V	-0.089587028
eIF4E-R-V	-0.052202217
eIF4G-R-C	0.466612008
ER-alpha-R-V	-0.17078419
ER-alpha_pS118-R-V	-0.076105774
ERCC1-M-V	0.143540957
ERK2-R-E	0.052605678
ETS-1-R-V	-0.149480349
FASN-R-V	0.241422118
Fibronectin-R-V	0.384671232
FoxM1-R-V	-0.0897936539999999
