Sample REF	0C3AE6A1-F10D-4EE1-A357-D2F3E0F217D1
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.36134231
14-3-3_epsilon-M-C	-0.275084318
14-3-3_zeta-R-V	1.148319261
4E-BP1-R-V	0.710807835
4E-BP1_pS65-R-V	0.158632867
4E-BP1_pT37_T46-R-V	0.778901668
4E-BP1_pT70-R-V	0.791626136
53BP1-R-E	-1.552131433
A-Raf_pS299-R-C	-0.209473297
ACC_pS79-R-V	-0.734772511999999
ACC1-R-E	-0.50203676
Acetyl-a-Tubulin-Lys40-R-C	-0.894556103
ACVRL1-R-C	0.185462986
ADAR1-M-V	-0.399308699
Akt-R-V	-2.595737294
Akt_pS473-R-V	-0.377180253
Akt_pT308-R-V	-0.743155728
alpha-Catenin-M-V	0.169572889
AMPK_alpha-R-C	0.489142617
AMPK_pT172-R-V	-0.990794734
Annexin-1-M-E	0.254551355
Annexin_VII-M-V	-0.0687074709999997
AR-R-V	-0.146161641
DIRAS3-M-E	0.360656195
ASNS-R-V	0.694246395
ATM-R-E	-1.382975755
B-Raf-M-C	-1.954284039
Bad_pS112-R-V	0
Bak-R-C	-0.3556682
Bap1-c-4-M-E	-0.797569452
Bax-R-V	0.846071754
Bcl-2-M-V	0.840035476
Bcl-xL-R-V	0.362126624
Beclin-G-C	-0.39908454
beta-Catenin-R-V	-2.750833076
Bid-R-C	0.265329695
Bim-R-V	-0.260957223
BRCA2-R-C	0.0841270440000002
c-Jun_pS73-R-V	-0.280814169
c-Kit-R-V	0.762759972
c-Met-M-E	0.270501322
c-Met_pY1235-R-V	0.433797297
c-Myc-R-C	0.846593465
C-Raf-R-V	-0.447330937
C-Raf_pS338-R-V	0.448545644
Caspase-7_cleavedD198-R-C	1.26908932
Caspase-8-M-E	0.239956716
Caveolin-1-R-V	0.700299855
CD20-R-C	-0.151107141
CD31-M-V	0.671333663
CD49b-M-V	0.21892315
CDK1-R-V	0.0923288780000002
Chk1-M-C	-1.365859489
Chk1_pS345-R-C	-0.785983462
Chk2-M-E	-0.766418269
Chk2_pT68-R-C	0.587643107
cIAP-R-V	0.0651327360000002
Claudin-7-R-V	0.0178578670000002
Collagen_VI-R-V	1.292757244
Cyclin_B1-R-V	-0.834137358
Cyclin_D1-R-V	0.873702302
Cyclin_E1-M-V	-0.047909086
Cyclin_E2-R-C	-0.348945701
DJ-1-R-E	0.719698998
Dvl3-R-V	-0.456478709
E-Cadherin-R-V	-3.264733821
eEF2-R-C	-0.948976572
eEF2K-R-V	-1.442461451
EGFR-R-V	-0.139817077
EGFR_pY1068-R-C	-0.615135411
EGFR_pY1173-R-V	0.354649898
eIF4E-R-V	0.273432448
eIF4G-R-C	-1.834653179
ER-alpha-R-V	-0.53884178
ER-alpha_pS118-R-V	-0.301561397
ERCC1-M-V	-1.430854057
ERK2-R-E	-2.263804029
ETS-1-R-V	0.429017604
FASN-R-V	-0.234388657
Fibronectin-R-V	1.55301608
FoxM1-R-V	-0.0204563729999998
FOXO3a-R-C	0.223292269
FOXO3a_pS318_S321-R-C	0.156797933
G6PD-M-V	-0.0343564539999999
GAB2-R-V	-0.281834776
GAPDH-M-C	1.111382163
GATA3-M-V	0.128912132000001
GSK3-alpha-beta-M-V	-1.660106367
GSK3-alpha-beta_pS21_S9-R-V	-0.870297745
GSK3_pS9-R-V	-1.362794245
HER2-M-V	-1.642589069
HER2_pY1248-R-C	-0.0555876319999997
HER3-R-V	0.334742486
HER3_pY1289-R-C	0.189659241
Heregulin-R-V	0.352607226
HSP70-R-C	1.331880112
IGFBP2-R-V	0.284525561
INPP4B-R-V	-0.0994398689999996
IRS1-R-V	-0.0853563209999997
JNK_pT183_pY185-R-V	0.036146271
JNK2-R-C	-1.434525736
Ku80-R-C	-0.758170784
Lck-R-V	0.223051971
LKB1-M-E	0.358464658
MAPK_pT202_Y204-R-V	0.513041334
MEK1-R-V	-0.285183211
MEK1_pS217_S221-R-V	0.590808302
MIG-6-M-V	0.274025334
Mre11-R-C	0.603996901
MSH2-M-V	-0.840674129
MSH6-R-C	-1.459057978
mTOR-R-V	-1.243196565
mTOR_pS2448-R-C	-0.813407144
MYH11-R-V	1.362303851
Myosin-IIa_pS1943-R-V	-0.835374684
N-Cadherin-R-V	0.429593793
N-Ras-M-V	0.457283577
NDRG1_pT346-R-V	0.573413928
NF-kB-p65_pS536-R-C	0.00608564900000008
NF2-R-C	-0.711633561
Notch1-R-V	-0.18846221
P-Cadherin-R-C	-0.252202428
p21-R-V	1.502020175
p27-R-V	0.406896059
p27_pT157-R-C	0.366338149
p27_pT198-R-V	0.0667736860000003
p38_MAPK-R-V	-0.334130397
p38_pT180_Y182-R-V	0.469553692
p53-R-E	0.134240411
p62-LCK-ligand-M-C	-1.029547193
p70S6K-R-V	-1.15250561
p70S6K_pT389-R-V	-0.0957281009999997
p90RSK-R-C	-0.591497085
p90RSK_pT359_S363-R-C	-0.390701624
PAI-1-M-E	0.397051209
PARP_cleaved-M-E	0.589603586
Paxillin-R-C	-1.07026721
PCNA-M-C	0.0350817270000001
PDCD4-R-C	0.102889302
PDK1-R-V	0.161294444
PDK1_pS241-R-V	-1.01013766
PEA15-R-V	0.565306443
PEA15_pS116-R-V	-0.307333836
PI3K-p110-alpha-R-C	-0.438780391
PI3K-p85-R-V	-1.115704636
PKC-alpha-M-V	0.563939153
PKC-alpha_pS657-R-C	-0.793615196
PKC-delta_pS664-R-V	-0.500443897
PKC-pan_BetaII_pS660-R-V	-1.733576803
PR-R-V	0.161629091
PRAS40_pT246-R-V	-0.136438378
PRDX1-R-V	0.744282863
PREX1-R-E	0.109310886
PTEN-R-V	-2.136962608
Rab11-R-E	0.504382012
Rab25-R-V	-0.567547363
Rad50-M-V	-0.768785912
Rad51-R-V	0.729124621
Raptor-R-V	-0.637353536
Rb-M-E	0.537169349
Rb_pS807_S811-R-V	-0.213811240999999
RBM15-R-V	-2.17118874
Rictor-R-C	-0.891080032
Rictor_pT1135-R-V	0.502471935
S6-R-E	-1.59859826
S6_pS235_S236-R-V	0.282929304
S6_pS240_S244-R-V	-0.00920826200000024
