Sample REF	11B6B548-475A-4F7F-A3F1-DBFC8B2BDE6F
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0331770139999999
14-3-3_epsilon-M-C	0.00665520799999997
14-3-3_zeta-R-V	0.437047377
4E-BP1-R-V	0.190949605
4E-BP1_pS65-R-V	-0.272493106
4E-BP1_pT37_T46-R-V	0.228357376
4E-BP1_pT70-R-V	-0.00378915400000002
53BP1-R-E	0.203131479
A-Raf_pS299-R-C	-0.145634109
ACC_pS79-R-V	0.01645586
ACC1-R-E	-0.088068573
Acetyl-a-Tubulin-Lys40-R-C	-1.647622684
ACVRL1-R-C	-0.091426687
ADAR1-M-V	-0.0265206529999999
Akt-R-V	-0.34850141
Akt_pS473-R-V	-0.624248336
Akt_pT308-R-V	-0.453215947
alpha-Catenin-M-V	0.132226838
AMPK_alpha-R-C	-0.224674675
AMPK_pT172-R-V	-0.675029553
Annexin-1-M-E	0.825490319
Annexin_VII-M-V	-0.368779559
AR-R-V	-0.214540117
DIRAS3-M-E	-0.149090783
ASNS-R-V	0.395681619
ATM-R-E	0.44043775
B-Raf-M-C	-0.310162358
Bad_pS112-R-V	0.264765494
Bak-R-C	0.0824029720000001
Bap1-c-4-M-E	0.349585344
Bax-R-V	-0.173537534
Bcl-2-M-V	0.088021943
Bcl-xL-R-V	0.098225897
Beclin-G-C	0.012454755
beta-Catenin-R-V	0.645181724
Bid-R-C	-0.140228033
Bim-R-V	0.29464408
BRCA2-R-C	-0.144226792
c-Jun_pS73-R-V	0.0335561419999999
c-Kit-R-V	0.15265231
c-Met-M-E	0.145428421
c-Met_pY1235-R-V	-0.125088414
c-Myc-R-C	-0.0894434869999999
C-Raf-R-V	-0.154403827
C-Raf_pS338-R-V	-0.010276537
Caspase-7_cleavedD198-R-C	0.678961222
Caspase-8-M-E	-0.0526937559999998
Caveolin-1-R-V	-0.880768561
CD20-R-C	-0.031867946
CD31-M-V	-0.111479038
CD49b-M-V	0.079298791
CDK1-R-V	0.056983
Chk1-M-C	0.113790224
Chk1_pS345-R-C	0.38581219
Chk2-M-E	0.0692561169999999
Chk2_pT68-R-C	-0.123091386
cIAP-R-V	-0.133770696
Claudin-7-R-V	1.414016638
Collagen_VI-R-V	-0.178065005
Cyclin_B1-R-V	-0.052177294
Cyclin_D1-R-V	-0.024931079
Cyclin_E1-M-V	-0.152644903
Cyclin_E2-R-C	0.181538669
DJ-1-R-E	-0.370910518
Dvl3-R-V	0.038760893
E-Cadherin-R-V	0.967790685
eEF2-R-C	0.053712794
eEF2K-R-V	0.942426598
EGFR-R-V	0.492308879
EGFR_pY1068-R-C	0.333402077
EGFR_pY1173-R-V	-0.127229814
eIF4E-R-V	0.095884291
eIF4G-R-C	0.525060001
ER-alpha-R-V	0.733636687
ER-alpha_pS118-R-V	-0.0693388109999999
ERCC1-M-V	0.00518571099999998
ERK2-R-E	-0.01098269
ETS-1-R-V	-0.096192136
FASN-R-V	0.0331105410000001
Fibronectin-R-V	-0.414399883
FoxM1-R-V	0.112829046
FOXO3a-R-C	-0.0708934690000003
FOXO3a_pS318_S321-R-C	-0.144712665
G6PD-M-V	-0.186800826
GAB2-R-V	0.00565030500000008
GAPDH-M-C	-0.172085433
GATA3-M-V	0.0247022699999999
GSK3-alpha-beta-M-V	0.035579234
GSK3-alpha-beta_pS21_S9-R-V	-0.309689992
