Sample REF	11C08BC4-2E3E-47BB-80F7-4758587F2EF6
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.163485361
14-3-3_epsilon-M-C	-0.010629191
14-3-3_zeta-R-V	-0.306149449
4E-BP1-R-V	-0.00929820900000011
4E-BP1_pS65-R-V	0.059816008
4E-BP1_pT37_T46-R-V	0.285445038
4E-BP1_pT70-R-V	-0.054896541
53BP1-R-E	0.309446742
A-Raf_pS299-R-C	-0.094909684
ACC_pS79-R-V	0.587218259
ACC1-R-E	0.171229307
Acetyl-a-Tubulin-Lys40-R-C	-0.182038292
ACVRL1-R-C	-0.0241258230000001
ADAR1-M-V	-0.138422414
Akt-R-V	0.118458052
Akt_pS473-R-V	-0.176808432
Akt_pT308-R-V	-0.255981077
alpha-Catenin-M-V	0.328944365
AMPK_alpha-R-C	-0.276310737
AMPK_pT172-R-V	-0.173610326
Annexin-1-M-E	0.230652624
Annexin_VII-M-V	0.0674441849999998
AR-R-V	0.141964962
DIRAS3-M-E	-0.161602275
ASNS-R-V	-0.510349141
ATM-R-E	-0.171582683
B-Raf-M-C	0.359192385
Bad_pS112-R-V	0.0694388279999999
Bak-R-C	0.0977561150000001
Bap1-c-4-M-E	-0.839570298
Bax-R-V	0.099954203
Bcl-2-M-V	-0.349580312
Bcl-xL-R-V	-0.295541976
Beclin-G-C	0.040719229
beta-Catenin-R-V	1.063356978
Bid-R-C	-0.229694834
Bim-R-V	-1.474206021
BRCA2-R-C	-0.0596154990000002
c-Jun_pS73-R-V	0.109635154
c-Kit-R-V	-0.0199821520000001
c-Met-M-E	-0.0872952580000002
c-Met_pY1235-R-V	0.0250796059999999
c-Myc-R-C	-0.14190467
C-Raf-R-V	-0.223507426
C-Raf_pS338-R-V	-0.174084178
Caspase-7_cleavedD198-R-C	-1.068362483
Caspase-8-M-E	-0.253518839
Caveolin-1-R-V	0.177151072
CD20-R-C	0.151854379
CD31-M-V	-0.0975177279999999
CD49b-M-V	0.233282114
CDK1-R-V	0.152341155
Chk1-M-C	0.35052055
Chk1_pS345-R-C	0.372480727
Chk2-M-E	0.337321142
Chk2_pT68-R-C	-0.055318449
cIAP-R-V	-0.135819422
Claudin-7-R-V	-1.488349961
Collagen_VI-R-V	-0.399832681
Cyclin_B1-R-V	-0.249112281
Cyclin_D1-R-V	-0.309075285
Cyclin_E1-M-V	-0.296680471
Cyclin_E2-R-C	0.414788412
DJ-1-R-E	-0.0876673720000001
Dvl3-R-V	-0.014085385
E-Cadherin-R-V	1.631522527
eEF2-R-C	0.110910273
eEF2K-R-V	0.764992398
EGFR-R-V	0.290830989
EGFR_pY1068-R-C	0.612072422
EGFR_pY1173-R-V	-0.0335331560000001
eIF4E-R-V	0.059103748
eIF4G-R-C	0.222731489
ER-alpha-R-V	0.871051238
ER-alpha_pS118-R-V	0.337308259
ERCC1-M-V	0.181241604
ERK2-R-E	-0.141506792
ETS-1-R-V	0.0449452309999999
FASN-R-V	-0.070185847
Fibronectin-R-V	-0.254793913
FoxM1-R-V	0.120550208
FOXO3a-R-C	-0.0955184470000003
FOXO3a_pS318_S321-R-C	0.134143112
G6PD-M-V	-0.435070774
GAB2-R-V	0.20035985
GAPDH-M-C	-0.503148861
GATA3-M-V	0.315578493
GSK3-alpha-beta-M-V	0.0567075319999999
GSK3-alpha-beta_pS21_S9-R-V	0.436257388
GSK3_pS9-R-V	0.678620095
HER2-M-V	0.355407254
HER2_pY1248-R-C	0.231536367
HER3-R-V	0.258648269
HER3_pY1289-R-C	-0.125176349
Heregulin-R-V	-0.0312479400000001
HSP70-R-C	-0.15190647
IGFBP2-R-V	0.154156094
INPP4B-R-V	-0.245439138
IRS1-R-V	-0.0205260420000001
JNK_pT183_pY185-R-V	-0.081276525
JNK2-R-C	0.186671613
Ku80-R-C	0.197028015
Lck-R-V	-0.771572927
LKB1-M-E	-0.183454924
MAPK_pT202_Y204-R-V	0.0220006729999999
MEK1-R-V	0.388380866
MEK1_pS217_S221-R-V	-0.057511024
MIG-6-M-V	-0.083645981
Mre11-R-C	-0.109127475
MSH2-M-V	0.432393566
MSH6-R-C	0.790960467
mTOR-R-V	0.0842523419999999
mTOR_pS2448-R-C	0.176168425
MYH11-R-V	1.901662687
Myosin-IIa_pS1943-R-V	-0.112518929
N-Cadherin-R-V	-0.072947872
N-Ras-M-V	-0.0852011790000001
NDRG1_pT346-R-V	0.405147514
NF-kB-p65_pS536-R-C	0.0244620899999999
NF2-R-C	-0.0287331340000001
Notch1-R-V	0.0533990659999999
P-Cadherin-R-C	-0.153019272
p21-R-V	-0.216923351
p27-R-V	-0.110716849
p27_pT157-R-C	-0.100984814
p27_pT198-R-V	-0.053174386
p38_MAPK-R-V	-0.295746737
p38_pT180_Y182-R-V	-0.0536733010000001
p53-R-E	-0.142200832
p62-LCK-ligand-M-C	0.566866442
p70S6K-R-V	0.297814752
p70S6K_pT389-R-V	0.0449008099999999
p90RSK-R-C	-0.172521148
p90RSK_pT359_S363-R-C	-0.263419151
PAI-1-M-E	-0.734134079
PARP_cleaved-M-E	-0.114678964
Paxillin-R-C	-0.355363902
PCNA-M-C	0.311341329
PDCD4-R-C	0.59233999
PDK1-R-V	-0.136942398
PDK1_pS241-R-V	-0.108705007
PEA15-R-V	-0.228409237
PEA15_pS116-R-V	-0.098035521
PI3K-p110-alpha-R-C	0.00894057699999995
PI3K-p85-R-V	-0.400427946
PKC-alpha-M-V	0.385334288
PKC-alpha_pS657-R-C	0.308302965
PKC-delta_pS664-R-V	0.0457787379999999
PKC-pan_BetaII_pS660-R-V	0.232147963
PR-R-V	0.0921408690000001
PRAS40_pT246-R-V	0.22636265
PRDX1-R-V	-0.19044922
PREX1-R-E	-0.517133448
PTEN-R-V	0.818355487
Rab11-R-E	-0.116969531
Rab25-R-V	0.45598843
Rad50-M-V	-0.0630106
Rad51-R-V	-0.390391478
Raptor-R-V	0.141756254
Rb-M-E	-0.0792436210000002
Rb_pS807_S811-R-V	0.235694393
RBM15-R-V	0.504154955
Rictor-R-C	0.908658142
Rictor_pT1135-R-V	0.1078501
S6-R-E	-0.099520605
S6_pS235_S236-R-V	0.068680421
S6_pS240_S244-R-V	0.0830270839999998
SCD-M-V	-0.017245951
SETD2-R-E	-0.177077648
SF2-M-V	0.225816958
Shc_pY317-R-E	0.266765314
Smac-M-E	-0.0208830650000001
Smad1-R-V	-0.0173802710000001
Smad3-R-V	0.0237930499999999
Smad4-M-V	0.216362706
Snail-M-E	-0.044977517
Src-M-V	0.311271566
Src_pY416-R-C	0
Src_pY527-R-V	1.001388428
STAT3_pY705-R-V	0.459825596
STAT5-alpha-R-V	0.447805976
Stathmin-R-V	-0.0287519480000001
Syk-M-V	0.833539269
TAZ-R-V	-0.0531617960000001
TIGAR-R-V	-0.169900151
Transglutaminase-M-V	-0.34854503
TFRC-R-V	0.251215146
TSC1-R-C	0.11902821
TTF1-R-V	0.146339786
Tuberin-R-E	0.398834526
Tuberin_pT1462-R-V	0.593623465
VEGFR2-R-V	-0.392602552
EPPK1-M-E	0.170805638
XBP1-G-C	0.176975941
XRCC1-R-E	0.186582024
YAP-R-E	-0.31424606
YAP_pS127-R-E	-0.109965758
YB-1-R-V	-0.110745722
YB-1_pS102-R-V	0.0383407819999999
JAB1-M-C	-0.0469426880000001
PARP1-R-V	0.318585115
A-Raf-R-V	-0.39666369
ARID1A-R-C	0.27714508
B-Raf_pS445-R-V	0.546131076
Bcl2A1-R-V	-0.265879079
BRD4-R-V	0.583722561
c-Abl-R-V	-0.057465227
Caspase-3-R-C	0.0260502029999999
CD26-R-V	-0.124637338
Chk1_pS296-R-V	-0.096630975
COG3-R-V	0.265972925
DUSP4-R-V	-0.320026794
ERCC5-R-C	-0.125114019
IGF1R_pY1135_Y1136-R-V	-0.144011031
IRF-1-R-C	-0.123779679
Jak2-R-V	0.227795779
p16_INK4a-R-V	0.16695718
SHP-2_pY542-R-C	0.561559933
CDK1_pY15-R-C	0.408950375
