Sample REF	135CDBF1-DF8E-4F67-A2BF-821C1E48EF15
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.058209492
14-3-3_epsilon-M-C	-0.173512315
14-3-3_zeta-R-V	-0.114333453
4E-BP1-R-V	0.0745489519999999
4E-BP1_pS65-R-V	-0.0561570760000001
4E-BP1_pT37_T46-R-V	-0.0938642760000001
4E-BP1_pT70-R-V	0.0152649229999999
53BP1-R-E	0.470355844
A-Raf_pS299-R-C	-0.0470756460000001
ACC_pS79-R-V	-0.209142405
ACC1-R-E	-0.395429524
Acetyl-a-Tubulin-Lys40-R-C	0.170310712
ACVRL1-R-C	0.0950432779999999
ADAR1-M-V	0.0223948989999999
Akt-R-V	0.600981416
Akt_pS473-R-V	0.329652174
Akt_pT308-R-V	0.214773238
alpha-Catenin-M-V	-0.094386732
AMPK_alpha-R-C	-0.203868779
AMPK_pT172-R-V	-0.197122147
Annexin-1-M-E	-0.046000963
Annexin_VII-M-V	0.211906829
AR-R-V	-0.215448771
DIRAS3-M-E	-0.144048089
ASNS-R-V	-0.248191812
ATM-R-E	-0.132272484
B-Raf-M-C	0.0685474389999999
Bad_pS112-R-V	0.00064582599999996
Bak-R-C	-0.127954697
Bap1-c-4-M-E	-0.081238586
Bax-R-V	0.121144851
Bcl-2-M-V	-0.322690062
Bcl-xL-R-V	0.207483992
Beclin-G-C	0.071627578
beta-Catenin-R-V	0.202413883
Bid-R-C	-0.0359737950000001
Bim-R-V	0.0568597849999999
BRCA2-R-C	-0.0167269040000002
c-Jun_pS73-R-V	-0.00168704800000019
c-Kit-R-V	-0.370185606
c-Met-M-E	0.347333681
c-Met_pY1235-R-V	-0.102369729
c-Myc-R-C	-0.664232132
C-Raf-R-V	-0.0982512080000001
C-Raf_pS338-R-V	-0.0489762600000001
Caspase-7_cleavedD198-R-C	0.0409987629999999
Caspase-8-M-E	0
Caveolin-1-R-V	-0.278053223
CD20-R-C	-0.0596115720000001
CD31-M-V	-0.105405014
CD49b-M-V	-0.418461959
CDK1-R-V	-0.149432783
