Sample REF	1533008F-A3B8-4B50-A280-0A1C1FFACEFD
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0468902619999999
14-3-3_epsilon-M-C	-0.31023445
14-3-3_zeta-R-V	-0.554376466
4E-BP1-R-V	0.428621889
4E-BP1_pS65-R-V	-0.138724058
4E-BP1_pT37_T46-R-V	0.620802538
4E-BP1_pT70-R-V	0.0575792640000001
53BP1-R-E	0.78654742
A-Raf_pS299-R-C	-0.371228681
ACC_pS79-R-V	-0.157957356
ACC1-R-E	-0.351654207
Acetyl-a-Tubulin-Lys40-R-C	0.373859467
ACVRL1-R-C	-0.237692159
ADAR1-M-V	-0.16547187
Akt-R-V	0.4074735
Akt_pS473-R-V	3.030235484
Akt_pT308-R-V	2.233104286
alpha-Catenin-M-V	-0.385516475
AMPK_alpha-R-C	0.020801404
AMPK_pT172-R-V	0.443682082
Annexin-1-M-E	-1.108721844
Annexin_VII-M-V	-0.23117062
AR-R-V	0.019898006
DIRAS3-M-E	-0.136607076
ASNS-R-V	-0.187374178
ATM-R-E	0.757354105
B-Raf-M-C	0.358880205
Bad_pS112-R-V	-0.317631733
Bak-R-C	-0.0884585389999999
Bap1-c-4-M-E	-0.060326962
Bax-R-V	-0.184386349
Bcl-2-M-V	0.108887864
Bcl-xL-R-V	0.122719094
Beclin-G-C	-0.230727129
beta-Catenin-R-V	0.069228582
Bid-R-C	-0.0139256959999999
Bim-R-V	0.736242256
BRCA2-R-C	-0.198827364
c-Jun_pS73-R-V	0.370072303
c-Kit-R-V	-0.262583811
c-Met-M-E	-0.441806979
c-Met_pY1235-R-V	-0.184152344
c-Myc-R-C	-0.0245766169999999
C-Raf-R-V	0.0119834759999999
C-Raf_pS338-R-V	-0.286321173
Caspase-7_cleavedD198-R-C	1.1843048
Caspase-8-M-E	0.00856891900000001
Caveolin-1-R-V	0.228138813
CD20-R-C	-0.083320996
CD31-M-V	-0.14660731
CD49b-M-V	-0.715909673
CDK1-R-V	-0.0691842630000001
Chk1-M-C	0.2206929
Chk1_pS345-R-C	0.0136194519999999
Chk2-M-E	0.424030791
Chk2_pT68-R-C	-0.00426940499999995
cIAP-R-V	-0.188222776
Claudin-7-R-V	-0.298016645
Collagen_VI-R-V	-0.380390066
Cyclin_B1-R-V	0.316348088
Cyclin_D1-R-V	-0.443288614
Cyclin_E1-M-V	0.263441945
Cyclin_E2-R-C	0.276419229
DJ-1-R-E	-0.024488049
Dvl3-R-V	-0.262786655
E-Cadherin-R-V	0.205827362
eEF2-R-C	0.404148193
eEF2K-R-V	0.618755008
EGFR-R-V	-0.667760396
EGFR_pY1068-R-C	-0.365697186
EGFR_pY1173-R-V	-0.111747654
eIF4E-R-V	0.21434551
eIF4G-R-C	0.4185787
ER-alpha-R-V	0.63971377
ER-alpha_pS118-R-V	-0.0455617549999999
ERCC1-M-V	0.266420136
ERK2-R-E	-0.0482900470000001
ETS-1-R-V	-0.020453814
FASN-R-V	1.52251811
Fibronectin-R-V	-0.415488031
FoxM1-R-V	-0.062973057
FOXO3a-R-C	-0.2360821
FOXO3a_pS318_S321-R-C	0.00511572800000004
G6PD-M-V	-0.194588062
GAB2-R-V	0.193276159
GAPDH-M-C	0.267947509
GATA3-M-V	-0.178905636
GSK3-alpha-beta-M-V	-0.122127736
GSK3-alpha-beta_pS21_S9-R-V	0.416344616
GSK3_pS9-R-V	0.4216384
HER2-M-V	0.795770554
HER2_pY1248-R-C	0.396765046
HER3-R-V	-0.408877447
HER3_pY1289-R-C	-0.112275706
Heregulin-R-V	0.052040635
HSP70-R-C	-0.166457053
IGFBP2-R-V	-0.0905193659999999
INPP4B-R-V	-0.199785417
IRS1-R-V	-0.034301765
JNK_pT183_pY185-R-V	-0.292828516
JNK2-R-C	0.365528828
Ku80-R-C	0.0941987510000001
Lck-R-V	0.333334786
LKB1-M-E	-0.18623804
