Sample REF	179BC59D-8509-4989-8D44-D7C6EB2CCF8B
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.165258469
14-3-3_epsilon-M-C	-0.0913261419999998
14-3-3_zeta-R-V	-0.0658925369999999
4E-BP1-R-V	-0.00145224599999977
4E-BP1_pS65-R-V	-0.121221658
4E-BP1_pT37_T46-R-V	-0.187363338
4E-BP1_pT70-R-V	-0.0997350279999998
53BP1-R-E	-0.354768713
A-Raf_pS299-R-C	-0.0775007089999998
ACC_pS79-R-V	0.357457099
ACC1-R-E	0.332063199
Acetyl-a-Tubulin-Lys40-R-C	0.418706648
ACVRL1-R-C	-0.0512053889999998
ADAR1-M-V	0.236682446
Akt-R-V	0.154514841
Akt_pS473-R-V	-0.0817138049999997
Akt_pT308-R-V	-0.0425525379999998
alpha-Catenin-M-V	0.0951728500000002
AMPK_alpha-R-C	0.262947648
AMPK_pT172-R-V	0.492047567
Annexin-1-M-E	0.0572481820000003
Annexin_VII-M-V	-0.0815572719999998
AR-R-V	-0.0577096839999998
DIRAS3-M-E	-0.113055071
ASNS-R-V	-0.430505669
ATM-R-E	-0.441988588
B-Raf-M-C	0.496397171
Bad_pS112-R-V	0.137545248
Bak-R-C	0.0519420070000003
Bap1-c-4-M-E	0.530666884
Bax-R-V	-0.0773692589999997
Bcl-2-M-V	0.177820491
Bcl-xL-R-V	-0.106163613
Beclin-G-C	-0.0770194509999997
beta-Catenin-R-V	0.634207279
Bid-R-C	-0.106279081
Bim-R-V	0.127021768
BRCA2-R-C	-0.112979528
c-Jun_pS73-R-V	0.00637932000000019
c-Kit-R-V	0.216630836
c-Met-M-E	0.0859103509999999
c-Met_pY1235-R-V	-0.0217731089999998
c-Myc-R-C	-0.132239641
C-Raf-R-V	0.0462933900000003
C-Raf_pS338-R-V	-0.295399637
Caspase-7_cleavedD198-R-C	0.256653988
Caspase-8-M-E	0.0568158220000003
Caveolin-1-R-V	0.0607739620000003
CD20-R-C	-0.0112478709999998
CD31-M-V	0.0451979920000003
CD49b-M-V	0.101236861
CDK1-R-V	-0.0463642929999999
Chk1-M-C	0.0600718770000002
Chk1_pS345-R-C	0.0195781740000002
Chk2-M-E	0.235233709
Chk2_pT68-R-C	-0.0309260569999997
cIAP-R-V	-0.106256744
Claudin-7-R-V	-0.610841618
Collagen_VI-R-V	-0.19936844
Cyclin_B1-R-V	-0.0946429409999998
Cyclin_D1-R-V	-0.303665865
Cyclin_E1-M-V	0.109510358
Cyclin_E2-R-C	-0.00522980799999972
DJ-1-R-E	-0.256992823
Dvl3-R-V	0.421385815
E-Cadherin-R-V	1.013039068
eEF2-R-C	0.0361045920000002
eEF2K-R-V	0.61910062
EGFR-R-V	0.0606835880000003
EGFR_pY1068-R-C	-0.0281189519999994
EGFR_pY1173-R-V	-0.0570793869999998
eIF4E-R-V	-0.0629225549999998
eIF4G-R-C	0.510236897
ER-alpha-R-V	1.158955347
ER-alpha_pS118-R-V	0.00911858900000029
ERCC1-M-V	0.275106149
ERK2-R-E	-0.0908861019999998
ETS-1-R-V	-0.0313225639999998
FASN-R-V	0.0549130500000002
Fibronectin-R-V	-0.34879255
FoxM1-R-V	0.575944628
FOXO3a-R-C	0.00925094800000004
FOXO3a_pS318_S321-R-C	-0.0990901809999998
G6PD-M-V	-0.104455789
GAB2-R-V	0.315793873
GAPDH-M-C	-0.0962170409999998
GATA3-M-V	0.774414324
GSK3-alpha-beta-M-V	0.0673604390000002
GSK3-alpha-beta_pS21_S9-R-V	-0.15177622
GSK3_pS9-R-V	-0.153416026
HER2-M-V	0.509241066
HER2_pY1248-R-C	0.23979676
HER3-R-V	0.48939771
HER3_pY1289-R-C	-0.128740805
Heregulin-R-V	0.00762561400000017
HSP70-R-C	-0.0846572179999997
IGFBP2-R-V	0.843507757
INPP4B-R-V	0.465789516000001
IRS1-R-V	0.0398180750000002
JNK_pT183_pY185-R-V	-0.272266293
JNK2-R-C	-0.178611311
Ku80-R-C	0.350966508
Lck-R-V	0.00657450200000026
LKB1-M-E	-0.184778303
MAPK_pT202_Y204-R-V	-0.639085493
MEK1-R-V	0.0904394240000003
MEK1_pS217_S221-R-V	-0.304368272
MIG-6-M-V	-0.0580620639999997
Mre11-R-C	-0.110546095
MSH2-M-V	0.500645721
MSH6-R-C	0.776433561
mTOR-R-V	0.107976459
mTOR_pS2448-R-C	-0.0859780579999996
MYH11-R-V	0.447072394
Myosin-IIa_pS1943-R-V	-0.00127886599999977
N-Cadherin-R-V	-0.0986318019999998
N-Ras-M-V	-0.112287724
NDRG1_pT346-R-V	-1.184595376
NF-kB-p65_pS536-R-C	0.190874879
NF2-R-C	0.0965160680000002
Notch1-R-V	0.0144916440000002
P-Cadherin-R-C	0.339534447
p21-R-V	-0.809417421
p27-R-V	0.210780107
p27_pT157-R-C	-0.0154461619999998
p27_pT198-R-V	-0.0352586899999998
p38_MAPK-R-V	0.267057937
p38_pT180_Y182-R-V	-0.105873377
p53-R-E	-0.0690148699999997
p62-LCK-ligand-M-C	0.228391256
p70S6K-R-V	0.203899059
p70S6K_pT389-R-V	-0.118338323
p90RSK-R-C	-0.119750368
p90RSK_pT359_S363-R-C	-0.0795460149999998
PAI-1-M-E	-0.739509199
PARP_cleaved-M-E	-0.132859715
Paxillin-R-C	0.23901836
PCNA-M-C	-0.40680089
PDCD4-R-C	0.619159859
PDK1-R-V	0.351592232
