Sample REF	18D2E64E-B473-4594-BECE-25C028266FA4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.115086664
14-3-3_epsilon-M-C	0.00106576000000008
14-3-3_zeta-R-V	-0.146994243
4E-BP1-R-V	0.157531432
4E-BP1_pS65-R-V	-0.056385358
4E-BP1_pT37_T46-R-V	0.50886177
4E-BP1_pT70-R-V	-0.020309298
53BP1-R-E	-0.607009673
A-Raf_pS299-R-C	-0.045778871
ACC_pS79-R-V	-0.133349598
ACC1-R-E	-0.615479551
Acetyl-a-Tubulin-Lys40-R-C	-0.850614369
ACVRL1-R-C	-0.15659406
ADAR1-M-V	0.0591969199999999
Akt-R-V	-0.0848462500000001
Akt_pS473-R-V	0.133515582
Akt_pT308-R-V	0.036524741
alpha-Catenin-M-V	-0.020407425
AMPK_alpha-R-C	-0.033910414
AMPK_pT172-R-V	0.646698849
Annexin-1-M-E	0.045511934
Annexin_VII-M-V	-0.0270124790000002
AR-R-V	-0.210296531
DIRAS3-M-E	-0.103048364
ASNS-R-V	0.550298101
ATM-R-E	0.11449786
B-Raf-M-C	0.195880396
Bad_pS112-R-V	0.131701433
Bak-R-C	0.0314987350000002
Bap1-c-4-M-E	0.162844429
Bax-R-V	-0.173125363
Bcl-2-M-V	-0.209060956
Bcl-xL-R-V	-0.117522543
Beclin-G-C	-0.0148817150000001
beta-Catenin-R-V	-0.311681595
Bid-R-C	-0.128615282
Bim-R-V	0.643746196
BRCA2-R-C	-0.190878188
c-Jun_pS73-R-V	0.8898386
c-Kit-R-V	0.280922386
c-Met-M-E	-0.181087639
c-Met_pY1235-R-V	-0.00159063700000001
c-Myc-R-C	-0.059732871
C-Raf-R-V	0.008877724
C-Raf_pS338-R-V	0.183697809
Caspase-7_cleavedD198-R-C	0.536326779
Caspase-8-M-E	-0.13057069
Caveolin-1-R-V	-0.100328857
CD20-R-C	-0.0183275350000001
CD31-M-V	-0.00429781999999995
CD49b-M-V	-0.137634203
CDK1-R-V	-0.0561662889999999
Chk1-M-C	-0.158032865
Chk1_pS345-R-C	-0.114204853
Chk2-M-E	0.364051931
Chk2_pT68-R-C	0.078292483
cIAP-R-V	-0.112731394
Claudin-7-R-V	0.195539832
Collagen_VI-R-V	-0.127283314
Cyclin_B1-R-V	0.018828002
Cyclin_D1-R-V	-0.095958463
Cyclin_E1-M-V	-0.0777714970000004
Cyclin_E2-R-C	-0.130222397
DJ-1-R-E	-0.11199449
Dvl3-R-V	0.141501159
E-Cadherin-R-V	0.0575380539999999
eEF2-R-C	0.222830527
eEF2K-R-V	-0.377209362
EGFR-R-V	0.518866446
EGFR_pY1068-R-C	0.404315405
EGFR_pY1173-R-V	0.016700682
eIF4E-R-V	0.162982454
eIF4G-R-C	0.161242087
ER-alpha-R-V	-0.089901337
ER-alpha_pS118-R-V	-0.124750575
ERCC1-M-V	-0.0595979739999999
ERK2-R-E	0.01244115
ETS-1-R-V	-0.172402341
FASN-R-V	0.096724336
Fibronectin-R-V	-0.0651701220000001
FoxM1-R-V	0.245884941
FOXO3a-R-C	-0.0574886260000003
FOXO3a_pS318_S321-R-C	0.0036469810000001
G6PD-M-V	-0.29337045
GAB2-R-V	0.27307961
GAPDH-M-C	-0.038164273
GATA3-M-V	0.150873177
GSK3-alpha-beta-M-V	0.021207564
GSK3-alpha-beta_pS21_S9-R-V	0.268669188
GSK3_pS9-R-V	0.326719647
HER2-M-V	-0.260655
HER2_pY1248-R-C	0.150992301
HER3-R-V	0.344050199
HER3_pY1289-R-C	-0.031255609
Heregulin-R-V	-0.220359814
HSP70-R-C	-0.269191688
IGFBP2-R-V	-0.312893386
INPP4B-R-V	-0.197883009
IRS1-R-V	-0.0992969390000001
JNK_pT183_pY185-R-V	0.200848524
JNK2-R-C	0.136081501
Ku80-R-C	-0.253456495
Lck-R-V	-0.271077698
LKB1-M-E	-0.014609601
MAPK_pT202_Y204-R-V	0.703961309
MEK1-R-V	0.129879737
MEK1_pS217_S221-R-V	0.134190632
MIG-6-M-V	-0.02898978
Mre11-R-C	0.0479131
MSH2-M-V	0.178341948
MSH6-R-C	0.282323524
mTOR-R-V	0.550069965
mTOR_pS2448-R-C	0.386476682
MYH11-R-V	-0.2762449
Myosin-IIa_pS1943-R-V	0.156670104
N-Cadherin-R-V	0.035429294
N-Ras-M-V	0.092460996
NDRG1_pT346-R-V	0.363820629
NF-kB-p65_pS536-R-C	-0.00959693900000019
NF2-R-C	0.273151166
Notch1-R-V	0.27965948
P-Cadherin-R-C	-0.143931799
p21-R-V	0.038247305
p27-R-V	-0.333220059
p27_pT157-R-C	-0.077985441
p27_pT198-R-V	0.00886197099999997
p38_MAPK-R-V	0.056025215
p38_pT180_Y182-R-V	0.521203838
p53-R-E	-0.137634203
p62-LCK-ligand-M-C	0.367186908
p70S6K-R-V	0.373366605
p70S6K_pT389-R-V	0.200166658
p90RSK-R-C	0.356684082
p90RSK_pT359_S363-R-C	0.378075797
PAI-1-M-E	-0.502434442
PARP_cleaved-M-E	-0.0605626710000001
Paxillin-R-C	-0.188197504
PCNA-M-C	-0.329051706
PDCD4-R-C	0.948814275
PDK1-R-V	-0.130225437
PDK1_pS241-R-V	-0.12254996
PEA15-R-V	-0.165391622
PEA15_pS116-R-V	-0.106412445
PI3K-p110-alpha-R-C	0.090835859
PI3K-p85-R-V	-0.192707931
PKC-alpha-M-V	0.235623443
PKC-alpha_pS657-R-C	-0.069636072
PKC-delta_pS664-R-V	-0.0490548450000002
