Sample REF	1AC7B9FF-7D24-4540-98B2-CAC49BFC4E5C
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.173294436
14-3-3_epsilon-M-C	-0.13881911
14-3-3_zeta-R-V	-0.178563156
4E-BP1-R-V	-0.480780125
4E-BP1_pS65-R-V	-0.026101862
4E-BP1_pT37_T46-R-V	-0.043389966
4E-BP1_pT70-R-V	-0.180547373
53BP1-R-E	-0.13568861
A-Raf_pS299-R-C	-0.026241376
ACC_pS79-R-V	-0.572086373
ACC1-R-E	-1.079170815
Acetyl-a-Tubulin-Lys40-R-C	0.774001796
ACVRL1-R-C	0.156426603
ADAR1-M-V	-0.330438555
Akt-R-V	0.305202608
Akt_pS473-R-V	0.854354174
Akt_pT308-R-V	0.456238788
alpha-Catenin-M-V	-0.0710175560000001
AMPK_alpha-R-C	1.463224946
AMPK_pT172-R-V	-0.30588564
Annexin-1-M-E	-0.386029726
Annexin_VII-M-V	-0.00652989800000014
AR-R-V	1.068223517
DIRAS3-M-E	0.243730783
ASNS-R-V	-0.854460233
ATM-R-E	-0.244865088
B-Raf-M-C	-0.137194232
Bad_pS112-R-V	0.1203225
Bak-R-C	-0.0251024360000001
Bap1-c-4-M-E	-0.206172431
Bax-R-V	-0.616095651
Bcl-2-M-V	0.538704919
Bcl-xL-R-V	-0.481710255
Beclin-G-C	0.115756585
beta-Catenin-R-V	0.115004108
Bid-R-C	0.232954519
Bim-R-V	-0.448222883
BRCA2-R-C	-0.119844485
c-Jun_pS73-R-V	0.857334556
c-Kit-R-V	0.341442886
c-Met-M-E	0.281299972
c-Met_pY1235-R-V	0.112248775
c-Myc-R-C	2.451263145
C-Raf-R-V	-0.140884293
C-Raf_pS338-R-V	0.244545739
Caspase-7_cleavedD198-R-C	-0.823787545
Caspase-8-M-E	0.229188022
Caveolin-1-R-V	1.63359997
CD20-R-C	-0.0105438369999999
CD31-M-V	-0.05452937
CD49b-M-V	-0.339617408
CDK1-R-V	0.653292852
Chk1-M-C	-0.767944755
Chk1_pS345-R-C	0.442112901
Chk2-M-E	-1.223960568
Chk2_pT68-R-C	0.085161729
cIAP-R-V	-0.244645261
Claudin-7-R-V	-0.920278418
Collagen_VI-R-V	0.687870767
Cyclin_B1-R-V	-1.362003388
Cyclin_D1-R-V	-0.111301073
Cyclin_E1-M-V	-0.614907736
Cyclin_E2-R-C	-0.149302844
DJ-1-R-E	0.173598715
Dvl3-R-V	-0.0915336760000001
E-Cadherin-R-V	0.032249354
eEF2-R-C	-0.621024796
eEF2K-R-V	0.458428261
EGFR-R-V	-0.0687645960000001
EGFR_pY1068-R-C	0.606695235
EGFR_pY1173-R-V	0.292913967
eIF4E-R-V	-0.303002284
eIF4G-R-C	-0.101722647
ER-alpha-R-V	3.208022173
ER-alpha_pS118-R-V	1.174385233
ERCC1-M-V	-0.0925850349999997
ERK2-R-E	-0.113239154
ETS-1-R-V	0.050103987
FASN-R-V	-1.716093295
Fibronectin-R-V	-0.629139509
FoxM1-R-V	0.062695765
FOXO3a-R-C	0
FOXO3a_pS318_S321-R-C	0.405945143
G6PD-M-V	-0.490264443
GAB2-R-V	0.51249614
GAPDH-M-C	-0.369961923
GATA3-M-V	-0.187357621
GSK3-alpha-beta-M-V	-0.173219186
GSK3-alpha-beta_pS21_S9-R-V	0.377806057
GSK3_pS9-R-V	0.537959023
HER2-M-V	0.059263262
HER2_pY1248-R-C	0.435644012
HER3-R-V	-0.281479835
HER3_pY1289-R-C	0.021004744
Heregulin-R-V	0.0673022219999999
HSP70-R-C	0.245021099
IGFBP2-R-V	0.32169778
INPP4B-R-V	-0.507621917
IRS1-R-V	0.285146597
