Sample REF	1DDEE185-E1DE-44AE-AD36-FFCC69B5EE84
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0658243299999999
14-3-3_epsilon-M-C	-0.194442448
14-3-3_zeta-R-V	-0.169269107
4E-BP1-R-V	0.211868451
4E-BP1_pS65-R-V	0.0280822
4E-BP1_pT37_T46-R-V	0.801780901
4E-BP1_pT70-R-V	-0.04120752
53BP1-R-E	0.107359703
A-Raf_pS299-R-C	0.052128179
ACC_pS79-R-V	0.637866128
ACC1-R-E	0.489598758
Acetyl-a-Tubulin-Lys40-R-C	-2.070795734
ACVRL1-R-C	-0.235807975
ADAR1-M-V	-0.0650483059999999
Akt-R-V	-0.239410583
Akt_pS473-R-V	-0.512828832
Akt_pT308-R-V	-0.448617506
alpha-Catenin-M-V	0.113784994
AMPK_alpha-R-C	-0.281665119
AMPK_pT172-R-V	0.0028565559999999
Annexin-1-M-E	0.169645998
Annexin_VII-M-V	-0.0993832390000001
AR-R-V	0.00421768
DIRAS3-M-E	-0.158229185
ASNS-R-V	0.756906262
ATM-R-E	-0.0162304529999999
B-Raf-M-C	0.186936659
Bad_pS112-R-V	0.301438741
Bak-R-C	0.181132766
Bap1-c-4-M-E	0.127398228
Bax-R-V	0.0296411950000001
Bcl-2-M-V	-0.650415344
Bcl-xL-R-V	-0.20626056
Beclin-G-C	-0.310983466
beta-Catenin-R-V	0.548460293
Bid-R-C	-0.159075439
Bim-R-V	0.348893468
BRCA2-R-C	-0.079170906
c-Jun_pS73-R-V	0.637605591
c-Kit-R-V	-0.320926471
c-Met-M-E	-0.295784028
c-Met_pY1235-R-V	-0.0901531590000001
c-Myc-R-C	0.158786101
C-Raf-R-V	0.114550435
C-Raf_pS338-R-V	0
Caspase-7_cleavedD198-R-C	-0.316467945
Caspase-8-M-E	-0.326488853
Caveolin-1-R-V	-0.716414376
CD20-R-C	0.00966059000000008
CD31-M-V	-0.149642328
CD49b-M-V	0.351670866
CDK1-R-V	0.367305077
Chk1-M-C	0.238887737
Chk1_pS345-R-C	0.298284257
Chk2-M-E	0.160328522
Chk2_pT68-R-C	-0.133862471
cIAP-R-V	-0.17202173
Claudin-7-R-V	1.903724239
Collagen_VI-R-V	0.110750372
Cyclin_B1-R-V	0.866575965
Cyclin_D1-R-V	-0.277451459
Cyclin_E1-M-V	-0.141042233
Cyclin_E2-R-C	0.102806391
DJ-1-R-E	-0.093235181
Dvl3-R-V	-0.099448478
E-Cadherin-R-V	0.685229516
eEF2-R-C	-0.067940625
eEF2K-R-V	1.056833327
EGFR-R-V	0.442448731
EGFR_pY1068-R-C	0.999341423
EGFR_pY1173-R-V	-0.087270432
eIF4E-R-V	0.201203664
eIF4G-R-C	0.622264363
ER-alpha-R-V	-0.227498031
