Sample REF	1F3D85EE-2B7F-4EDF-B976-4471D4AE5C08
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.21896709
14-3-3_epsilon-M-C	-0.0252814490000002
14-3-3_zeta-R-V	-0.283345933
4E-BP1-R-V	0.0345758789999999
4E-BP1_pS65-R-V	-0.274597186
4E-BP1_pT37_T46-R-V	-0.316988661
4E-BP1_pT70-R-V	0.0066046159999999
53BP1-R-E	-0.00124946900000009
A-Raf_pS299-R-C	0.0554052519999999
ACC_pS79-R-V	-0.35348539
ACC1-R-E	-1.063502679
Acetyl-a-Tubulin-Lys40-R-C	0.0691073279999999
ACVRL1-R-C	-0.127677319
ADAR1-M-V	0.0630086439999999
Akt-R-V	0.399916363
Akt_pS473-R-V	-0.390677187
Akt_pT308-R-V	-0.353408844
alpha-Catenin-M-V	-0.141588738
AMPK_alpha-R-C	-0.0456918140000001
AMPK_pT172-R-V	0.483572278
Annexin-1-M-E	-0.882573727
Annexin_VII-M-V	0.119576264
AR-R-V	0.364249956
DIRAS3-M-E	-0.0399812550000001
ASNS-R-V	-0.28301444
ATM-R-E	0.064951735
B-Raf-M-C	-0.0478056210000001
Bad_pS112-R-V	0.316728807
Bak-R-C	0.0223914439999999
Bap1-c-4-M-E	0.141164347
Bax-R-V	-0.279363791
Bcl-2-M-V	0.206747271
Bcl-xL-R-V	0.112343728
Beclin-G-C	-0.0992563240000002
beta-Catenin-R-V	0.410094433
Bid-R-C	-0.0689088650000001
Bim-R-V	0.377624897
BRCA2-R-C	-0.0122464340000001
c-Jun_pS73-R-V	-0.233156596
c-Kit-R-V	-0.082075074
c-Met-M-E	-0.272016285
c-Met_pY1235-R-V	-0.0988638680000002
c-Myc-R-C	-0.103461115
C-Raf-R-V	0.0554052519999999
C-Raf_pS338-R-V	-0.0626462260000001
Caspase-7_cleavedD198-R-C	0.999816275
Caspase-8-M-E	-0.25454023
Caveolin-1-R-V	-1.01421614
CD20-R-C	0.073568114
CD31-M-V	-0.188111305
