Sample REF	1F43A50D-9930-4F21-8EF8-1A09A5DABDF4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.150426329
14-3-3_epsilon-M-C	-0.128099417
14-3-3_zeta-R-V	-0.115867791
4E-BP1-R-V	0.086029074
4E-BP1_pS65-R-V	0.12125361
4E-BP1_pT37_T46-R-V	0.612633375
4E-BP1_pT70-R-V	0.196878231
53BP1-R-E	0.213509236
A-Raf_pS299-R-C	0.250288622
ACC_pS79-R-V	1.024427804
ACC1-R-E	1.123749597
Acetyl-a-Tubulin-Lys40-R-C	0.380894648
ACVRL1-R-C	0.150984414
ADAR1-M-V	-0.0978942760000001
Akt-R-V	-0.16542591
Akt_pS473-R-V	1.452698691
Akt_pT308-R-V	1.02867212
alpha-Catenin-M-V	-0.221319054
AMPK_alpha-R-C	0.338496574
AMPK_pT172-R-V	0.269818064
Annexin-1-M-E	-0.701566855
Annexin_VII-M-V	0.00221261999999994
AR-R-V	-0.053982399
DIRAS3-M-E	-0.0392758000000001
ASNS-R-V	2.102487454
ATM-R-E	-0.831303191
B-Raf-M-C	-0.126790721
Bad_pS112-R-V	-0.239188044
Bak-R-C	-0.187065409
Bap1-c-4-M-E	-0.616941445
Bax-R-V	-0.115884065
Bcl-2-M-V	-1.176805743
Bcl-xL-R-V	0.0604449620000001
Beclin-G-C	0.23581542
beta-Catenin-R-V	-0.926435666
Bid-R-C	0.137336949
Bim-R-V	-0.048511781
BRCA2-R-C	-0.22801615
c-Jun_pS73-R-V	-0.196134792
c-Kit-R-V	0.162846146
c-Met-M-E	-0.0960079760000003
c-Met_pY1235-R-V	-0.00871757899999998
c-Myc-R-C	0.289786826
C-Raf-R-V	-0.164846277
C-Raf_pS338-R-V	0.191588766
Caspase-7_cleavedD198-R-C	-0.43759642
Caspase-8-M-E	0.00325212099999989
Caveolin-1-R-V	-0.543644807
CD20-R-C	-0.235171767
CD31-M-V	-0.349431961
CD49b-M-V	0.442096594
CDK1-R-V	0.0390009859999998
Chk1-M-C	-0.508209436
Chk1_pS345-R-C	-0.100909097
Chk2-M-E	-0.237375367
Chk2_pT68-R-C	0.086831586
cIAP-R-V	-0.34025584
Claudin-7-R-V	0.793493563
Collagen_VI-R-V	0.248957813
Cyclin_B1-R-V	0.080957037
Cyclin_D1-R-V	0.272091833
Cyclin_E1-M-V	0.200293978
Cyclin_E2-R-C	-0.320867994
DJ-1-R-E	0.038550969
Dvl3-R-V	-0.251984058
E-Cadherin-R-V	-1.20440056
eEF2-R-C	-0.127266745
eEF2K-R-V	-0.224712652
EGFR-R-V	0.056602404
EGFR_pY1068-R-C	-0.242000465
EGFR_pY1173-R-V	-0.00304490800000007
eIF4E-R-V	-0.165682868
eIF4G-R-C	-0.850026349
ER-alpha-R-V	-0.958245274
ER-alpha_pS118-R-V	-0.305082355
ERCC1-M-V	0.266584666
ERK2-R-E	-0.120117065
ETS-1-R-V	0.16585334
FASN-R-V	1.117242931
Fibronectin-R-V	0.532627125
FoxM1-R-V	-0.380480929
FOXO3a-R-C	-0.268306776
FOXO3a_pS318_S321-R-C	-0.134957445
G6PD-M-V	0.876631254
GAB2-R-V	-0.188395979
GAPDH-M-C	0.536095589
GATA3-M-V	-0.457336407
GSK3-alpha-beta-M-V	0.119070275
GSK3-alpha-beta_pS21_S9-R-V	0.55415616
GSK3_pS9-R-V	0.805311741
HER2-M-V	0.0313721219999999
HER2_pY1248-R-C	0.103272493
HER3-R-V	-0.275986586
HER3_pY1289-R-C	0.014458833
Heregulin-R-V	0.240025288
HSP70-R-C	0.218242127
IGFBP2-R-V	2.031896486
INPP4B-R-V	-0.299592709
IRS1-R-V	0.010838961
JNK_pT183_pY185-R-V	0.11194043
JNK2-R-C	-0.450109222
Ku80-R-C	-0.0359563449999999
Lck-R-V	-0.0465546100000001
LKB1-M-E	0.0580402450000001
MAPK_pT202_Y204-R-V	0.579089233
MEK1-R-V	-0.001926655
MEK1_pS217_S221-R-V	0.16760165
MIG-6-M-V	0.314405456
Mre11-R-C	0.016297769
MSH2-M-V	0.1036828
MSH6-R-C	0.439871745
mTOR-R-V	-0.109873544
mTOR_pS2448-R-C	0.0530234030000001
MYH11-R-V	1.587247157
Myosin-IIa_pS1943-R-V	-0.356555189
N-Cadherin-R-V	-0.235249344
N-Ras-M-V	-0.074778101
NDRG1_pT346-R-V	0.346007682
NF-kB-p65_pS536-R-C	-0.587628212
