Sample REF	2396FB56-1204-4736-8BD4-7C40A569A39E
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0587366109999999
14-3-3_epsilon-M-C	-0.087829847
14-3-3_zeta-R-V	0.256461649
4E-BP1-R-V	-0.191138502
4E-BP1_pS65-R-V	0.295401001
4E-BP1_pT37_T46-R-V	0.374231902
4E-BP1_pT70-R-V	-0.05135575
53BP1-R-E	0.031605403
A-Raf_pS299-R-C	0
ACC_pS79-R-V	0.702133476
ACC1-R-E	0.876840392
Acetyl-a-Tubulin-Lys40-R-C	-0.598984782
ACVRL1-R-C	-0.073875386
ADAR1-M-V	0.0844226769999999
Akt-R-V	0.293185219
Akt_pS473-R-V	0.417341943
Akt_pT308-R-V	-0.0110141810000001
alpha-Catenin-M-V	0.0952168539999999
AMPK_alpha-R-C	0.016067586
AMPK_pT172-R-V	-1.076078563
Annexin-1-M-E	-0.233640435
Annexin_VII-M-V	-0.0377233570000001
AR-R-V	-0.288857425
DIRAS3-M-E	-0.048332176
ASNS-R-V	0.844530616
ATM-R-E	-0.214011225
B-Raf-M-C	0.026911631
Bad_pS112-R-V	0.439210209
Bak-R-C	-0.123687194
Bap1-c-4-M-E	-0.231200522
Bax-R-V	-0.311734879
Bcl-2-M-V	-0.727493115
Bcl-xL-R-V	0.0638573569999999
Beclin-G-C	0.150830952
beta-Catenin-R-V	0.391196034
Bid-R-C	-0.098033043
Bim-R-V	-0.172642345
BRCA2-R-C	0.493311497
c-Jun_pS73-R-V	0.182277266
c-Kit-R-V	-0.380381618
c-Met-M-E	0.0715653089999998
c-Met_pY1235-R-V	-0.00724746900000006
c-Myc-R-C	-0.544958999
C-Raf-R-V	-0.182928759
C-Raf_pS338-R-V	0.090122107
Caspase-7_cleavedD198-R-C	0.815875946
Caspase-8-M-E	0.303585934
Caveolin-1-R-V	-1.223718343
CD20-R-C	-0.137139332
CD31-M-V	-0.158407051
CD49b-M-V	0.673242776
CDK1-R-V	-0.0929810590000001
Chk1-M-C	0.494548664
Chk1_pS345-R-C	-0.00771488400000009
Chk2-M-E	-0.132882219
Chk2_pT68-R-C	-0.104610618
cIAP-R-V	0.422660836
Claudin-7-R-V	1.315209347
Collagen_VI-R-V	0.0382485809999999
Cyclin_B1-R-V	0.436096647
Cyclin_D1-R-V	-0.230081153
Cyclin_E1-M-V	0.811233275
Cyclin_E2-R-C	-0.120496818
DJ-1-R-E	0.00589152399999998
Dvl3-R-V	-0.159785227
E-Cadherin-R-V	0.500760944
eEF2-R-C	-0.128617792
eEF2K-R-V	-0.617243019
EGFR-R-V	0.42393089
EGFR_pY1068-R-C	0.702749728
EGFR_pY1173-R-V	-0.022371145
eIF4E-R-V	0.253688304
eIF4G-R-C	-0.112668925
ER-alpha-R-V	-1.042931762
ER-alpha_pS118-R-V	-0.208813493
ERCC1-M-V	0.377304955
ERK2-R-E	-0.109764443
ETS-1-R-V	-0.0175301
FASN-R-V	0.56589392
Fibronectin-R-V	-0.253639964
FoxM1-R-V	-0.179727826
FOXO3a-R-C	-0.209052227
FOXO3a_pS318_S321-R-C	-0.099740313
G6PD-M-V	-0.00450652000000018
GAB2-R-V	-0.0141876420000001
GAPDH-M-C	0.635037085
GATA3-M-V	-0.37545995
GSK3-alpha-beta-M-V	0.172945559
GSK3-alpha-beta_pS21_S9-R-V	0.475016846
GSK3_pS9-R-V	0.481009233
HER2-M-V	0.418118943
HER2_pY1248-R-C	0.43016621
HER3-R-V	0.253096771
HER3_pY1289-R-C	0.769281478
Heregulin-R-V	-0.170018783
HSP70-R-C	-0.495555597
IGFBP2-R-V	-0.937906304
INPP4B-R-V	0.195297664
IRS1-R-V	0.182473472
JNK_pT183_pY185-R-V	0.212346126
JNK2-R-C	0.060237932
Ku80-R-C	0.471076911
Lck-R-V	-0.15458714
LKB1-M-E	-0.268773268
MAPK_pT202_Y204-R-V	0.566140549
MEK1-R-V	0.666540462
MEK1_pS217_S221-R-V	0.331030807
MIG-6-M-V	0.0631401189999999
Mre11-R-C	-0.059576874
MSH2-M-V	0.343291492
MSH6-R-C	0.275768544
mTOR-R-V	0.581609574
mTOR_pS2448-R-C	0.156486437
MYH11-R-V	-2.289561693
Myosin-IIa_pS1943-R-V	0.303059153
N-Cadherin-R-V	-0.093715835
N-Ras-M-V	0.217003165
NDRG1_pT346-R-V	0.412632047
NF-kB-p65_pS536-R-C	0.04836977
NF2-R-C	-0.070072565
Notch1-R-V	-0.437414684
P-Cadherin-R-C	0.161934244
p21-R-V	0.304704376
p27-R-V	-0.475694922
p27_pT157-R-C	-0.051638942
p27_pT198-R-V	-0.242935221
p38_MAPK-R-V	0.148148064
p38_pT180_Y182-R-V	0.64532464
p53-R-E	-0.163080173
p62-LCK-ligand-M-C	-0.416736318
p70S6K-R-V	-0.400599928
p70S6K_pT389-R-V	-0.208504455
p90RSK-R-C	0.401385509
p90RSK_pT359_S363-R-C	0.691965286
PAI-1-M-E	0.193073087
PARP_cleaved-M-E	-0.17759037
Paxillin-R-C	0.546905454
PCNA-M-C	0.235787921
PDCD4-R-C	-0.437599551
PDK1-R-V	0.025769987
PDK1_pS241-R-V	-0.017106115
PEA15-R-V	-0.302898642
PEA15_pS116-R-V	-0.065955281
PI3K-p110-alpha-R-C	-0.395051301
PI3K-p85-R-V	-0.364483457
PKC-alpha-M-V	-0.389158147
PKC-alpha_pS657-R-C	-0.409395612
PKC-delta_pS664-R-V	-0.143342119
PKC-pan_BetaII_pS660-R-V	0.364283329
PR-R-V	-0.00954308999999987
PRAS40_pT246-R-V	0.174882406
PRDX1-R-V	0.033570021
PREX1-R-E	-0.136976068
PTEN-R-V	-0.0723318860000001
Rab11-R-E	0.231877617
Rab25-R-V	0.302184109
Rad50-M-V	0.00493785000000002
Rad51-R-V	-0.292170677
Raptor-R-V	0.405643023
Rb-M-E	-0.227094354
Rb_pS807_S811-R-V	0.0549352550000001
RBM15-R-V	0.075631302
Rictor-R-C	-0.347230962
Rictor_pT1135-R-V	-0.00970974400000002
S6-R-E	-0.085470063
S6_pS235_S236-R-V	0.250766074
S6_pS240_S244-R-V	-0.205913044
SCD-M-V	0.438743036
SETD2-R-E	-0.217869525
SF2-M-V	-0.0104040149999999
Shc_pY317-R-E	0.247925658
Smac-M-E	-0.099042288
Smad1-R-V	-0.305863207
Smad3-R-V	0.010953262
Smad4-M-V	0.0123687949999999
Snail-M-E	-0.226956653
