Sample REF	23F28333-7FA9-41C6-8039-57739EC99A30
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.315219264
14-3-3_epsilon-M-C	0.188419035
14-3-3_zeta-R-V	0.55983327
4E-BP1-R-V	0.0637944029999999
4E-BP1_pS65-R-V	0.19743628
4E-BP1_pT37_T46-R-V	-0.233240888
4E-BP1_pT70-R-V	0.539646823
53BP1-R-E	-1.324495156
A-Raf_pS299-R-C	0.128294357
ACC_pS79-R-V	-0.903836156
ACC1-R-E	-0.00787508500000011
Acetyl-a-Tubulin-Lys40-R-C	-0.0763220600000001
ACVRL1-R-C	0.234735848
ADAR1-M-V	0.0357941110000002
Akt-R-V	-1.646936081
Akt_pS473-R-V	-0.349437997
Akt_pT308-R-V	1.260348201
alpha-Catenin-M-V	-0.099312337
AMPK_alpha-R-C	0.350942953
AMPK_pT172-R-V	-1.985083176
Annexin-1-M-E	0.218791954
Annexin_VII-M-V	0.0126346289999999
AR-R-V	-0.429765775
DIRAS3-M-E	0.120793099
ASNS-R-V	1.386961672
ATM-R-E	-1.547069375
B-Raf-M-C	0.254395803
Bad_pS112-R-V	-0.574798997
Bak-R-C	-0.0484733800000001
Bap1-c-4-M-E	-0.501711705
Bax-R-V	0.278802552
Bcl-2-M-V	-0.968400398
Bcl-xL-R-V	0.366113156
Beclin-G-C	0.628117501
beta-Catenin-R-V	-0.493717039
Bid-R-C	0.285172765
Bim-R-V	0.116161651
BRCA2-R-C	0.15083367
c-Jun_pS73-R-V	-0.787012228
c-Kit-R-V	-0.395713772
c-Met-M-E	-0.20781339
c-Met_pY1235-R-V	0.0852064259999998
c-Myc-R-C	0.442120524
C-Raf-R-V	-0.148531356
C-Raf_pS338-R-V	0.167330901
Caspase-7_cleavedD198-R-C	0.740178
Caspase-8-M-E	-0.0295305960000001
Caveolin-1-R-V	-2.069249708
CD20-R-C	0.032875824
CD31-M-V	-0.0737629949999998
CD49b-M-V	0.144652598
CDK1-R-V	-0.919830356000001
Chk1-M-C	-0.232961686
Chk1_pS345-R-C	-0.347822093
Chk2-M-E	-0.131704276
Chk2_pT68-R-C	0.0893703269999999
cIAP-R-V	0.161083738
Claudin-7-R-V	0.941082205
Collagen_VI-R-V	0.502861169
Cyclin_B1-R-V	-1.045975522
Cyclin_D1-R-V	0.912679
Cyclin_E1-M-V	0.566999632
Cyclin_E2-R-C	-0.279120834
DJ-1-R-E	-0.0705679790000001
Dvl3-R-V	-0.918384533
E-Cadherin-R-V	-0.850118759
eEF2-R-C	0.777893139
eEF2K-R-V	-1.410517748
EGFR-R-V	-0.516209621
EGFR_pY1068-R-C	-0.250968173
EGFR_pY1173-R-V	0.229728795
eIF4E-R-V	0.139623498
