Sample REF	23FD746E-B0D7-4779-BF26-BB319461F879
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0028586060000001
14-3-3_epsilon-M-C	0.0141556130000001
14-3-3_zeta-R-V	-0.2834057
4E-BP1-R-V	0.18334765
4E-BP1_pS65-R-V	-0.348740126
4E-BP1_pT37_T46-R-V	-0.707066304
4E-BP1_pT70-R-V	-0.190529676
53BP1-R-E	0.0385545269999999
A-Raf_pS299-R-C	-0.098400607
ACC_pS79-R-V	0.095354856
ACC1-R-E	-0.161338618
Acetyl-a-Tubulin-Lys40-R-C	0.207054587
ACVRL1-R-C	0.0136793270000001
ADAR1-M-V	0.165129698
Akt-R-V	-0.216555882
Akt_pS473-R-V	-0.192351699
Akt_pT308-R-V	-0.249816591
alpha-Catenin-M-V	0.320959835
AMPK_alpha-R-C	0.133842657
AMPK_pT172-R-V	0.372419262
Annexin-1-M-E	0.793451814
Annexin_VII-M-V	-0.0843772500000001
AR-R-V	0.0885301959999999
DIRAS3-M-E	0.055097152
ASNS-R-V	0.887124025
ATM-R-E	0.109445283
B-Raf-M-C	0.956520751
Bad_pS112-R-V	-0.235763139
Bak-R-C	0.356027559
Bap1-c-4-M-E	0.422053304
Bax-R-V	-0.393240647
Bcl-2-M-V	0.362085195
Bcl-xL-R-V	-0.047397551
Beclin-G-C	0.437816941
beta-Catenin-R-V	-1.047147173
Bid-R-C	-0.233515754
Bim-R-V	0.144274299
BRCA2-R-C	0.260852098
c-Jun_pS73-R-V	0.0484264709999999
c-Kit-R-V	-0.154683377
c-Met-M-E	0.604341859
c-Met_pY1235-R-V	0.0316021839999999
c-Myc-R-C	-0.592324656
C-Raf-R-V	-0.015384347
C-Raf_pS338-R-V	-0.2030083
Caspase-7_cleavedD198-R-C	0.374426724
Caspase-8-M-E	0.0873148820000001
Caveolin-1-R-V	-0.207819019
CD20-R-C	0.399759826
CD31-M-V	0.463312089
CD49b-M-V	-0.395621411
CDK1-R-V	0.453081458
Chk1-M-C	0.0609653959999999
Chk1_pS345-R-C	-0.119552865
Chk2-M-E	0.211448282
Chk2_pT68-R-C	-0.151209371
cIAP-R-V	0.022511463
Claudin-7-R-V	0.40621322
Collagen_VI-R-V	-0.512542489
Cyclin_B1-R-V	0.558136176
Cyclin_D1-R-V	-0.551548268
Cyclin_E1-M-V	-0.209359169
Cyclin_E2-R-C	-0.00904027699999999
DJ-1-R-E	-0.087462208
Dvl3-R-V	-0.063614434
E-Cadherin-R-V	0.279978487
eEF2-R-C	-0.010937018
eEF2K-R-V	0.359260594
EGFR-R-V	-0.166250345
EGFR_pY1068-R-C	0.210201062
EGFR_pY1173-R-V	-0.099179714
eIF4E-R-V	0.120809234
eIF4G-R-C	0.587145443
ER-alpha-R-V	3.201253797
ER-alpha_pS118-R-V	0.408431778
ERCC1-M-V	0.381811882
ERK2-R-E	-0.080550188
ETS-1-R-V	-0.0643497510000001
FASN-R-V	0.129255471
Fibronectin-R-V	0.420818675
FoxM1-R-V	0.508440176
FOXO3a-R-C	0.76449642
FOXO3a_pS318_S321-R-C	0.11615094
G6PD-M-V	1.665039247
GAB2-R-V	0.530591559
GAPDH-M-C	-0.392222948
GATA3-M-V	0.57809187
GSK3-alpha-beta-M-V	-0.248535642
GSK3-alpha-beta_pS21_S9-R-V	-0.499480616
GSK3_pS9-R-V	-0.282832329
HER2-M-V	0.959290669
HER2_pY1248-R-C	0.538243997
HER3-R-V	0.822443453
HER3_pY1289-R-C	-0.149132705
Heregulin-R-V	0.064929109
HSP70-R-C	-0.458312748
IGFBP2-R-V	-0.192539803
INPP4B-R-V	0.411611671
IRS1-R-V	0.114435472
JNK_pT183_pY185-R-V	0.0880226250000001
JNK2-R-C	0.126517493
Ku80-R-C	0.247227654
Lck-R-V	-0.309054393
LKB1-M-E	0
MAPK_pT202_Y204-R-V	-0.362989703
MEK1-R-V	-0.305464794
MEK1_pS217_S221-R-V	-0.313043348
MIG-6-M-V	-0.013422536
Mre11-R-C	-0.049798272
MSH2-M-V	0.657329088
MSH6-R-C	0.117706175
mTOR-R-V	0.241846613
mTOR_pS2448-R-C	0.0204822960000001
MYH11-R-V	-1.000204397
Myosin-IIa_pS1943-R-V	-0.177853336
N-Cadherin-R-V	-0.075795414
N-Ras-M-V	-0.0808441409999999
NDRG1_pT346-R-V	-0.642871664
NF-kB-p65_pS536-R-C	-0.0180002980000001
NF2-R-C	0.665024981
Notch1-R-V	-0.0849718410000001
P-Cadherin-R-C	0.426845191
p21-R-V	-1.311946382
p27-R-V	-0.059546811
p27_pT157-R-C	-0.0241651329999999
p27_pT198-R-V	-0.013251844
p38_MAPK-R-V	-0.481383985
p38_pT180_Y182-R-V	-0.680536179
p53-R-E	0.711996131
p62-LCK-ligand-M-C	0.379974052
p70S6K-R-V	-0.090226454
p70S6K_pT389-R-V	0.119731913
p90RSK-R-C	-0.022178795
p90RSK_pT359_S363-R-C	-0.251652275
PAI-1-M-E	-0.765156314
PARP_cleaved-M-E	0.370966845
Paxillin-R-C	0.0381103800000001
PCNA-M-C	-0.326232819
PDCD4-R-C	-0.319870478
PDK1-R-V	-0.0498403079999999
PDK1_pS241-R-V	0.0738574709999998
PEA15-R-V	-0.077023997
PEA15_pS116-R-V	-0.118481537
PI3K-p110-alpha-R-C	0.154038661
PI3K-p85-R-V	-0.079316272
PKC-alpha-M-V	-0.374861479
PKC-alpha_pS657-R-C	-0.230835008
PKC-delta_pS664-R-V	0.209594533
PKC-pan_BetaII_pS660-R-V	-0.27622608
PR-R-V	0.32655429
PRAS40_pT246-R-V	-0.136728549
PRDX1-R-V	-0.0662241389999999
PREX1-R-E	2.68154312
PTEN-R-V	-0.0594556810000001
Rab11-R-E	-0.05403499
Rab25-R-V	-0.13188426
Rad50-M-V	0.0439821140000002
Rad51-R-V	-0.0136249199999999
Raptor-R-V	-0.0361726259999999
Rb-M-E	0.054873705
Rb_pS807_S811-R-V	0.144645091
RBM15-R-V	0.223844315
Rictor-R-C	-0.177734945
Rictor_pT1135-R-V	-0.318898452
S6-R-E	0.424053191
S6_pS235_S236-R-V	0.0164732050000002
S6_pS240_S244-R-V	0.299755343
SCD-M-V	0.227210331
SETD2-R-E	-0.0643172239999998
SF2-M-V	0.672951639
Shc_pY317-R-E	0.359228226
Smac-M-E	-0.0378015629999998
Smad1-R-V	-0.036009976
Smad3-R-V	-0.167151651
Smad4-M-V	0.239022469
Snail-M-E	0.527791525
Src-M-V	-0.716411794
Src_pY416-R-C	0.103868874
Src_pY527-R-V	-0.856972338
STAT3_pY705-R-V	-0.262756666
STAT5-alpha-R-V	0.445653001
Stathmin-R-V	-0.460471883
Syk-M-V	-0.00241134200000004
TAZ-R-V	0.047211405
TIGAR-R-V	0.020810755
Transglutaminase-M-V	-0.504302564
TFRC-R-V	0.450974267
TSC1-R-C	0.137278628
TTF1-R-V	0.279845416
Tuberin-R-E	0.363080785
Tuberin_pT1462-R-V	0.104485887
VEGFR2-R-V	-0.351919467
EPPK1-M-E	-1.06620456
XBP1-G-C	0.789918491
XRCC1-R-E	0.373586146
YAP-R-E	-0.180782584
YAP_pS127-R-E	-0.412662245
YB-1-R-V	-0.322312661
YB-1_pS102-R-V	-0.233725348
JAB1-M-C	0.536083012
PARP1-R-V	0.148062094
A-Raf-R-V	0.0708225939999999
ARID1A-R-C	-0.202996495
B-Raf_pS445-R-V	0.619181746
Bcl2A1-R-V	-0.375492872
BRD4-R-V	0.12988855
c-Abl-R-V	-0.310766657
Caspase-3-R-C	0.00906733100000001
CD26-R-V	-0.313541725
Chk1_pS296-R-V	-0.242267471
COG3-R-V	0.18333993
DUSP4-R-V	0.399860367
ERCC5-R-C	-0.485094598
IGF1R_pY1135_Y1136-R-V	-0.183388685
IRF-1-R-C	-0.377149312
Jak2-R-V	0.0474784870000001
p16_INK4a-R-V	-1.266782375
SHP-2_pY542-R-C	-0.227396388
CDK1_pY15-R-C	-0.087535789
