Sample REF	25907BD2-AF9F-4497-8B88-8E0E47BC3C33
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.239548743
14-3-3_epsilon-M-C	0.181010479
14-3-3_zeta-R-V	0.145064614
4E-BP1-R-V	-0.371291834
4E-BP1_pS65-R-V	-0.217186138
4E-BP1_pT37_T46-R-V	-0.839521109
4E-BP1_pT70-R-V	0.163602784
53BP1-R-E	-0.129971723
A-Raf_pS299-R-C	0.030767144
ACC_pS79-R-V	-0.120858927
ACC1-R-E	0.475299261
Acetyl-a-Tubulin-Lys40-R-C	-0.756263985
ACVRL1-R-C	0.322851467
ADAR1-M-V	-0.032829137
Akt-R-V	-0.589138291
Akt_pS473-R-V	-0.549552929
Akt_pT308-R-V	-0.293348894
alpha-Catenin-M-V	0.0898369670000001
AMPK_alpha-R-C	0.409592495
AMPK_pT172-R-V	-0.17130879
Annexin-1-M-E	-0.57149899
Annexin_VII-M-V	0.162260822
AR-R-V	-0.158004923
DIRAS3-M-E	-0.045454322
ASNS-R-V	0.404946833
ATM-R-E	0.805403375
B-Raf-M-C	-0.314828033
Bad_pS112-R-V	-0.475542171
Bak-R-C	0.0510557710000001
Bap1-c-4-M-E	-0.375232228
Bax-R-V	-0.0560987780000001
Bcl-2-M-V	0.125742675
Bcl-xL-R-V	0.172698835
Beclin-G-C	-0.117650025
beta-Catenin-R-V	-0.656775443
Bid-R-C	0.044652122
Bim-R-V	0.254853218
BRCA2-R-C	0.118810855
c-Jun_pS73-R-V	-0.526381175
c-Kit-R-V	2.342057725
c-Met-M-E	0.000567313999999985
c-Met_pY1235-R-V	0.0838751719999999
c-Myc-R-C	-0.294788404
C-Raf-R-V	-0.104481778
C-Raf_pS338-R-V	0.087629963
Caspase-7_cleavedD198-R-C	0.706574481
Caspase-8-M-E	0.136529781
Caveolin-1-R-V	-0.431905607
CD20-R-C	0.137602971
CD31-M-V	0.584218242
CD49b-M-V	-0.236598592
CDK1-R-V	0.0228234469999999
Chk1-M-C	-0.0814927780000003
Chk1_pS345-R-C	-0.175125118
Chk2-M-E	0.179438047
Chk2_pT68-R-C	0.118738871
cIAP-R-V	0.231198803
Claudin-7-R-V	0.876694484
Collagen_VI-R-V	-0.096770571
Cyclin_B1-R-V	-0.022486692
Cyclin_D1-R-V	0.497500079
Cyclin_E1-M-V	0.260209578
Cyclin_E2-R-C	0.00370473599999999
DJ-1-R-E	0.322736266
Dvl3-R-V	-0.338871557
E-Cadherin-R-V	-1.336455604
eEF2-R-C	0.461328617
eEF2K-R-V	-0.827840437
EGFR-R-V	-0.080201368
EGFR_pY1068-R-C	-0.124678762
EGFR_pY1173-R-V	0.069116627
eIF4E-R-V	-0.025696753
eIF4G-R-C	-1.020751164
ER-alpha-R-V	0.138441075
ER-alpha_pS118-R-V	0.00274607799999993
ERCC1-M-V	0.068105453
ERK2-R-E	-0.062852653
ETS-1-R-V	0.259839437
FASN-R-V	-0.526248183
Fibronectin-R-V	-0.420859248
FoxM1-R-V	-0.255244226
FOXO3a-R-C	0.268224054
FOXO3a_pS318_S321-R-C	-0.176562573
G6PD-M-V	1.664024098
GAB2-R-V	-0.162873838
GAPDH-M-C	0.148419217
GATA3-M-V	0.096853678
GSK3-alpha-beta-M-V	-0.0826625240000001
GSK3-alpha-beta_pS21_S9-R-V	-0.2572716
GSK3_pS9-R-V	-0.792593119
HER2-M-V	-0.35777807
HER2_pY1248-R-C	-0.0866717339999999
HER3-R-V	-0.343561856
HER3_pY1289-R-C	0.082113643
Heregulin-R-V	0
HSP70-R-C	1.197946257
IGFBP2-R-V	-0.261650925
INPP4B-R-V	0.0724889490000002
IRS1-R-V	0.0521858399999999
JNK_pT183_pY185-R-V	0.150112042
JNK2-R-C	0.228551732
Ku80-R-C	-0.156701232
Lck-R-V	0.383987275
LKB1-M-E	0.265280711
MAPK_pT202_Y204-R-V	-0.162301217
MEK1-R-V	-0.157432317
MEK1_pS217_S221-R-V	0.048948552
MIG-6-M-V	0.158607735
Mre11-R-C	0.210207035
MSH2-M-V	0.341344024
MSH6-R-C	-0.061893301
mTOR-R-V	0.083764656
mTOR_pS2448-R-C	-0.391494172
MYH11-R-V	-1.516647663
Myosin-IIa_pS1943-R-V	-0.101573731
N-Cadherin-R-V	0.356117697
N-Ras-M-V	0.318092782
NDRG1_pT346-R-V	-2.335540679
NF-kB-p65_pS536-R-C	-0.23853578
NF2-R-C	-0.089524044
Notch1-R-V	-0.272124621
P-Cadherin-R-C	0.728862219
p21-R-V	0.287698784
p27-R-V	0.191256562
p27_pT157-R-C	0.004730884
p27_pT198-R-V	-0.00364641500000001
p38_MAPK-R-V	-0.136759809
p38_pT180_Y182-R-V	-0.157266402
p53-R-E	0.354894508
p62-LCK-ligand-M-C	-0.130531027
p70S6K-R-V	-0.39978818
p70S6K_pT389-R-V	0.306736529
p90RSK-R-C	-0.001304263
p90RSK_pT359_S363-R-C	-0.121667827
PAI-1-M-E	-0.86475823
PARP_cleaved-M-E	0.248460038
Paxillin-R-C	-1.281175327
PCNA-M-C	0.076979539
PDCD4-R-C	-0.268731036
PDK1-R-V	0.141916865
PDK1_pS241-R-V	0.127546066
PEA15-R-V	0.033978558
PEA15_pS116-R-V	0.146807965
PI3K-p110-alpha-R-C	-0.197828856
PI3K-p85-R-V	0.189414925
PKC-alpha-M-V	0.00552182100000009
PKC-alpha_pS657-R-C	0.14628874
PKC-delta_pS664-R-V	0.0449637039999999
PKC-pan_BetaII_pS660-R-V	-0.200196569
PR-R-V	0.129564598
PRAS40_pT246-R-V	-0.362016105
PRDX1-R-V	0.572723676
PREX1-R-E	0.546587013
PTEN-R-V	-0.216335646
Rab11-R-E	0.367350885
Rab25-R-V	0.418581365
Rad50-M-V	0.30719102
Rad51-R-V	0.587346669
Raptor-R-V	0.119266303
Rb-M-E	0.138629394
Rb_pS807_S811-R-V	-0.464366398
RBM15-R-V	-0.435116343
Rictor-R-C	-0.551637524
Rictor_pT1135-R-V	0.015471888
S6-R-E	0.149198478
S6_pS235_S236-R-V	-0.904716924
S6_pS240_S244-R-V	-0.934993498
SCD-M-V	0.108076797
SETD2-R-E	0.0749544560000002
SF2-M-V	0.206845476
Shc_pY317-R-E	-0.045202379
Smac-M-E	0.246052711
Smad1-R-V	-0.262708348
Smad3-R-V	0.029550153
Smad4-M-V	0.097335843
Snail-M-E	0.0778625050000001
Src-M-V	-0.1603941
Src_pY416-R-C	-0.137241295
Src_pY527-R-V	-0.675836015
STAT3_pY705-R-V	-0.0921256149999999
STAT5-alpha-R-V	-1.130497724
Stathmin-R-V	0.059879799
Syk-M-V	0.279907069
TAZ-R-V	0
TIGAR-R-V	0.686821573
Transglutaminase-M-V	0.676885681
TFRC-R-V	-0.366619971
TSC1-R-C	-0.267042907
TTF1-R-V	0.123306284
Tuberin-R-E	-0.253903948
Tuberin_pT1462-R-V	0.00220148300000012
VEGFR2-R-V	-0.255592808
EPPK1-M-E	-0.283312195
XBP1-G-C	-0.108575515
XRCC1-R-E	0.096937755
YAP-R-E	-0.158406238
YAP_pS127-R-E	-0.681872423
YB-1-R-V	-0.319679175
YB-1_pS102-R-V	-0.22186123
JAB1-M-C	0.403925093
PARP1-R-V	0.678846132
A-Raf-R-V	0
ARID1A-R-C	-0.569138042
B-Raf_pS445-R-V	-0.328260483
Bcl2A1-R-V	0.093725936
BRD4-R-V	-0.692672687
c-Abl-R-V	-0.147307802
Caspase-3-R-C	0.145713115
CD26-R-V	0.0124196019999999
Chk1_pS296-R-V	0.162712313
COG3-R-V	-0.047698468
DUSP4-R-V	0.480565199
ERCC5-R-C	-0.0287798420000001
IGF1R_pY1135_Y1136-R-V	0.098543456
IRF-1-R-C	-0.309032196
Jak2-R-V	-0.118626146
p16_INK4a-R-V	-0.498595547
SHP-2_pY542-R-C	-0.278341171
CDK1_pY15-R-C	-0.338067256
