Sample REF	2A20CB75-42F9-4895-B3DC-9A6FBC9A1E59
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.386206998
14-3-3_epsilon-M-C	-0.0908197749999999
14-3-3_zeta-R-V	-0.537712275
4E-BP1-R-V	-1.19483514
4E-BP1_pS65-R-V	0.463956317
4E-BP1_pT37_T46-R-V	-0.102962809
4E-BP1_pT70-R-V	0.054332488
53BP1-R-E	-1.389989035
A-Raf_pS299-R-C	-0.106338552
ACC_pS79-R-V	-1.642811624
ACC1-R-E	-2.387284632
Acetyl-a-Tubulin-Lys40-R-C	1.54917433
ACVRL1-R-C	0.739157497
ADAR1-M-V	-0.256318559
Akt-R-V	-0.0511379850000001
Akt_pS473-R-V	0.158370091
Akt_pT308-R-V	0.318280394
alpha-Catenin-M-V	-0.0159863010000003
AMPK_alpha-R-C	0.190141175
AMPK_pT172-R-V	-0.378368331
Annexin-1-M-E	-1.146763941
Annexin_VII-M-V	0.269535736
AR-R-V	0.554517979
DIRAS3-M-E	0.515531433
ASNS-R-V	-0.0264375510000001
ATM-R-E	-1.168692506
B-Raf-M-C	-0.950571699
Bad_pS112-R-V	-0.375365166
Bak-R-C	0.0327632470000001
Bap1-c-4-M-E	-1.334573725
Bax-R-V	-0.998486276
Bcl-2-M-V	0.26427431
Bcl-xL-R-V	-0.340563992
Beclin-G-C	0.348386477
beta-Catenin-R-V	-1.467259227
Bid-R-C	0.703761611
Bim-R-V	-1.345971244
BRCA2-R-C	0.356212911
c-Jun_pS73-R-V	0.128827717
c-Kit-R-V	0.32294172
c-Met-M-E	0.285822005
c-Met_pY1235-R-V	0.479336636
c-Myc-R-C	1.311088229
C-Raf-R-V	-0.203502945
C-Raf_pS338-R-V	0.458568595
Caspase-7_cleavedD198-R-C	-0.688029438
Caspase-8-M-E	0.19296082
Caveolin-1-R-V	2.598383396
CD20-R-C	0.422391718
CD31-M-V	0.302035923
CD49b-M-V	-0.352913751
CDK1-R-V	0.5198616
Chk1-M-C	-0.69528627
Chk1_pS345-R-C	-0.364133325
Chk2-M-E	-1.222576245
Chk2_pT68-R-C	0.509327959
cIAP-R-V	-0.166115305
Claudin-7-R-V	-1.841614856
Collagen_VI-R-V	1.858572191
Cyclin_B1-R-V	-1.812770381
Cyclin_D1-R-V	0.788406468
Cyclin_E1-M-V	-1.262960378
Cyclin_E2-R-C	-0.10055891
DJ-1-R-E	0.20288174
Dvl3-R-V	-0.592674462
E-Cadherin-R-V	-4.455507578
eEF2-R-C	-1.209662235
eEF2K-R-V	-0.389958122
EGFR-R-V	-0.174357672
EGFR_pY1068-R-C	-0.0648894539999998
EGFR_pY1173-R-V	0.58321919
eIF4E-R-V	-0.746838939
eIF4G-R-C	-1.405617794
ER-alpha-R-V	0.937782667
