Sample REF	321A85A8-BC4A-4D64-B8E6-89FC29A338CB
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.265863843
14-3-3_epsilon-M-C	0.026156241
14-3-3_zeta-R-V	-0.152840646
4E-BP1-R-V	-0.317010764
4E-BP1_pS65-R-V	-0.00371338599999999
4E-BP1_pT37_T46-R-V	-0.456268008
4E-BP1_pT70-R-V	0.089900972
53BP1-R-E	-0.258939909
A-Raf_pS299-R-C	-0.079421125
ACC_pS79-R-V	0.517046507
ACC1-R-E	0.545407143
Acetyl-a-Tubulin-Lys40-R-C	1.029499306
ACVRL1-R-C	0.307128708
ADAR1-M-V	-0.129115009
Akt-R-V	-0.470352013
Akt_pS473-R-V	0.822359071
Akt_pT308-R-V	-0.0272288620000001
alpha-Catenin-M-V	-0.0188054179999999
AMPK_alpha-R-C	0.385154499
AMPK_pT172-R-V	-0.031419965
Annexin-1-M-E	0.091767931
Annexin_VII-M-V	-0.121995989
AR-R-V	-0.249371088
DIRAS3-M-E	0.164330906
ASNS-R-V	0.988531464
ATM-R-E	-0.130330159
B-Raf-M-C	0.069711715
Bad_pS112-R-V	-0.116078005
Bak-R-C	0.014079897
Bap1-c-4-M-E	-0.12453488
Bax-R-V	0.209385144
Bcl-2-M-V	-0.103977078
Bcl-xL-R-V	0.26256639
Beclin-G-C	0.042467426
beta-Catenin-R-V	-0.0475293929999999
Bid-R-C	0.196221453
Bim-R-V	-0.475330262
BRCA2-R-C	0.335368336
c-Jun_pS73-R-V	0.333657975
c-Kit-R-V	-0.0448413429999999
c-Met-M-E	-0.0713164120000003
c-Met_pY1235-R-V	0.107657489
c-Myc-R-C	0.913143663
C-Raf-R-V	0.08074078
C-Raf_pS338-R-V	0.180120313
Caspase-7_cleavedD198-R-C	0.309640223
Caspase-8-M-E	-0.054519558
Caveolin-1-R-V	-0.670214325
CD20-R-C	0.128519537
CD31-M-V	0.270757815
CD49b-M-V	1.408865546
CDK1-R-V	-0.0474956780000002
Chk1-M-C	-0.425891544
Chk1_pS345-R-C	-0.238710636
Chk2-M-E	-0.485587485
Chk2_pT68-R-C	0.174452846
cIAP-R-V	0.248977333
Claudin-7-R-V	-0.825800582
Collagen_VI-R-V	0.101949199
Cyclin_B1-R-V	-0.645638654
Cyclin_D1-R-V	0.604232987
Cyclin_E1-M-V	0.318593528
Cyclin_E2-R-C	-0.0816064609999999
DJ-1-R-E	0.024159896
Dvl3-R-V	0.112059892
E-Cadherin-R-V	-0.172210674
eEF2-R-C	-0.170266808
eEF2K-R-V	0.168356162
EGFR-R-V	0.200333757
EGFR_pY1068-R-C	-0.30136854
EGFR_pY1173-R-V	0.071025201
eIF4E-R-V	-0.026661675
eIF4G-R-C	-0.0469648110000001
ER-alpha-R-V	-0.368966541
ER-alpha_pS118-R-V	0
ERCC1-M-V	0.0209456240000001
ERK2-R-E	0.024744287
ETS-1-R-V	0.205584412
FASN-R-V	0.256446013
Fibronectin-R-V	1.312285389
FoxM1-R-V	-0.28487181
FOXO3a-R-C	0.046354687
FOXO3a_pS318_S321-R-C	0.062425883
G6PD-M-V	0.400182165
GAB2-R-V	-0.152758672
GAPDH-M-C	-0.025677425
GATA3-M-V	-0.153427037
GSK3-alpha-beta-M-V	0.101833684
GSK3-alpha-beta_pS21_S9-R-V	-0.169612009
GSK3_pS9-R-V	0.120354821
HER2-M-V	-0.443711461
HER2_pY1248-R-C	0.069954398
HER3-R-V	-0.352584076
HER3_pY1289-R-C	0.434280924
Heregulin-R-V	0.315320217
HSP70-R-C	1.014518142
IGFBP2-R-V	0.725910051
INPP4B-R-V	-0.114976658
IRS1-R-V	0.098104728
JNK_pT183_pY185-R-V	0.268045588
JNK2-R-C	0.141529948
Ku80-R-C	-0.152905871
Lck-R-V	-0.062274868
LKB1-M-E	0.373196224
MAPK_pT202_Y204-R-V	-0.136550451
MEK1-R-V	-0.262197724
MEK1_pS217_S221-R-V	0.144187294
MIG-6-M-V	0.307279685
Mre11-R-C	0.311572325
MSH2-M-V	-0.0970285990000002
MSH6-R-C	-0.02761311
mTOR-R-V	-0.137318523
mTOR_pS2448-R-C	-0.210645611
MYH11-R-V	-1.107996848
Myosin-IIa_pS1943-R-V	0.080151776
N-Cadherin-R-V	0.415850672
N-Ras-M-V	0.314031956
NDRG1_pT346-R-V	0.616111164
NF-kB-p65_pS536-R-C	0.135250592
NF2-R-C	0.114667925
Notch1-R-V	-0.0951628150000001
P-Cadherin-R-C	0.085394907
p21-R-V	-0.131988505
p27-R-V	-0.232166967
p27_pT157-R-C	0.207458322
p27_pT198-R-V	0.248674586
p38_MAPK-R-V	0.142640767
p38_pT180_Y182-R-V	-0.018373087
p53-R-E	0.186163893
p62-LCK-ligand-M-C	0.040778473
p70S6K-R-V	-0.270354352
p70S6K_pT389-R-V	0.18764924
p90RSK-R-C	-0.441957527
p90RSK_pT359_S363-R-C	0.289935167
PAI-1-M-E	3.875609508
PARP_cleaved-M-E	0.135732897
Paxillin-R-C	0.388985055
PCNA-M-C	0.093188943
PDCD4-R-C	-1.146699611
PDK1-R-V	0.038278517
PDK1_pS241-R-V	-0.291203917
PEA15-R-V	0.170063408
PEA15_pS116-R-V	0.069895918
PI3K-p110-alpha-R-C	-0.00171537699999991
PI3K-p85-R-V	0.120346971
PKC-alpha-M-V	-0.337636011
PKC-alpha_pS657-R-C	-0.69279934
PKC-delta_pS664-R-V	-0.214445251
PKC-pan_BetaII_pS660-R-V	-0.875567818
PR-R-V	0.077665804
PRAS40_pT246-R-V	-0.0838771669999999
PRDX1-R-V	0.137633989
PREX1-R-E	0.103234629
PTEN-R-V	-0.27205582
Rab11-R-E	0.124111446
Rab25-R-V	-0.627710803
Rad50-M-V	0.27882853
Rad51-R-V	0.976279063
Raptor-R-V	-0.099850234
Rb-M-E	-0.063357498
Rb_pS807_S811-R-V	0.284199103
RBM15-R-V	-0.350180088
Rictor-R-C	-0.69745269
Rictor_pT1135-R-V	-0.021855739
S6-R-E	-0.300082188
S6_pS235_S236-R-V	-0.37124212
S6_pS240_S244-R-V	-0.261118133
SCD-M-V	-0.0590962339999999
SETD2-R-E	0.193799311
SF2-M-V	-0.076287003
Shc_pY317-R-E	-0.2330344
Smac-M-E	-0.089559525
Smad1-R-V	-0.138467745
Smad3-R-V	0.087973209
Smad4-M-V	-0.088356348
Snail-M-E	-0.219226505
Src-M-V	-0.107084204
Src_pY416-R-C	-0.848241549
Src_pY527-R-V	-1.247950747
STAT3_pY705-R-V	-0.430770876
STAT5-alpha-R-V	-0.440140329
Stathmin-R-V	0.217090843
Syk-M-V	-0.0495815139999999
TAZ-R-V	0.014227013
TIGAR-R-V	-0.097078663
Transglutaminase-M-V	0.399609668
TFRC-R-V	0.893250949
TSC1-R-C	-0.05267079
TTF1-R-V	-0.0491617680000001
Tuberin-R-E	-0.151371044
Tuberin_pT1462-R-V	-0.172125391
VEGFR2-R-V	0.701268564
EPPK1-M-E	-0.919887694
XBP1-G-C	-0.555625528
XRCC1-R-E	0.241157318
YAP-R-E	1.345740479
