Sample REF	338F2045-F35A-402B-A07C-83AFC37DB6E4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.329139278
14-3-3_epsilon-M-C	-0.09824447
14-3-3_zeta-R-V	0.0215952020000001
4E-BP1-R-V	-0.117731586
4E-BP1_pS65-R-V	-0.10101368
4E-BP1_pT37_T46-R-V	0.462093529
4E-BP1_pT70-R-V	0.094331259
53BP1-R-E	-0.144260765
A-Raf_pS299-R-C	-0.232421629
ACC_pS79-R-V	0.402835448
ACC1-R-E	0.37313819
Acetyl-a-Tubulin-Lys40-R-C	0.095676801
ACVRL1-R-C	-0.103933277
ADAR1-M-V	-0.120063924
Akt-R-V	0.0742950280000001
Akt_pS473-R-V	-0.525950392
Akt_pT308-R-V	-0.469316245
alpha-Catenin-M-V	-0.12806575
AMPK_alpha-R-C	-0.171369682
AMPK_pT172-R-V	-0.526015659
Annexin-1-M-E	1.430004535
Annexin_VII-M-V	-0.125251549
AR-R-V	-0.206332119
DIRAS3-M-E	-0.15410918
ASNS-R-V	-0.845031772
ATM-R-E	0.546394991
B-Raf-M-C	0.045416716
Bad_pS112-R-V	0.515507557
Bak-R-C	-0.152740238
Bap1-c-4-M-E	-0.110752807
Bax-R-V	-0.145620494
Bcl-2-M-V	-0.158361267
Bcl-xL-R-V	-0.106468452
Beclin-G-C	-0.120714401
beta-Catenin-R-V	0.446185442
Bid-R-C	0.136404651
Bim-R-V	-0.503055273
BRCA2-R-C	0.0131632509999999
c-Jun_pS73-R-V	0.114053241
c-Kit-R-V	-0.129355825
c-Met-M-E	0.00402723899999979
c-Met_pY1235-R-V	-0.044871792
c-Myc-R-C	0.106979179
C-Raf-R-V	-0.16829204
C-Raf_pS338-R-V	0.026224992
Caspase-7_cleavedD198-R-C	0.309037565
Caspase-8-M-E	0.0445333250000002
Caveolin-1-R-V	0.860156392
CD20-R-C	-0.071561604
CD31-M-V	-0.112675133
CD49b-M-V	-0.358613374
CDK1-R-V	-0.331434127
Chk1-M-C	0.0568860829999998
Chk1_pS345-R-C	0.09281661
Chk2-M-E	-0.186135182
Chk2_pT68-R-C	0.051901104
cIAP-R-V	0.065118856
Claudin-7-R-V	0.275903955
Collagen_VI-R-V	-0.391335616
Cyclin_B1-R-V	-0.629258346
Cyclin_D1-R-V	0.439113472
Cyclin_E1-M-V	-0.145748892
Cyclin_E2-R-C	-0.23812935
DJ-1-R-E	-0.232510453
Dvl3-R-V	0.032047753
E-Cadherin-R-V	0.768774961
eEF2-R-C	-0.00237655400000003
eEF2K-R-V	0.272236865
EGFR-R-V	0.563346636
EGFR_pY1068-R-C	0.203437271
EGFR_pY1173-R-V	-0.008012772
eIF4E-R-V	-0.00301008999999997
eIF4G-R-C	0.278851284
ER-alpha-R-V	0.448648835
ER-alpha_pS118-R-V	-0.0880396099999999
ERCC1-M-V	-0.16763839
ERK2-R-E	0.00873841099999995
ETS-1-R-V	0.168075713
FASN-R-V	0.400976638
Fibronectin-R-V	-0.334384289
FoxM1-R-V	0.173811886
FOXO3a-R-C	-0.18556705
FOXO3a_pS318_S321-R-C	0.030352241
G6PD-M-V	0.146684698
GAB2-R-V	-0.081147017
GAPDH-M-C	-0.378975646
GATA3-M-V	0.683976538
GSK3-alpha-beta-M-V	-0.0624474110000001
GSK3-alpha-beta_pS21_S9-R-V	-0.044481826
GSK3_pS9-R-V	-0.326855792
HER2-M-V	0.39415968
HER2_pY1248-R-C	0.399258572
HER3-R-V	0.223939041
HER3_pY1289-R-C	0.070439172
Heregulin-R-V	-0.051942564
HSP70-R-C	0.850943843
IGFBP2-R-V	1.023251896
INPP4B-R-V	0.116570199
IRS1-R-V	0.279316449
JNK_pT183_pY185-R-V	-0.000581801999999909
JNK2-R-C	-0.472115834
Ku80-R-C	0.265983807
Lck-R-V	0.21482045
LKB1-M-E	0.187566901
MAPK_pT202_Y204-R-V	0
MEK1-R-V	-0.228213441
MEK1_pS217_S221-R-V	0.172320728
MIG-6-M-V	-0.058976194
Mre11-R-C	0.230240029
MSH2-M-V	-0.19373711
MSH6-R-C	-0.264226983
mTOR-R-V	0.371869628
mTOR_pS2448-R-C	0.0407846270000001
MYH11-R-V	-1.887578186
Myosin-IIa_pS1943-R-V	-0.101297033
N-Cadherin-R-V	0.005490471
N-Ras-M-V	0.080412718
NDRG1_pT346-R-V	0.174917295
NF-kB-p65_pS536-R-C	0.300292286
NF2-R-C	0.017572285
Notch1-R-V	0.214250143
P-Cadherin-R-C	-0.136940077
p21-R-V	0.136518827
p27-R-V	-0.149428221
p27_pT157-R-C	-0.105891158
p27_pT198-R-V	0.081118349
p38_MAPK-R-V	-0.000291309999999934
p38_pT180_Y182-R-V	0.491394849
p53-R-E	0.277645678
p62-LCK-ligand-M-C	-0.463195143
p70S6K-R-V	-0.109833547
p70S6K_pT389-R-V	0.352444898
p90RSK-R-C	0.187572653
p90RSK_pT359_S363-R-C	0.703863696
PAI-1-M-E	-0.869186532
PARP_cleaved-M-E	0.0200422219999998
Paxillin-R-C	0.306587832
PCNA-M-C	-0.461430532
PDCD4-R-C	0.893379623
PDK1-R-V	-0.027300755
PDK1_pS241-R-V	-0.035690077
PEA15-R-V	-0.156747152
PEA15_pS116-R-V	-0.061902974
PI3K-p110-alpha-R-C	-0.26413495
PI3K-p85-R-V	-0.094431466
PKC-alpha-M-V	0.922686276
PKC-alpha_pS657-R-C	-0.047259048
PKC-delta_pS664-R-V	0.050789938
PKC-pan_BetaII_pS660-R-V	0.452158124
PR-R-V	-0.000101550999999978
PRAS40_pT246-R-V	0.027895678
PRDX1-R-V	-0.320360172
PREX1-R-E	0.059243274
PTEN-R-V	0.226228196
Rab11-R-E	0.166384577
Rab25-R-V	0.108346384
Rad50-M-V	-0.150897878
Rad51-R-V	1.021326539
Raptor-R-V	0.034355759
Rb-M-E	0.0457437869999999
Rb_pS807_S811-R-V	0.326515829
RBM15-R-V	-0.057757693
Rictor-R-C	-0.159650268
Rictor_pT1135-R-V	0.166587655
S6-R-E	-0.053435016
S6_pS235_S236-R-V	0.732568039
S6_pS240_S244-R-V	0.519912425
SCD-M-V	-0.092072623
SETD2-R-E	0.968876312
SF2-M-V	-0.0503537579999997
Shc_pY317-R-E	0.138582796
Smac-M-E	-0.245418802
Smad1-R-V	-0.277000369
Smad3-R-V	0.014376977
Smad4-M-V	-0.190021379
Snail-M-E	-0.0183539189999997
Src-M-V	0.164078369
Src_pY416-R-C	-0.579877858
Src_pY527-R-V	0.449109964
STAT3_pY705-R-V	0.171846164
STAT5-alpha-R-V	0.0656606830000001
Stathmin-R-V	0.027162598
Syk-M-V	0.00738214600000009
TAZ-R-V	-0.062993798
TIGAR-R-V	-0.086081681
Transglutaminase-M-V	-0.138938217
TFRC-R-V	-1.214526017
TSC1-R-C	-0.118717972
TTF1-R-V	-0.169327746
Tuberin-R-E	-0.184411057
Tuberin_pT1462-R-V	-0.357576901
VEGFR2-R-V	0.233088992
EPPK1-M-E	1.677994549
XBP1-G-C	-0.0435269130000002
XRCC1-R-E	-0.151068589
YAP-R-E	0.0971896130000001
YAP_pS127-R-E	0.424977958
YB-1-R-V	-0.030784994
YB-1_pS102-R-V	0.249223824
JAB1-M-C	-0.147562228
PARP1-R-V	-0.196085337
A-Raf-R-V	-0.314238025
ARID1A-R-C	-0.154202061
B-Raf_pS445-R-V	-0.01015172
Bcl2A1-R-V	0.263668284
BRD4-R-V	-0.314960608
c-Abl-R-V	-0.15479923
Caspase-3-R-C	-0.086914444
CD26-R-V	-0.129152084
Chk1_pS296-R-V	0.112429264
COG3-R-V	0.010351386
DUSP4-R-V	0.262613993
ERCC5-R-C	-0.021544432
IGF1R_pY1135_Y1136-R-V	0.155717029
IRF-1-R-C	0.158791689
Jak2-R-V	-0.235756125
p16_INK4a-R-V	-0.475820189
SHP-2_pY542-R-C	0.187960454
CDK1_pY15-R-C	-0.128731955
