Sample REF	33DF4CED-0F6D-4E70-BD3F-D21D94310B95
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.208319693
14-3-3_epsilon-M-C	-0.044924194
14-3-3_zeta-R-V	0.189916131
4E-BP1-R-V	-0.18901937
4E-BP1_pS65-R-V	-0.018328201
4E-BP1_pT37_T46-R-V	-0.1021121
4E-BP1_pT70-R-V	-0.385966181
53BP1-R-E	0.143586245
A-Raf_pS299-R-C	-0.202457634
ACC_pS79-R-V	-0.090253687
ACC1-R-E	-0.162970533
Acetyl-a-Tubulin-Lys40-R-C	-1.633810831
ACVRL1-R-C	0.0427646999999998
ADAR1-M-V	-3.35930000001095e-05
Akt-R-V	0.2168972
Akt_pS473-R-V	-0.74127301
Akt_pT308-R-V	-0.510707627
alpha-Catenin-M-V	0.0302931339999999
AMPK_alpha-R-C	0.095251527
AMPK_pT172-R-V	0.547051796
Annexin-1-M-E	0.5402133
Annexin_VII-M-V	-0.114981802
AR-R-V	-0.0984645130000001
DIRAS3-M-E	0.00952373099999992
ASNS-R-V	-0.00470098099999999
ATM-R-E	0.0628753589999999
B-Raf-M-C	0.110166507
Bad_pS112-R-V	-0.0646289430000001
Bak-R-C	0.297271898
Bap1-c-4-M-E	0.071877408
Bax-R-V	0.152721743
Bcl-2-M-V	-0.110177824
Bcl-xL-R-V	-0.146447293
Beclin-G-C	-0.139119098
beta-Catenin-R-V	0.692401429
Bid-R-C	0.022694587
Bim-R-V	-0.443078723
BRCA2-R-C	-0.0351592950000001
c-Jun_pS73-R-V	0.972022833
c-Kit-R-V	-0.121692809
c-Met-M-E	0.053159523
c-Met_pY1235-R-V	0.0508614759999999
c-Myc-R-C	0.00961056999999996
C-Raf-R-V	0.0756194569999999
C-Raf_pS338-R-V	0.0393442999999999
Caspase-7_cleavedD198-R-C	0.731833282
Caspase-8-M-E	0.0373518410000001
Caveolin-1-R-V	0.395033473
CD20-R-C	-0.00512886300000009
CD31-M-V	-0.0560086809999999
CD49b-M-V	0.0386043249999999
CDK1-R-V	0.00693394299999978
Chk1-M-C	-0.212574942
Chk1_pS345-R-C	-0.0701954870000001
Chk2-M-E	-0.0752092990000001
Chk2_pT68-R-C	-0.0358606280000001
cIAP-R-V	0.026574329
Claudin-7-R-V	0.120295693
Collagen_VI-R-V	-0.107960919
Cyclin_B1-R-V	0.0469949669999999
Cyclin_D1-R-V	-0.200197309
