Sample REF	36EF8DA6-EB98-460D-B983-553061F6C566
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0102922299999999
14-3-3_epsilon-M-C	-0.02093339
14-3-3_zeta-R-V	-0.261120499
4E-BP1-R-V	0.161053854
4E-BP1_pS65-R-V	0.00785103199999998
4E-BP1_pT37_T46-R-V	0.41097052
4E-BP1_pT70-R-V	0.115810566
53BP1-R-E	8.94740000000338e-05
A-Raf_pS299-R-C	0.143065178
ACC_pS79-R-V	0.408059023
ACC1-R-E	-0.0797622119999999
Acetyl-a-Tubulin-Lys40-R-C	0.361792023
ACVRL1-R-C	-0.079269579
ADAR1-M-V	-0.021025001
Akt-R-V	0.111192668
Akt_pS473-R-V	0.390139581
Akt_pT308-R-V	0.704721326
alpha-Catenin-M-V	0.214177985
AMPK_alpha-R-C	-0.00253693299999996
AMPK_pT172-R-V	0.435988039
Annexin-1-M-E	0.354018775
Annexin_VII-M-V	0.17288593
AR-R-V	0.042004815
DIRAS3-M-E	-0.073449639
ASNS-R-V	0.550580832
ATM-R-E	-0.069850447
B-Raf-M-C	-0.301760551
Bad_pS112-R-V	0.302665919
Bak-R-C	0.165337403
Bap1-c-4-M-E	0.259911919
Bax-R-V	-0.149098367
Bcl-2-M-V	0.28159783
Bcl-xL-R-V	0.124559074
Beclin-G-C	-0.0411562909999999
beta-Catenin-R-V	0.175708674
Bid-R-C	-0.296638618
Bim-R-V	-0.213551437
BRCA2-R-C	-0.06884008
c-Jun_pS73-R-V	-0.130795152
c-Kit-R-V	-0.216056008
c-Met-M-E	9.94949999996719e-05
c-Met_pY1235-R-V	-0.048279082
c-Myc-R-C	-0.404331382
C-Raf-R-V	0.209658233
C-Raf_pS338-R-V	-0.117185973
Caspase-7_cleavedD198-R-C	-0.196773282
Caspase-8-M-E	-0.0807059049999999
Caveolin-1-R-V	-0.572547446
CD20-R-C	0.112034408
CD31-M-V	0.0337645430000001
CD49b-M-V	0.434182661
CDK1-R-V	0.179052245
Chk1-M-C	0.00528185999999992
Chk1_pS345-R-C	0.457884004
Chk2-M-E	0.129571457
Chk2_pT68-R-C	-0.0789061699999999
cIAP-R-V	-0.0884694559999999
Claudin-7-R-V	0.451161784
Collagen_VI-R-V	-0.200281714
Cyclin_B1-R-V	0.325407314
Cyclin_D1-R-V	-0.265756776
Cyclin_E1-M-V	0.53849067
Cyclin_E2-R-C	0.253514133
DJ-1-R-E	-0.130484436
Dvl3-R-V	-0.151321118
E-Cadherin-R-V	0.961608164
eEF2-R-C	0
eEF2K-R-V	0.775063143
EGFR-R-V	-0.212643699
EGFR_pY1068-R-C	-0.100065891
EGFR_pY1173-R-V	-0.048590311
eIF4E-R-V	0.060453945
eIF4G-R-C	0.131677938
ER-alpha-R-V	-0.170726791
ER-alpha_pS118-R-V	0.164033454
ERCC1-M-V	0.0644114350000002
ERK2-R-E	-0.010063067
ETS-1-R-V	-0.08033491
FASN-R-V	-0.206032847
Fibronectin-R-V	-0.344653338
FoxM1-R-V	0.400703701
FOXO3a-R-C	0.120227798
FOXO3a_pS318_S321-R-C	-0.00196456699999997
G6PD-M-V	0.0706253649999999
GAB2-R-V	0.205005978
GAPDH-M-C	0.067035342
GATA3-M-V	0.12026986
GSK3-alpha-beta-M-V	0.143664746
GSK3-alpha-beta_pS21_S9-R-V	0.389521112
GSK3_pS9-R-V	1.085512667
HER2-M-V	0.024934634
HER2_pY1248-R-C	-0.242511282
HER3-R-V	-0.00704065199999987
HER3_pY1289-R-C	-0.047042637
Heregulin-R-V	-0.114081013
HSP70-R-C	-0.279785594
IGFBP2-R-V	1.1411289
INPP4B-R-V	-0.0303181369999997
IRS1-R-V	-0.10464517
JNK_pT183_pY185-R-V	-0.0293223639999998
JNK2-R-C	-0.037161528
Ku80-R-C	0.25217017
Lck-R-V	0.401652622
LKB1-M-E	-0.160824966
MAPK_pT202_Y204-R-V	-0.395358037
MEK1-R-V	-0.00177370999999998
MEK1_pS217_S221-R-V	-0.206922907
MIG-6-M-V	-0.0789080899999999
Mre11-R-C	-0.21123617
MSH2-M-V	0.366169074
MSH6-R-C	0.236895025
mTOR-R-V	-0.131765617
mTOR_pS2448-R-C	-0.18464017
MYH11-R-V	-0.576323566
Myosin-IIa_pS1943-R-V	-0.136442417
N-Cadherin-R-V	-0.188900071
N-Ras-M-V	-0.04474626
NDRG1_pT346-R-V	2.120096448
NF-kB-p65_pS536-R-C	0.146331681
NF2-R-C	0.040290717
Notch1-R-V	-0.0456077600000001
P-Cadherin-R-C	-0.125589006
p21-R-V	0.09365174
p27-R-V	0.0150537290000001
p27_pT157-R-C	-0.028418372
p27_pT198-R-V	0.088237106
p38_MAPK-R-V	0.0661339760000001
p38_pT180_Y182-R-V	0.369099676
p53-R-E	-0.0952221439999997
p62-LCK-ligand-M-C	0.35673834
p70S6K-R-V	0.0687439440000001
p70S6K_pT389-R-V	-0.116180262
p90RSK-R-C	0.147038551
p90RSK_pT359_S363-R-C	0.31597102
PAI-1-M-E	-0.477457399
PARP_cleaved-M-E	-0.0438038160000001
Paxillin-R-C	-0.265756776
PCNA-M-C	0.190882615
PDCD4-R-C	1.590854671
PDK1-R-V	-0.097241297
PDK1_pS241-R-V	-0.159033834
PEA15-R-V	-0.0928000319999999
PEA15_pS116-R-V	-0.165041838
PI3K-p110-alpha-R-C	0.338086249
PI3K-p85-R-V	0.244657372
PKC-alpha-M-V	-0.0311523129999999
PKC-alpha_pS657-R-C	0.037762169
PKC-delta_pS664-R-V	0.27299378
PKC-pan_BetaII_pS660-R-V	0.711958773
PR-R-V	-0.0381535709999999
PRAS40_pT246-R-V	0.203030928
PRDX1-R-V	-0.227208884
PREX1-R-E	0.058033425
PTEN-R-V	0.273937079
Rab11-R-E	-0.0847265939999999
Rab25-R-V	0.380472879
Rad50-M-V	-0.211692995
Rad51-R-V	-0.315567605
Raptor-R-V	-0.015091354
Rb-M-E	-0.023428678
Rb_pS807_S811-R-V	0.950324905
RBM15-R-V	-0.104709244
Rictor-R-C	-0.272429477
Rictor_pT1135-R-V	-0.194653691
S6-R-E	0.159112871
S6_pS235_S236-R-V	0.372233499
S6_pS240_S244-R-V	0.268994346
SCD-M-V	0.118692077
SETD2-R-E	-0.206214293
SF2-M-V	0.487770636
Shc_pY317-R-E	-0.139424725
Smac-M-E	-0.129936635
Smad1-R-V	0.059131505
Smad3-R-V	0.000335525000000059
Smad4-M-V	0.096921832
Snail-M-E	0.0265238100000004
Src-M-V	-0.084261583
Src_pY416-R-C	-0.145875496
Src_pY527-R-V	-1.122797456
STAT3_pY705-R-V	0.18691437
STAT5-alpha-R-V	0.354371995
Stathmin-R-V	-0.106667447
Syk-M-V	0.487356249
TAZ-R-V	-0.21182861
TIGAR-R-V	-0.205526248
Transglutaminase-M-V	-0.315504541
TFRC-R-V	0.444149755
TSC1-R-C	-0.202484355
TTF1-R-V	0.041272687
Tuberin-R-E	0.00751214100000003
Tuberin_pT1462-R-V	0.143417283
