Sample REF	3B37639D-EC0D-426D-ABC5-9243B346F13D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.221724397
14-3-3_epsilon-M-C	-0.0734715919999999
14-3-3_zeta-R-V	-0.310479202
4E-BP1-R-V	-0.064099713
4E-BP1_pS65-R-V	0.00530506400000003
4E-BP1_pT37_T46-R-V	-0.307402694
4E-BP1_pT70-R-V	0.146139625
53BP1-R-E	0.164888716
A-Raf_pS299-R-C	-0.133387688
ACC_pS79-R-V	0.473607527
ACC1-R-E	0.00920911099999994
Acetyl-a-Tubulin-Lys40-R-C	0.66206407
ACVRL1-R-C	0.135980001
ADAR1-M-V	0.086503894
Akt-R-V	0.143281302
Akt_pS473-R-V	-0.0152479659999999
Akt_pT308-R-V	-0.145135407
alpha-Catenin-M-V	-0.279369465
AMPK_alpha-R-C	-0.0202329869999999
AMPK_pT172-R-V	0.582684049
Annexin-1-M-E	-0.675344028
Annexin_VII-M-V	-0.0632592880000002
AR-R-V	0.107171021
DIRAS3-M-E	-0.100609559
ASNS-R-V	-0.037930537
ATM-R-E	-0.314148416
B-Raf-M-C	0.096701892
Bad_pS112-R-V	0.414483064
Bak-R-C	0.0827410520000001
Bap1-c-4-M-E	-0.0539102879999999
Bax-R-V	0.110670805
Bcl-2-M-V	-0.362095411
Bcl-xL-R-V	-0.200563225
Beclin-G-C	-0.054363128
beta-Catenin-R-V	-0.071066268
Bid-R-C	0.048358877
Bim-R-V	-0.873986498
BRCA2-R-C	0.0387699199999998
c-Jun_pS73-R-V	-0.336076413
c-Kit-R-V	-0.264712628
c-Met-M-E	-0.466150033
c-Met_pY1235-R-V	0.00691769199999998
c-Myc-R-C	-0.37405619
C-Raf-R-V	0.143025067
C-Raf_pS338-R-V	0.207513219
Caspase-7_cleavedD198-R-C	0.250592881
Caspase-8-M-E	-0.189875432
Caveolin-1-R-V	-0.161072661
CD20-R-C	0.100384557
CD31-M-V	-0.133566684
CD49b-M-V	-0.161089978
CDK1-R-V	-0.112148796
Chk1-M-C	-0.268765557
Chk1_pS345-R-C	0.065834586
Chk2-M-E	-0.159442705
Chk2_pT68-R-C	0.059236064
cIAP-R-V	-0.136658675
Claudin-7-R-V	-1.859741411
Collagen_VI-R-V	-0.087765722
Cyclin_B1-R-V	-0.493518253
Cyclin_D1-R-V	0.483325814
Cyclin_E1-M-V	-0.220938288
Cyclin_E2-R-C	0.013071764
DJ-1-R-E	-0.250026948
Dvl3-R-V	0.176991948
E-Cadherin-R-V	-1.462578526
eEF2-R-C	0.182204348
eEF2K-R-V	-0.0580534299999999
EGFR-R-V	0.287765984
EGFR_pY1068-R-C	-0.185280044
EGFR_pY1173-R-V	0.028748557
eIF4E-R-V	-0.071707004
eIF4G-R-C	0.478869514
