Sample REF	40F6A1D0-844F-412D-94CF-5F5BA0FD62E5
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.123183488
14-3-3_epsilon-M-C	-0.03426341
14-3-3_zeta-R-V	0.313855226
4E-BP1-R-V	-0.423570269
4E-BP1_pS65-R-V	0.200332115
4E-BP1_pT37_T46-R-V	-0.0645166920000001
4E-BP1_pT70-R-V	0.252267845
53BP1-R-E	-1.141571744
A-Raf_pS299-R-C	0.017752376
ACC_pS79-R-V	-0.211830171
ACC1-R-E	-0.034133767
Acetyl-a-Tubulin-Lys40-R-C	-1.33948547
ACVRL1-R-C	0.631231951
ADAR1-M-V	-0.036762557
Akt-R-V	0.178894967
Akt_pS473-R-V	-0.218564916
Akt_pT308-R-V	0.206711745
alpha-Catenin-M-V	-0.244351662
AMPK_alpha-R-C	0.35330411
AMPK_pT172-R-V	0.60056113
Annexin-1-M-E	0.309543991
Annexin_VII-M-V	0.0485570829999998
AR-R-V	-0.20381693
DIRAS3-M-E	0.111799024
ASNS-R-V	0.152137091
ATM-R-E	0.110428556
B-Raf-M-C	-0.624828302
Bad_pS112-R-V	-0.300593947
Bak-R-C	-0.23014015
Bap1-c-4-M-E	-0.923151855
Bax-R-V	0.273782766
Bcl-2-M-V	-0.139757979
Bcl-xL-R-V	0.0659505429999999
Beclin-G-C	-0.241242278
beta-Catenin-R-V	-1.129867558
Bid-R-C	0.14211734
Bim-R-V	-0.675293957
BRCA2-R-C	0.164321069
c-Jun_pS73-R-V	-0.604844393
c-Kit-R-V	0.181023668
c-Met-M-E	-0.0539975690000004
c-Met_pY1235-R-V	0.309172737
c-Myc-R-C	-0.0202595719999999
C-Raf-R-V	-0.230713861
C-Raf_pS338-R-V	0.357535041
Caspase-7_cleavedD198-R-C	-0.104786438
Caspase-8-M-E	-0.481230305
Caveolin-1-R-V	2.597434064
CD20-R-C	-0.149987019
CD31-M-V	0.182308022
CD49b-M-V	-0.00182735600000006
CDK1-R-V	0.227693022
Chk1-M-C	-0.959596264
Chk1_pS345-R-C	-0.364040598
Chk2-M-E	-0.99853199
Chk2_pT68-R-C	0.240929073
cIAP-R-V	1.078500272
Claudin-7-R-V	-1.665579126
Collagen_VI-R-V	0.582080928
Cyclin_B1-R-V	-0.675966165
Cyclin_D1-R-V	0.541808691
Cyclin_E1-M-V	-0.470880967
Cyclin_E2-R-C	-0.351558572
DJ-1-R-E	0.489748284
Dvl3-R-V	0.0233264509999999
E-Cadherin-R-V	-3.01070732
eEF2-R-C	0.395298194
eEF2K-R-V	-0.778824462
EGFR-R-V	-0.010452845
EGFR_pY1068-R-C	-0.836630966
EGFR_pY1173-R-V	0.116227444
eIF4E-R-V	-0.0830318290000001
eIF4G-R-C	-1.319299468
ER-alpha-R-V	-0.86276599
ER-alpha_pS118-R-V	-0.224405025
ERCC1-M-V	-0.605585197
ERK2-R-E	0.220817818
ETS-1-R-V	0.071815058
FASN-R-V	-0.399782396
Fibronectin-R-V	0.9669682
FoxM1-R-V	-0.286505476
FOXO3a-R-C	0.198479033
FOXO3a_pS318_S321-R-C	0.360823391
G6PD-M-V	0.5168053
GAB2-R-V	-0.117145369
GAPDH-M-C	0.319563334
GATA3-M-V	-0.527407726
GSK3-alpha-beta-M-V	0.247830281
GSK3-alpha-beta_pS21_S9-R-V	-0.117274899
GSK3_pS9-R-V	-0.454637807
HER2-M-V	-0.974474057
HER2_pY1248-R-C	-0.120449649
HER3-R-V	-0.957421558
HER3_pY1289-R-C	0.21768968
Heregulin-R-V	0.0691289649999999
HSP70-R-C	0.463868026
IGFBP2-R-V	-0.434699155
INPP4B-R-V	0.30703809
IRS1-R-V	0.0959376239999999
JNK_pT183_pY185-R-V	0.343292638
JNK2-R-C	-0.101723782
Ku80-R-C	-0.86841816
Lck-R-V	0.323961213
LKB1-M-E	0.341977458
MAPK_pT202_Y204-R-V	-0.307274245
MEK1-R-V	-0.559420018
MEK1_pS217_S221-R-V	0.402100432
MIG-6-M-V	0.188924563
Mre11-R-C	0.427615064
MSH2-M-V	-0.219425016
MSH6-R-C	-0.996037959
mTOR-R-V	-0.533211625
mTOR_pS2448-R-C	-0.617252986
MYH11-R-V	3.071084528
Myosin-IIa_pS1943-R-V	0.0598629899999999
N-Cadherin-R-V	0.32547386
N-Ras-M-V	0.221429578
NDRG1_pT346-R-V	-1.33007814
NF-kB-p65_pS536-R-C	-0.0499887730000003
NF2-R-C	0.230500896
Notch1-R-V	-0.0216508640000003
P-Cadherin-R-C	0.53211435
p21-R-V	0.410386959
p27-R-V	-0.14282551
p27_pT157-R-C	0.085981187
p27_pT198-R-V	-0.118511756
p38_MAPK-R-V	0.496611385
p38_pT180_Y182-R-V	0.604670363
p53-R-E	0.228615152
p62-LCK-ligand-M-C	-1.131071381
p70S6K-R-V	-0.72148855
p70S6K_pT389-R-V	0.0163130520000002
p90RSK-R-C	-0.511586618
p90RSK_pT359_S363-R-C	-0.214424322
PAI-1-M-E	1.410312642
PARP_cleaved-M-E	-0.119411956
Paxillin-R-C	-0.266528535
PCNA-M-C	-0.088162051
PDCD4-R-C	-0.408808357
PDK1-R-V	0.0736032509999999
PDK1_pS241-R-V	0.157754283
PEA15-R-V	0.644276736
PEA15_pS116-R-V	0.188901333
PI3K-p110-alpha-R-C	0.153370676
PI3K-p85-R-V	0.328890652
PKC-alpha-M-V	0.727862921
PKC-alpha_pS657-R-C	1.037326037
PKC-delta_pS664-R-V	0.134854577
PKC-pan_BetaII_pS660-R-V	-0.24350452
PR-R-V	0.289773614
PRAS40_pT246-R-V	-0.155151059
PRDX1-R-V	0.0280913339999999
PREX1-R-E	0.463072482
PTEN-R-V	-0.315694246
Rab11-R-E	0.383969785
Rab25-R-V	-0.664368598
Rad50-M-V	0.210812097
Rad51-R-V	0.592198107
Raptor-R-V	0.297372565
Rb-M-E	0.0322455089999997
Rb_pS807_S811-R-V	-0.893292207
RBM15-R-V	-1.287019287
Rictor-R-C	3.144140988
Rictor_pT1135-R-V	0.356709857
S6-R-E	-0.496227541
S6_pS235_S236-R-V	0.235819442
S6_pS240_S244-R-V	0.136363857
SCD-M-V	-0.0787086300000001
SETD2-R-E	0.208160366
SF2-M-V	-1.062412567
Shc_pY317-R-E	-0.440000144
Smac-M-E	-0.119543352
Smad1-R-V	-0.077787468
Smad3-R-V	0.106176923
Smad4-M-V	-0.0592462820000003
Snail-M-E	-0.669711338
Src-M-V	-0.10914928
Src_pY416-R-C	-1.072587693
Src_pY527-R-V	-0.5690918
STAT3_pY705-R-V	0.303892533
STAT5-alpha-R-V	-1.065611576
Stathmin-R-V	0.244053613
Syk-M-V	-0.070606418
TAZ-R-V	0.364152825
TIGAR-R-V	0.14314883
Transglutaminase-M-V	0.887280494
TFRC-R-V	-0.263940491
TSC1-R-C	0.206039539
TTF1-R-V	0.140091274
Tuberin-R-E	-0.991307654
Tuberin_pT1462-R-V	-0.0378967689999999
VEGFR2-R-V	0.0616486559999999
EPPK1-M-E	-1.230336358
XBP1-G-C	-0.053265158
XRCC1-R-E	-0.175370489
YAP-R-E	1.94315322
YAP_pS127-R-E	3.08677508
YB-1-R-V	0.205807674
YB-1_pS102-R-V	0.00718337599999996
JAB1-M-C	0.054736359
PARP1-R-V	-0.746323389
A-Raf-R-V	0.0358384159999999
ARID1A-R-C	-0.730275753
B-Raf_pS445-R-V	0
Bcl2A1-R-V	0.48250073
BRD4-R-V	-1.056758133
c-Abl-R-V	0.229766273
Caspase-3-R-C	-0.00226134099999997
CD26-R-V	0.181403032
Chk1_pS296-R-V	0.263113133
COG3-R-V	-0.733918136
DUSP4-R-V	0.745076229
ERCC5-R-C	0.0438304549999999
IGF1R_pY1135_Y1136-R-V	0.416370827
IRF-1-R-C	-0.130751658
Jak2-R-V	-0.765478521
p16_INK4a-R-V	-0.140173625
SHP-2_pY542-R-C	-0.269787991
CDK1_pY15-R-C	-0.582786817
