Sample REF	41413CCA-EDCB-4BA1-945E-81C34DBFF006
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0387128640000003
14-3-3_epsilon-M-C	-0.0950308400000004
14-3-3_zeta-R-V	-0.0939401740000003
4E-BP1-R-V	0.196459018
4E-BP1_pS65-R-V	0.0366406709999996
4E-BP1_pT37_T46-R-V	0.217220035
4E-BP1_pT70-R-V	0.0301263659999996
53BP1-R-E	-0.0920017080000003
A-Raf_pS299-R-C	0.148880896
ACC_pS79-R-V	-0.385324477
ACC1-R-E	-0.364782048
Acetyl-a-Tubulin-Lys40-R-C	-1.033031233
ACVRL1-R-C	0.386002136
ADAR1-M-V	0.0184161889999996
Akt-R-V	0.0579503639999996
Akt_pS473-R-V	0.138736782
Akt_pT308-R-V	0.0866722239999996
alpha-Catenin-M-V	-0.167988924
AMPK_alpha-R-C	0.00510124199999962
AMPK_pT172-R-V	-0.160747522
Annexin-1-M-E	0.56309724
Annexin_VII-M-V	0.0930770829999995
AR-R-V	0.242711011
DIRAS3-M-E	0.0321778359999996
ASNS-R-V	-0.184604766
ATM-R-E	0.258685485
B-Raf-M-C	0.0353445779999997
Bad_pS112-R-V	0.341960358
Bak-R-C	-0.229940786
Bap1-c-4-M-E	-0.325887796
Bax-R-V	-0.232057803
Bcl-2-M-V	-0.0939374510000002
Bcl-xL-R-V	-0.294692114
Beclin-G-C	0.0926961969999996
beta-Catenin-R-V	-0.128478643
Bid-R-C	0.0153038509999996
Bim-R-V	-0.219598592
BRCA2-R-C	0.0186429509999995
c-Jun_pS73-R-V	0.145196171999999
c-Kit-R-V	0.122683406
c-Met-M-E	0.0605124469999994
c-Met_pY1235-R-V	0.100684545
c-Myc-R-C	-0.0310786220000003
C-Raf-R-V	0.00642197899999963
C-Raf_pS338-R-V	0.0590454979999996
Caspase-7_cleavedD198-R-C	0.123547762
Caspase-8-M-E	0.0668654169999998
Caveolin-1-R-V	1.27503193
CD20-R-C	-0.0226811150000004
CD31-M-V	0.0418396839999997
CD49b-M-V	-0.0642564850000004
CDK1-R-V	0.153205899
Chk1-M-C	-0.339268071000001
Chk1_pS345-R-C	0.166894329
Chk2-M-E	-0.262040755
Chk2_pT68-R-C	0.0279813509999997
cIAP-R-V	-0.241205676
Claudin-7-R-V	-1.75638702
Collagen_VI-R-V	0.19739022
Cyclin_B1-R-V	-0.0945764260000004
Cyclin_D1-R-V	0.407270377
Cyclin_E1-M-V	-0.364782048
Cyclin_E2-R-C	-0.284047378
DJ-1-R-E	-0.0204627930000004
Dvl3-R-V	0.00279099999999965
E-Cadherin-R-V	-0.871600969
eEF2-R-C	-0.329955919
eEF2K-R-V	0.700742173
EGFR-R-V	0.208168855
EGFR_pY1068-R-C	-0.252987851
EGFR_pY1173-R-V	0.0102972539999996
eIF4E-R-V	-0.0914654130000003
eIF4G-R-C	-0.00662661400000042
ER-alpha-R-V	0.852966329
ER-alpha_pS118-R-V	-0.195603713
ERCC1-M-V	-0.215056677
ERK2-R-E	-0.0882329620000004
ETS-1-R-V	-0.166009888
FASN-R-V	-1.038480361
Fibronectin-R-V	0.416131949
FoxM1-R-V	0.0704510459999996
FOXO3a-R-C	0.188030317
FOXO3a_pS318_S321-R-C	0.159666657
G6PD-M-V	-0.448468351000001
GAB2-R-V	0.299912054
GAPDH-M-C	-0.486380125
GATA3-M-V	-0.303099006000001
GSK3-alpha-beta-M-V	-0.0970701850000004
GSK3-alpha-beta_pS21_S9-R-V	0.353685405
GSK3_pS9-R-V	0.352373145
HER2-M-V	-0.31238839
HER2_pY1248-R-C	-0.0800474350000003
HER3-R-V	-0.668662214
HER3_pY1289-R-C	0.133054598
Heregulin-R-V	-0.18827406
HSP70-R-C	1.037643965
IGFBP2-R-V	0.408453085
INPP4B-R-V	-0.296207577
IRS1-R-V	0.215607232
JNK_pT183_pY185-R-V	0.303394567
JNK2-R-C	0.0616780909999997
Ku80-R-C	-0.416939642
Lck-R-V	-0.0319532050000004
LKB1-M-E	0.0504103359999997
MAPK_pT202_Y204-R-V	0.185619504
MEK1-R-V	0.211220917
MEK1_pS217_S221-R-V	0.103559165
MIG-6-M-V	-0.20748641
Mre11-R-C	0.132351898
MSH2-M-V	-0.178166264000001
MSH6-R-C	-0.364782048
mTOR-R-V	0.118013011
