Sample REF	4157E44A-BFC9-479E-B2DE-D7B6A8C373B9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.182190022
14-3-3_epsilon-M-C	0.158047427
14-3-3_zeta-R-V	-0.338953063
4E-BP1-R-V	-0.133758986
4E-BP1_pS65-R-V	0.025270224
4E-BP1_pT37_T46-R-V	0.172259163
4E-BP1_pT70-R-V	-0.113905118
53BP1-R-E	-0.217495792
A-Raf_pS299-R-C	0.014759526
ACC_pS79-R-V	-0.412999175
ACC1-R-E	-0.805638371
Acetyl-a-Tubulin-Lys40-R-C	0.189060754
ACVRL1-R-C	0.334752762
ADAR1-M-V	0.0843434470000001
Akt-R-V	0
Akt_pS473-R-V	0.729288194
Akt_pT308-R-V	0.625124515
alpha-Catenin-M-V	-0.213558136
AMPK_alpha-R-C	-0.111230601
AMPK_pT172-R-V	-0.235976216
Annexin-1-M-E	0.352294168
Annexin_VII-M-V	0.144410391
AR-R-V	0.0100734530000001
DIRAS3-M-E	-0.055590253
ASNS-R-V	-0.170406194
ATM-R-E	0.323399095
B-Raf-M-C	-0.125633317
Bad_pS112-R-V	0.245165885
Bak-R-C	0.133610684
Bap1-c-4-M-E	-0.0890188099999999
Bax-R-V	0.0831142210000001
Bcl-2-M-V	0.041757597
Bcl-xL-R-V	-0.181031672
Beclin-G-C	0.16896755
beta-Catenin-R-V	-0.166974048
Bid-R-C	0.00353663500000001
Bim-R-V	-0.187395212
BRCA2-R-C	-0.095282746
c-Jun_pS73-R-V	0.383772172
c-Kit-R-V	-0.237915316
c-Met-M-E	0.000363366999999726
c-Met_pY1235-R-V	0.115652093
c-Myc-R-C	-0.17432217
C-Raf-R-V	0.019238198
C-Raf_pS338-R-V	-0.057828292
Caspase-7_cleavedD198-R-C	2.15952569
Caspase-8-M-E	0.0586660200000001
Caveolin-1-R-V	0.38965669
CD20-R-C	0.173061749
CD31-M-V	0.048900745
CD49b-M-V	-0.205765295
CDK1-R-V	0.0650781529999999
Chk1-M-C	-0.399123463
Chk1_pS345-R-C	0.151166264
Chk2-M-E	-0.142395678
Chk2_pT68-R-C	-0.0754016689999999
cIAP-R-V	-0.0419967889999999
Claudin-7-R-V	-0.569754044
Collagen_VI-R-V	-0.187973125
Cyclin_B1-R-V	0.266900416
Cyclin_D1-R-V	-0.0884780849999999
Cyclin_E1-M-V	0.0521428329999999
Cyclin_E2-R-C	0.05319761
DJ-1-R-E	-0.00347871299999997
Dvl3-R-V	-0.16811951
E-Cadherin-R-V	-1.4912109
eEF2-R-C	-0.032956058
eEF2K-R-V	0.493820565
EGFR-R-V	0.192948686
EGFR_pY1068-R-C	-0.26337917
EGFR_pY1173-R-V	0.0189094280000001
eIF4E-R-V	-0.312014954
eIF4G-R-C	-0.267520416
ER-alpha-R-V	-0.632585918
ER-alpha_pS118-R-V	-0.013222443
ERCC1-M-V	-0.057040122
ERK2-R-E	0.110174671
ETS-1-R-V	0.110858677
FASN-R-V	-0.612703635
Fibronectin-R-V	0.00186824799999996
FoxM1-R-V	-0.138606278
FOXO3a-R-C	0.0402308210000001
FOXO3a_pS318_S321-R-C	0.0874860150000001
G6PD-M-V	0.239131192
GAB2-R-V	0.503066325
GAPDH-M-C	0.0469548420000001
GATA3-M-V	0.1418133
GSK3-alpha-beta-M-V	0.015355185
GSK3-alpha-beta_pS21_S9-R-V	0.551757555
GSK3_pS9-R-V	0.73956875
HER2-M-V	-0.355775183
HER2_pY1248-R-C	-0.306481747
HER3-R-V	-0.550154509
HER3_pY1289-R-C	0.069191057
Heregulin-R-V	0.0356233010000001
HSP70-R-C	-0.248764328
IGFBP2-R-V	-0.538729759
INPP4B-R-V	-0.0905966849999996
IRS1-R-V	-0.169747347
JNK_pT183_pY185-R-V	0.236807125
JNK2-R-C	0.058582326
Ku80-R-C	-0.0759214539999999
Lck-R-V	0.547851304
LKB1-M-E	0.00981522800000001
MAPK_pT202_Y204-R-V	0.412078159
MEK1-R-V	0.0214171200000001
MEK1_pS217_S221-R-V	0.172514537
MIG-6-M-V	0.115292174
Mre11-R-C	-0.045510387
MSH2-M-V	-0.0591717860000004
MSH6-R-C	-0.285673342
mTOR-R-V	-0.080378596
mTOR_pS2448-R-C	0.0919258820000001
MYH11-R-V	2.124534602
Myosin-IIa_pS1943-R-V	-0.20698169
N-Cadherin-R-V	-0.097446455
N-Ras-M-V	0.095116128
NDRG1_pT346-R-V	2.302352273
NF-kB-p65_pS536-R-C	-0.25713005
NF2-R-C	-0.00093471299999992
Notch1-R-V	0.146698336
P-Cadherin-R-C	-0.15581301
p21-R-V	-0.461085076
p27-R-V	-0.00567635699999991
