Sample REF	41D2098E-6DAA-424E-9FFB-24A6C1D89A13
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.140824075
14-3-3_epsilon-M-C	0.199997195
14-3-3_zeta-R-V	0.353947477
4E-BP1-R-V	0.337749014
4E-BP1_pS65-R-V	0.318751911
4E-BP1_pT37_T46-R-V	0.719337771
4E-BP1_pT70-R-V	-0.114068838
53BP1-R-E	-0.943548113
A-Raf_pS299-R-C	-0.035732907
ACC_pS79-R-V	-1.011982012
ACC1-R-E	0.465109956
Acetyl-a-Tubulin-Lys40-R-C	-0.728739486
ACVRL1-R-C	0.182711387
ADAR1-M-V	0.169147335
Akt-R-V	-0.670349579
Akt_pS473-R-V	-0.563455289
Akt_pT308-R-V	-0.221073162
alpha-Catenin-M-V	0.0702442510000001
AMPK_alpha-R-C	-0.083876128
AMPK_pT172-R-V	-1.725754503
Annexin-1-M-E	0.334614828
Annexin_VII-M-V	0.132501248
AR-R-V	-0.192144688
DIRAS3-M-E	0.089614903
ASNS-R-V	0
ATM-R-E	-1.046649706
B-Raf-M-C	-0.60474362
Bad_pS112-R-V	-0.079063827
Bak-R-C	0.0616145530000001
Bap1-c-4-M-E	-0.11407996
Bax-R-V	-0.1214571
Bcl-2-M-V	-0.0915825560000001
Bcl-xL-R-V	0.123191345
Beclin-G-C	0.520730425
beta-Catenin-R-V	-0.259962505
Bid-R-C	-0.0828910909999999
Bim-R-V	0.61482601
BRCA2-R-C	0.333423887
c-Jun_pS73-R-V	0.543356706
c-Kit-R-V	-0.0343921299999999
c-Met-M-E	0.0432859269999994
c-Met_pY1235-R-V	0.0728591249999999
c-Myc-R-C	0.420227223
C-Raf-R-V	-0.494272697
C-Raf_pS338-R-V	-0.054471113
Caspase-7_cleavedD198-R-C	1.381418229
Caspase-8-M-E	-0.269137602
Caveolin-1-R-V	0.065455774
CD20-R-C	-0.290483416
CD31-M-V	0.392528454
CD49b-M-V	0.63604982
CDK1-R-V	0.168215404
Chk1-M-C	-0.504216862
Chk1_pS345-R-C	-0.11820758
Chk2-M-E	-0.169176712
Chk2_pT68-R-C	0.180946571
cIAP-R-V	0.925121956
Claudin-7-R-V	1.105266002
Collagen_VI-R-V	0.65349184
Cyclin_B1-R-V	0.184585656
Cyclin_D1-R-V	0.264927857
Cyclin_E1-M-V	0.155342826
Cyclin_E2-R-C	-0.213691201
DJ-1-R-E	0.204158662
Dvl3-R-V	-0.229470913
E-Cadherin-R-V	-0.152230189
eEF2-R-C	-0.776607625
eEF2K-R-V	-0.414347798
EGFR-R-V	0.797778852
EGFR_pY1068-R-C	0.598424515
EGFR_pY1173-R-V	0.080959734
eIF4E-R-V	0.0637977830000001
eIF4G-R-C	-0.23283244
ER-alpha-R-V	-0.691589579
ER-alpha_pS118-R-V	-0.16366027
ERCC1-M-V	-0.163725104
ERK2-R-E	-1.001458384
ETS-1-R-V	0.00800584800000004
FASN-R-V	1.226559383
Fibronectin-R-V	-0.313129967
FoxM1-R-V	-0.255182723
FOXO3a-R-C	0.111552422
FOXO3a_pS318_S321-R-C	-0.220444609
G6PD-M-V	0.139885406
GAB2-R-V	-0.0808056039999998
GAPDH-M-C	0.749776987
GATA3-M-V	0.289166583
GSK3-alpha-beta-M-V	-0.175293131
GSK3-alpha-beta_pS21_S9-R-V	-0.532751519
GSK3_pS9-R-V	-0.540667681
HER2-M-V	-0.124305289
HER2_pY1248-R-C	0.063928512
HER3-R-V	1.288831116
HER3_pY1289-R-C	0.520694597
Heregulin-R-V	0.528963691
HSP70-R-C	0.306098322
IGFBP2-R-V	-0.597937315
INPP4B-R-V	0.548787312
IRS1-R-V	-0.036894121
JNK_pT183_pY185-R-V	0.300592804
JNK2-R-C	-0.121908754
Ku80-R-C	-0.523361541
Lck-R-V	-0.0806603480000001
LKB1-M-E	-0.113775756
MAPK_pT202_Y204-R-V	-0.168801687
MEK1-R-V	0.0460127449999999
MEK1_pS217_S221-R-V	0.0450393060000001
MIG-6-M-V	0.305175653
Mre11-R-C	0.268455067
MSH2-M-V	0.104748845
MSH6-R-C	-0.204780077
mTOR-R-V	-0.348339215
mTOR_pS2448-R-C	-0.320972464
MYH11-R-V	-0.304437673
Myosin-IIa_pS1943-R-V	-0.341112737
N-Cadherin-R-V	-0.0170431449999999
N-Ras-M-V	0.074501536
NDRG1_pT346-R-V	1.376768266
NF-kB-p65_pS536-R-C	0.0717232789999998
NF2-R-C	0.0199089569999999
Notch1-R-V	0.0333048389999999
P-Cadherin-R-C	0.162977317
p21-R-V	0.485411952
p27-R-V	-0.36669524
p27_pT157-R-C	0.049120417
p27_pT198-R-V	-0.0656336599999999
p38_MAPK-R-V	0.11295279
p38_pT180_Y182-R-V	0.430376111
p53-R-E	0.168617592
p62-LCK-ligand-M-C	-0.554570281
p70S6K-R-V	-0.0763712589999999
p70S6K_pT389-R-V	-0.0964953069999999
p90RSK-R-C	-0.784392963
p90RSK_pT359_S363-R-C	0.130724387
PAI-1-M-E	1.161517142
PARP_cleaved-M-E	0.02969377
Paxillin-R-C	-0.104658553
PCNA-M-C	-0.10235547
PDCD4-R-C	0.499058876
PDK1-R-V	-0.0202767159999999
PDK1_pS241-R-V	-0.223359603
PEA15-R-V	0.028089726
PEA15_pS116-R-V	-0.523462194
PI3K-p110-alpha-R-C	-0.0776313569999999
PI3K-p85-R-V	-0.228583373
PKC-alpha-M-V	-0.802443315
PKC-alpha_pS657-R-C	-0.993068882
PKC-delta_pS664-R-V	-0.29756041
PKC-pan_BetaII_pS660-R-V	-1.158815513
PR-R-V	0.072913139
PRAS40_pT246-R-V	0.075226203
PRDX1-R-V	0.164328458
PREX1-R-E	-0.254734951
PTEN-R-V	-0.0839888039999999
Rab11-R-E	0.209462556
Rab25-R-V	0.396726054
Rad50-M-V	0.264245198
Rad51-R-V	0.269246923
Raptor-R-V	-0.163036552
Rb-M-E	-0.115069441
Rb_pS807_S811-R-V	0.565411048
RBM15-R-V	-0.845107068
Rictor-R-C	-0.491273111
Rictor_pT1135-R-V	-0.320895102
S6-R-E	-0.199427345
S6_pS235_S236-R-V	-0.508383186
S6_pS240_S244-R-V	-0.688133358
SCD-M-V	0.171272679
SETD2-R-E	0.424703822
SF2-M-V	-0.594293365
Shc_pY317-R-E	0.102607679
Smac-M-E	-0.0649683990000001
Smad1-R-V	-0.272947641
Smad3-R-V	-0.021120029
Smad4-M-V	0.0127377879999999
Snail-M-E	-0.00512736599999952
Src-M-V	0.026698957
Src_pY416-R-C	0.446323958
Src_pY527-R-V	0.442443236
STAT3_pY705-R-V	-0.078532567
STAT5-alpha-R-V	-1.756740394
Stathmin-R-V	0.220770179
Syk-M-V	-0.646877066
TAZ-R-V	0.018442131
TIGAR-R-V	0.338784481
Transglutaminase-M-V	0.0963168569999999
TFRC-R-V	0.830933334
TSC1-R-C	-0.067831432
TTF1-R-V	-0.213928477
Tuberin-R-E	-1.113888433
Tuberin_pT1462-R-V	-0.507605323
VEGFR2-R-V	1.1133431
EPPK1-M-E	0.303681225
XBP1-G-C	-0.155466142
XRCC1-R-E	-0.298151801
YAP-R-E	2.29620224
YAP_pS127-R-E	3.189781513
YB-1-R-V	0.0452937200000001
YB-1_pS102-R-V	-0.00480098000000007
JAB1-M-C	0.361767882
PARP1-R-V	0.1499088
A-Raf-R-V	-0.327784997
ARID1A-R-C	-0.692668488
B-Raf_pS445-R-V	-0.775309564
Bcl2A1-R-V	0.631280448
BRD4-R-V	-0.451159759
c-Abl-R-V	0.072777953
Caspase-3-R-C	0.0590130130000002
CD26-R-V	-0.00293707100000007
Chk1_pS296-R-V	0.154323828
COG3-R-V	-0.426151772
DUSP4-R-V	0.816422883
ERCC5-R-C	0.389808879
IGF1R_pY1135_Y1136-R-V	0.125462774
IRF-1-R-C	0.0887313190000001
Jak2-R-V	-0.586948231
p16_INK4a-R-V	-0.140014159
SHP-2_pY542-R-C	0.337417984
CDK1_pY15-R-C	-0.0624450320000001
