Sample REF	41ECD370-91AA-4D24-BF11-EE3BD9A84619
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0287098630000002
14-3-3_epsilon-M-C	-0.0516734509999998
14-3-3_zeta-R-V	0.0645347860000002
4E-BP1-R-V	0.113627241
4E-BP1_pS65-R-V	-0.00651194199999988
4E-BP1_pT37_T46-R-V	0.479520111
4E-BP1_pT70-R-V	0.00610541700000017
53BP1-R-E	-0.092208687
A-Raf_pS299-R-C	-0.147161367
ACC_pS79-R-V	0.0247696320000002
ACC1-R-E	0.378740356
Acetyl-a-Tubulin-Lys40-R-C	-1.639952238
ACVRL1-R-C	0.159501482
ADAR1-M-V	-0.232510533
Akt-R-V	-0.363185306
Akt_pS473-R-V	0.593837967
Akt_pT308-R-V	0.0401183940000002
alpha-Catenin-M-V	0.182156454
AMPK_alpha-R-C	-0.170819582
AMPK_pT172-R-V	-0.194476572
Annexin-1-M-E	0.27139912
Annexin_VII-M-V	0.072789844
AR-R-V	0
DIRAS3-M-E	-0.0180741129999999
ASNS-R-V	0.257340031
ATM-R-E	-0.506012907
B-Raf-M-C	0.0284649650000002
Bad_pS112-R-V	-0.0124143799999998
Bak-R-C	-0.236494382
Bap1-c-4-M-E	-0.497201015
Bax-R-V	-0.0516492899999998
Bcl-2-M-V	-0.134125163
Bcl-xL-R-V	-0.224469611
Beclin-G-C	-0.204883714
beta-Catenin-R-V	0.309880901
Bid-R-C	0.136511221
Bim-R-V	-0.0815620459999998
BRCA2-R-C	-0.190279478
c-Jun_pS73-R-V	0.533556157
c-Kit-R-V	0.387216985
c-Met-M-E	-0.257022611
c-Met_pY1235-R-V	0.0143667550000001
c-Myc-R-C	0.242959691
C-Raf-R-V	-0.0317257109999999
C-Raf_pS338-R-V	0.195984356
Caspase-7_cleavedD198-R-C	-0.164676465
Caspase-8-M-E	0.00660969300000025
Caveolin-1-R-V	0.361783809
CD20-R-C	-0.276397193
CD31-M-V	-0.363433673
CD49b-M-V	-0.360246523
CDK1-R-V	0.0045017970000002
Chk1-M-C	-0.189738457
Chk1_pS345-R-C	-0.234348965
Chk2-M-E	-0.500849405
Chk2_pT68-R-C	0.0384354610000001
cIAP-R-V	-0.00977929599999983
Claudin-7-R-V	0.196846584
Collagen_VI-R-V	0.195004111
Cyclin_B1-R-V	-1.100931963
Cyclin_D1-R-V	0.279794825
Cyclin_E1-M-V	0.270920273
Cyclin_E2-R-C	-0.152011441
DJ-1-R-E	0.0737665380000001
Dvl3-R-V	0.151831104
E-Cadherin-R-V	-0.0784252789999998
eEF2-R-C	0.17256408
eEF2K-R-V	-0.390141979
EGFR-R-V	0.249487633
EGFR_pY1068-R-C	0.434702146
EGFR_pY1173-R-V	0.0242717760000001
eIF4E-R-V	0.156995114
eIF4G-R-C	0.111176749
ER-alpha-R-V	-0.116797715
ER-alpha_pS118-R-V	-0.354348397
ERCC1-M-V	-0.0541394489999997
ERK2-R-E	0.212092151
ETS-1-R-V	-0.0196707819999999
FASN-R-V	0.279312996
Fibronectin-R-V	0.640147296
FoxM1-R-V	-0.308907784
FOXO3a-R-C	-0.0483237240000002
FOXO3a_pS318_S321-R-C	0.0268322740000001
G6PD-M-V	-0.209330081
GAB2-R-V	-0.506511351
GAPDH-M-C	0.313034005
GATA3-M-V	0.311632852
GSK3-alpha-beta-M-V	0.143531992
GSK3-alpha-beta_pS21_S9-R-V	0.499342607
GSK3_pS9-R-V	0.677597061
HER2-M-V	-0.253405661
HER2_pY1248-R-C	0.183129544
HER3-R-V	0.714571359
HER3_pY1289-R-C	0.00304883200000011
Heregulin-R-V	0.0857786660000001
HSP70-R-C	0.248653638
IGFBP2-R-V	1.244379293
INPP4B-R-V	-0.0655074909999999
IRS1-R-V	-0.00351211199999979
JNK_pT183_pY185-R-V	0.468450919
JNK2-R-C	-0.134074722
Ku80-R-C	-0.397373511
Lck-R-V	0.0247474910000001
LKB1-M-E	0.0592052540000001
MAPK_pT202_Y204-R-V	0.934813912
MEK1-R-V	0.225204543
MEK1_pS217_S221-R-V	0.208389164
MIG-6-M-V	0.0942332920000001
Mre11-R-C	0.21406665
MSH2-M-V	0.0972454189999997
MSH6-R-C	-0.0603465929999998
mTOR-R-V	-0.182217736
mTOR_pS2448-R-C	0.0379339530000004
MYH11-R-V	0.294739507
Myosin-IIa_pS1943-R-V	0.326830011
N-Cadherin-R-V	-0.297808929
N-Ras-M-V	0.00458810400000015
NDRG1_pT346-R-V	0.955144596
NF-kB-p65_pS536-R-C	-0.03348922
NF2-R-C	0.0218176500000001
Notch1-R-V	0.005364445
P-Cadherin-R-C	-0.0925895520000001
p21-R-V	0.368758215
p27-R-V	-0.238729031
p27_pT157-R-C	-0.190526034
p27_pT198-R-V	-0.164965947
p38_MAPK-R-V	0.0955981900000001
p38_pT180_Y182-R-V	0.682648795
p53-R-E	-3.60349999998233e-05
p62-LCK-ligand-M-C	0.0903817060000002
p70S6K-R-V	-0.00891447599999989
p70S6K_pT389-R-V	0.0043550600000003
p90RSK-R-C	-0.182830209
p90RSK_pT359_S363-R-C	0.137370553
PAI-1-M-E	-0.375147404
PARP_cleaved-M-E	-0.566873238
Paxillin-R-C	-0.0189756109999999
PCNA-M-C	-0.0504846239999999
PDCD4-R-C	0.419207975
PDK1-R-V	-0.105072
PDK1_pS241-R-V	-0.101296916
PEA15-R-V	-0.0205162909999999
PEA15_pS116-R-V	-0.225330442
PI3K-p110-alpha-R-C	0.105801291
PI3K-p85-R-V	0.347158506
PKC-alpha-M-V	-0.167226737
PKC-alpha_pS657-R-C	-0.247926211
PKC-delta_pS664-R-V	-0.30261071
PKC-pan_BetaII_pS660-R-V	-0.235226702
PR-R-V	-0.0147812509999997
PRAS40_pT246-R-V	0.0624278030000002
PRDX1-R-V	-0.235203713
PREX1-R-E	-0.00902438999999988
PTEN-R-V	0.424093285
Rab11-R-E	-0.0201502839999998
Rab25-R-V	-0.192794822
Rad50-M-V	-0.0672718169999998
Rad51-R-V	0.288406185
Raptor-R-V	-0.0488006959999999
Rb-M-E	0.024252517
Rb_pS807_S811-R-V	-0.241021329
RBM15-R-V	-0.284152795
Rictor-R-C	0.192206238
Rictor_pT1135-R-V	0.262956855
S6-R-E	-0.218259225
S6_pS235_S236-R-V	0.631361892
S6_pS240_S244-R-V	0.171530753
SCD-M-V	-0.306014538
SETD2-R-E	0.108631375
SF2-M-V	-0.378464119
Shc_pY317-R-E	0.289316866
Smac-M-E	-0.170587075
Smad1-R-V	-0.284640169
Smad3-R-V	-0.0621721099999999
Smad4-M-V	0.00858064300000028
Snail-M-E	-0.646800841
Src-M-V	0.151704165
Src_pY416-R-C	1.016836467
Src_pY527-R-V	0.492242225
STAT3_pY705-R-V	0.336089353
STAT5-alpha-R-V	-0.449436062
Stathmin-R-V	0.131293002
Syk-M-V	0.386328491
TAZ-R-V	0.142255461
TIGAR-R-V	-0.0971438409999998
Transglutaminase-M-V	-0.147947052
TFRC-R-V	-0.209440674
TSC1-R-C	-0.155855539
TTF1-R-V	-0.190892674
Tuberin-R-E	-0.268989141
Tuberin_pT1462-R-V	-0.15785514
VEGFR2-R-V	-0.184479109
EPPK1-M-E	-0.870980383
XBP1-G-C	-0.433541336
XRCC1-R-E	0.00197859700000014
YAP-R-E	0.289281781
YAP_pS127-R-E	-0.14850485
YB-1-R-V	-0.0569517529999999
YB-1_pS102-R-V	0.0156511330000001
JAB1-M-C	0.055133304
PARP1-R-V	-0.221205037
A-Raf-R-V	0.0202912500000001
ARID1A-R-C	0.288702825
B-Raf_pS445-R-V	-5.83919999998517e-05
Bcl2A1-R-V	0.144885973
BRD4-R-V	-0.0907567349999998
c-Abl-R-V	-0.0243334769999998
Caspase-3-R-C	0.385656317
CD26-R-V	-0.248893311
Chk1_pS296-R-V	-0.0445145019999998
COG3-R-V	-0.477780904
DUSP4-R-V	-0.381003789
ERCC5-R-C	0.0158598570000001
IGF1R_pY1135_Y1136-R-V	0.0822454310000003
IRF-1-R-C	-0.219249112
Jak2-R-V	-0.43711473
p16_INK4a-R-V	0.0648660800000002
SHP-2_pY542-R-C	0.372256071
CDK1_pY15-R-C	0.224129175
