Sample REF	42E384BE-242F-4BBB-87B1-FAF9D49D8C3D
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.113968683
14-3-3_epsilon-M-C	-0.0585289710000001
14-3-3_zeta-R-V	0.444190911
4E-BP1-R-V	0.065392576
4E-BP1_pS65-R-V	-0.107557996
4E-BP1_pT37_T46-R-V	-0.628790807
4E-BP1_pT70-R-V	0.054242261
53BP1-R-E	0.014637485
A-Raf_pS299-R-C	0.107928822
ACC_pS79-R-V	0.467674277
ACC1-R-E	1.267478869
Acetyl-a-Tubulin-Lys40-R-C	-0.808728553
ACVRL1-R-C	0.0870723899999999
ADAR1-M-V	0.0293148240000001
Akt-R-V	-0.470910546
Akt_pS473-R-V	-0.437361095
Akt_pT308-R-V	-0.378022876
alpha-Catenin-M-V	0.124796816
AMPK_alpha-R-C	-0.310279949
AMPK_pT172-R-V	-0.25913186
Annexin-1-M-E	-0.743550777
Annexin_VII-M-V	0.167924868
AR-R-V	0.526674491
DIRAS3-M-E	-0.013757354
ASNS-R-V	0.0583475330000001
ATM-R-E	0.143459704
B-Raf-M-C	0.00569080399999999
Bad_pS112-R-V	-0.252646528
Bak-R-C	-0.277142771
Bap1-c-4-M-E	-0.501178707
Bax-R-V	0.057349171
Bcl-2-M-V	0.0765909330000003
Bcl-xL-R-V	0.020158353
Beclin-G-C	-0.130183461
beta-Catenin-R-V	0.502170965
Bid-R-C	0.075111608
Bim-R-V	0.87145672
BRCA2-R-C	0.0800103299999999
c-Jun_pS73-R-V	-0.308379188
c-Kit-R-V	0.0982330630000001
c-Met-M-E	-0.194194
c-Met_pY1235-R-V	-0.00237241500000007
c-Myc-R-C	-0.212199656
C-Raf-R-V	0.034052763
C-Raf_pS338-R-V	-0.030902638
Caspase-7_cleavedD198-R-C	0
Caspase-8-M-E	-0.0446062889999999
Caveolin-1-R-V	0.561506707
CD20-R-C	-0.053097704
CD31-M-V	0.494756299
CD49b-M-V	-0.0333699510000001
CDK1-R-V	-0.017068348
Chk1-M-C	0.246004721
Chk1_pS345-R-C	-0.220756773
Chk2-M-E	0.0619011899999999
Chk2_pT68-R-C	0.084115399
cIAP-R-V	0
