Sample REF	46F8B610-944B-4BA8-A595-83B0EB4C4614
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.00495992499999987
14-3-3_epsilon-M-C	-0.175406596
14-3-3_zeta-R-V	-0.0686110540000001
4E-BP1-R-V	-0.723312783
4E-BP1_pS65-R-V	-0.228950019
4E-BP1_pT37_T46-R-V	0.0352333309999999
4E-BP1_pT70-R-V	-0.323581737
53BP1-R-E	0.431590336
A-Raf_pS299-R-C	0.0619498439999999
ACC_pS79-R-V	-0.266232359
ACC1-R-E	-0.791707503
Acetyl-a-Tubulin-Lys40-R-C	1.02473375
ACVRL1-R-C	0.149588108
ADAR1-M-V	0.116824422
Akt-R-V	0.238284943
Akt_pS473-R-V	0.617400712
Akt_pT308-R-V	0.440349834
alpha-Catenin-M-V	0.116427035
AMPK_alpha-R-C	0.300823222
AMPK_pT172-R-V	0.0985532369999997
Annexin-1-M-E	-1.419253017
Annexin_VII-M-V	-0.263675474
AR-R-V	-0.299175555
DIRAS3-M-E	-0.0583025720000002
ASNS-R-V	-0.291248633
ATM-R-E	0.0263982429999999
B-Raf-M-C	0.328589742
Bad_pS112-R-V	0.249747414
Bak-R-C	-0.0633703130000001
Bap1-c-4-M-E	0.075900605
Bax-R-V	-0.669792309
Bcl-2-M-V	-0.544308504
Bcl-xL-R-V	-0.0858131280000001
Beclin-G-C	0.276833066
beta-Catenin-R-V	0.00100274399999989
Bid-R-C	-0.0594323090000001
Bim-R-V	-0.620902954
BRCA2-R-C	-0.0493337430000003
c-Jun_pS73-R-V	0.112942795
c-Kit-R-V	-0.253077571
c-Met-M-E	0.309620073
c-Met_pY1235-R-V	0.0823614639999998
c-Myc-R-C	0.290502784
C-Raf-R-V	-0.00795529600000014
C-Raf_pS338-R-V	0.225890904
Caspase-7_cleavedD198-R-C	-0.895525111
Caspase-8-M-E	-0.135408554
Caveolin-1-R-V	-1.636834593
CD20-R-C	-0.0123249630000002
CD31-M-V	0.0670523649999999
CD49b-M-V	-0.142147552
CDK1-R-V	0.117935926
Chk1-M-C	-0.0548526220000003
Chk1_pS345-R-C	-0.156974478
Chk2-M-E	0.537427962
Chk2_pT68-R-C	0.160094373
cIAP-R-V	0.0241053409999999
Claudin-7-R-V	0.176149622
Collagen_VI-R-V	0.0115508429999999
Cyclin_B1-R-V	0.494702981
Cyclin_D1-R-V	0.334570319
Cyclin_E1-M-V	0.871656513
Cyclin_E2-R-C	-0.134720204
DJ-1-R-E	0.193293881
Dvl3-R-V	0.21668965
E-Cadherin-R-V	0.0432749789999999
eEF2-R-C	-0.483434248
eEF2K-R-V	-0.255785997
EGFR-R-V	-0.454791307
EGFR_pY1068-R-C	1.387077613
EGFR_pY1173-R-V	-0.0517604300000002
eIF4E-R-V	-0.176941118
eIF4G-R-C	-0.0544490790000003
ER-alpha-R-V	-0.646117367
ER-alpha_pS118-R-V	-0.166152183
ERCC1-M-V	0.000201736999999813
ERK2-R-E	-0.18658051
ETS-1-R-V	-0.103373015
FASN-R-V	-0.111485992
Fibronectin-R-V	0.0368136959999998
FoxM1-R-V	0.0308338129999999
FOXO3a-R-C	0.15771248
FOXO3a_pS318_S321-R-C	-0.169508938
G6PD-M-V	-0.0609793450000002
GAB2-R-V	0.0981620749999998
GAPDH-M-C	0.363955009
GATA3-M-V	0.060761533
GSK3-alpha-beta-M-V	-0.265189068
GSK3-alpha-beta_pS21_S9-R-V	0.132634438
GSK3_pS9-R-V	0.450769637
HER2-M-V	2.819164374
HER2_pY1248-R-C	2.336121559
HER3-R-V	1.247585294
HER3_pY1289-R-C	0.0925742829999999
Heregulin-R-V	-0.113490117
HSP70-R-C	0.180573968
IGFBP2-R-V	1.139042054
INPP4B-R-V	0.0343657940000002
IRS1-R-V	-0.0543945240000001
JNK_pT183_pY185-R-V	0.224794118
JNK2-R-C	-0.104740195
Ku80-R-C	-0.0667965540000002
Lck-R-V	-0.320734454
LKB1-M-E	-0.00974445400000012
MAPK_pT202_Y204-R-V	1.258804803
MEK1-R-V	-0.492828154
MEK1_pS217_S221-R-V	0.123709976
MIG-6-M-V	0.0925946819999999
Mre11-R-C	0.142109145
MSH2-M-V	0.0822427579999996
MSH6-R-C	-0.295733152
mTOR-R-V	-0.164091543
mTOR_pS2448-R-C	0.0850759589999999
MYH11-R-V	-1.703927271
Myosin-IIa_pS1943-R-V	0.0822067869999999
N-Cadherin-R-V	0.0349563539999998
N-Ras-M-V	0.0683461809999999
NDRG1_pT346-R-V	-1.33796267
NF-kB-p65_pS536-R-C	0.216462851
NF2-R-C	-0.0859076720000002
Notch1-R-V	-0.432200723
P-Cadherin-R-C	0.153909375
p21-R-V	0.43622732
p27-R-V	-0.316576387
p27_pT157-R-C	-0.0965754380000001
p27_pT198-R-V	-0.145171106
p38_MAPK-R-V	-0.0343633040000001
p38_pT180_Y182-R-V	0.389050804
p53-R-E	0.657273695
p62-LCK-ligand-M-C	0.023417062
p70S6K-R-V	-0.177742815
p70S6K_pT389-R-V	0.526519216
p90RSK-R-C	0.153325119
p90RSK_pT359_S363-R-C	0.916991538
PAI-1-M-E	-0.991917578
PARP_cleaved-M-E	-0.0742726380000003
Paxillin-R-C	0.0193188329999998
PCNA-M-C	-0.0638246230000001
PDCD4-R-C	-0.0307214240000002
PDK1-R-V	-0.0536101470000002
PDK1_pS241-R-V	-0.00872053300000014
PEA15-R-V	-0.503371658
PEA15_pS116-R-V	-0.0811393260000001
PI3K-p110-alpha-R-C	0.00970837299999994
PI3K-p85-R-V	-0.127930733
PKC-alpha-M-V	-0.0411154850000002
PKC-alpha_pS657-R-C	0.0737023179999998
PKC-delta_pS664-R-V	0.181386282
PKC-pan_BetaII_pS660-R-V	0.929314998
PR-R-V	0.00581536199999988
PRAS40_pT246-R-V	0.116542391
PRDX1-R-V	0.210179221
PREX1-R-E	-0.236391082
PTEN-R-V	-0.204165767
Rab11-R-E	-0.152552478
Rab25-R-V	0.183699084
Rad50-M-V	0.157318772
Rad51-R-V	0.367947736
Raptor-R-V	-0.124876925
Rb-M-E	0.185483813
Rb_pS807_S811-R-V	1.508386252
RBM15-R-V	-0.427641772
Rictor-R-C	-0.510813266
Rictor_pT1135-R-V	0.0687061359999998
