Sample REF	4790E476-B3DE-4E7A-AFB1-03842F146150
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.555137109
14-3-3_epsilon-M-C	0.0440089130000001
14-3-3_zeta-R-V	0.730856762
4E-BP1-R-V	0.311163115
4E-BP1_pS65-R-V	-0.00831964099999993
4E-BP1_pT37_T46-R-V	0.553561715
4E-BP1_pT70-R-V	0.660494559
53BP1-R-E	-1.692054052
A-Raf_pS299-R-C	-0.150141621
ACC_pS79-R-V	-0.779210427
ACC1-R-E	-0.052287306
Acetyl-a-Tubulin-Lys40-R-C	-0.308832436
ACVRL1-R-C	0.78221626
ADAR1-M-V	-0.0352423070000001
Akt-R-V	-1.941900158
Akt_pS473-R-V	-0.064622089
Akt_pT308-R-V	0.285208882
alpha-Catenin-M-V	0.0406961820000002
AMPK_alpha-R-C	-0.264420218
AMPK_pT172-R-V	-0.301207762
Annexin-1-M-E	0.929077779
Annexin_VII-M-V	0.294205711
AR-R-V	0.0312353460000001
DIRAS3-M-E	0.352608281
ASNS-R-V	1.11075344
ATM-R-E	-1.714658642
B-Raf-M-C	-1.368560372
Bad_pS112-R-V	-0.797080372
Bak-R-C	0.420636042
Bap1-c-4-M-E	-0.987608441
Bax-R-V	0.418428159
Bcl-2-M-V	-0.186089277
Bcl-xL-R-V	0.51018221
Beclin-G-C	-0.44834166
beta-Catenin-R-V	-2.165109409
Bid-R-C	0.56946846
Bim-R-V	-0.484215299
BRCA2-R-C	0.420609556
c-Jun_pS73-R-V	-0.713092609
c-Kit-R-V	0.199003921
c-Met-M-E	-0.781626923
c-Met_pY1235-R-V	0.509686179
c-Myc-R-C	1.091299075
C-Raf-R-V	-0.253509242
C-Raf_pS338-R-V	0.746345696
Caspase-7_cleavedD198-R-C	0.000648193999999824
Caspase-8-M-E	-1.066600071
Caveolin-1-R-V	-0.549163234
CD20-R-C	0
CD31-M-V	0.270168586
CD49b-M-V	1.107195759
CDK1-R-V	-0.290385228
Chk1-M-C	-0.582563347
Chk1_pS345-R-C	-0.43380979
Chk2-M-E	-0.219982005000001
Chk2_pT68-R-C	0.733876359
cIAP-R-V	-0.0217024219999999
Claudin-7-R-V	0.525697892
Collagen_VI-R-V	1.536696745
Cyclin_B1-R-V	-0.217288235
Cyclin_D1-R-V	1.202560796
Cyclin_E1-M-V	0.172253062
Cyclin_E2-R-C	-0.316470331
DJ-1-R-E	0.454804631
Dvl3-R-V	-0.62561649
E-Cadherin-R-V	-2.716197954
eEF2-R-C	-0.179635157
eEF2K-R-V	-1.115102003
EGFR-R-V	-0.290270522
EGFR_pY1068-R-C	-0.0845392929999995
EGFR_pY1173-R-V	0.210602165
eIF4E-R-V	0.586411569
eIF4G-R-C	-1.248929512
ER-alpha-R-V	-0.409487342
ER-alpha_pS118-R-V	-0.368679876
ERCC1-M-V	-0.447710681
ERK2-R-E	0.190533027
ETS-1-R-V	0.400355428
FASN-R-V	0.52842711
Fibronectin-R-V	1.200166107
FoxM1-R-V	0.191558627
FOXO3a-R-C	0.375117947
FOXO3a_pS318_S321-R-C	0.100868439
G6PD-M-V	0.258583657
GAB2-R-V	-0.391617502
GAPDH-M-C	0.72254538
GATA3-M-V	-0.189695895
GSK3-alpha-beta-M-V	0.170900349
GSK3-alpha-beta_pS21_S9-R-V	-0.10759708
GSK3_pS9-R-V	0.4366869
HER2-M-V	-1.056865402
HER2_pY1248-R-C	0.146848123
HER3-R-V	2.36069128
HER3_pY1289-R-C	0.0650411339999999
Heregulin-R-V	1.117450475
HSP70-R-C	1.308484175
IGFBP2-R-V	0.379671718
INPP4B-R-V	-0.129092143
IRS1-R-V	0.600286284
JNK_pT183_pY185-R-V	0.512977396
JNK2-R-C	-0.376927912
Ku80-R-C	-1.039751905
Lck-R-V	0.635349313
