Sample REF	485976D3-82C9-44C3-99E9-DC8A454E7225
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.373583966
14-3-3_epsilon-M-C	-0.00234782399999989
14-3-3_zeta-R-V	0.329590382
4E-BP1-R-V	-0.292664676
4E-BP1_pS65-R-V	0.225970893
4E-BP1_pT37_T46-R-V	0
4E-BP1_pT70-R-V	0.239818401
53BP1-R-E	-0.971713319
A-Raf_pS299-R-C	0.294450627
ACC_pS79-R-V	0.190100165
ACC1-R-E	0.247899044
Acetyl-a-Tubulin-Lys40-R-C	-0.500201497
ACVRL1-R-C	0.382050095
ADAR1-M-V	-0.0150724149999999
Akt-R-V	-0.894535738
Akt_pS473-R-V	-0.953773506
Akt_pT308-R-V	-0.388355392
alpha-Catenin-M-V	0.189264468
AMPK_alpha-R-C	0.241522443
AMPK_pT172-R-V	-0.522869652
Annexin-1-M-E	0.522896627
Annexin_VII-M-V	0.22209221
AR-R-V	-0.22988845
DIRAS3-M-E	0.105441972
ASNS-R-V	0.793619559
ATM-R-E	-0.834895129
B-Raf-M-C	-0.961010679
Bad_pS112-R-V	-0.026763652
Bak-R-C	-0.0551590980000001
Bap1-c-4-M-E	-0.93552882
Bax-R-V	0.552962392
Bcl-2-M-V	0.118034276
Bcl-xL-R-V	0.268755531
Beclin-G-C	0.687157089
beta-Catenin-R-V	-0.817527857
Bid-R-C	0.0108550930000001
Bim-R-V	0.313085179
BRCA2-R-C	0.3935685
c-Jun_pS73-R-V	-0.266717596
c-Kit-R-V	0.249254801
c-Met-M-E	-0.0225904609999998
c-Met_pY1235-R-V	0.120389253
c-Myc-R-C	0.0587985520000001
C-Raf-R-V	-0.506498252
C-Raf_pS338-R-V	0.429966608
Caspase-7_cleavedD198-R-C	2.070796128
Caspase-8-M-E	0.568898398
Caveolin-1-R-V	0.408968571
CD20-R-C	-0.0480056879999999
CD31-M-V	0.355333799
CD49b-M-V	0.629439978
CDK1-R-V	-0.0270086390000002
Chk1-M-C	-0.51151169
Chk1_pS345-R-C	-0.0779733410000001
Chk2-M-E	-0.146179508
Chk2_pT68-R-C	0.23683639
cIAP-R-V	0.810684649
Claudin-7-R-V	-0.749642847
Collagen_VI-R-V	0.358395474
Cyclin_B1-R-V	0.254495562
Cyclin_D1-R-V	0.201789317
Cyclin_E1-M-V	-0.0243997760000003
Cyclin_E2-R-C	-0.159939742
DJ-1-R-E	0.332929631
Dvl3-R-V	0.0649543269999999
E-Cadherin-R-V	-1.60324905
eEF2-R-C	0.145765967
eEF2K-R-V	-0.870770277
EGFR-R-V	-0.490237553
EGFR_pY1068-R-C	-0.653232231999999
EGFR_pY1173-R-V	0.0628618100000001
eIF4E-R-V	-0.305582635
eIF4G-R-C	-2.051336507
ER-alpha-R-V	-0.477910951
ER-alpha_pS118-R-V	-0.062141118
