Sample REF	48EC2082-9A47-44FB-9E0E-19120B7365A7
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0012706360000001
14-3-3_epsilon-M-C	-0.069103531
14-3-3_zeta-R-V	-0.364954979
4E-BP1-R-V	0.046987146
4E-BP1_pS65-R-V	-0.238770398
4E-BP1_pT37_T46-R-V	-0.302972312
4E-BP1_pT70-R-V	-0.325201861
53BP1-R-E	0.492288586
A-Raf_pS299-R-C	0.0485526080000001
ACC_pS79-R-V	-0.000404520999999991
ACC1-R-E	-0.365751054
Acetyl-a-Tubulin-Lys40-R-C	0.239088864
ACVRL1-R-C	-0.06111858
ADAR1-M-V	0.194933655
Akt-R-V	-0.105530337
Akt_pS473-R-V	-0.405232883
Akt_pT308-R-V	-0.47137456
alpha-Catenin-M-V	0.183306834
AMPK_alpha-R-C	-0.0828314619999999
AMPK_pT172-R-V	0.507841854
Annexin-1-M-E	-0.57564314
Annexin_VII-M-V	-0.0451211950000001
AR-R-V	0.44356502
DIRAS3-M-E	-0.020467131
ASNS-R-V	-0.0386390369999999
ATM-R-E	0.280135453
B-Raf-M-C	0.221880199
Bad_pS112-R-V	-0.101034042
Bak-R-C	0.223145876
Bap1-c-4-M-E	0.624062808
Bax-R-V	-0.163909826
Bcl-2-M-V	1.55342701
Bcl-xL-R-V	-0.0598662169999999
Beclin-G-C	0.141191524
beta-Catenin-R-V	0.260257499
Bid-R-C	-0.26947779
Bim-R-V	0.804714825
BRCA2-R-C	-0.0795413420000002
c-Jun_pS73-R-V	0.0716850469999999
c-Kit-R-V	-0.280918337
c-Met-M-E	0.123141555
c-Met_pY1235-R-V	0.00385440699999995
c-Myc-R-C	-0.505392279
C-Raf-R-V	0.0408882150000001
C-Raf_pS338-R-V	-0.188689738
Caspase-7_cleavedD198-R-C	-0.023091693
Caspase-8-M-E	-0.0497225209999999
Caveolin-1-R-V	-0.702476487
CD20-R-C	0.069708017
CD31-M-V	0.10031457
CD49b-M-V	0.050203566
CDK1-R-V	0.148970097
Chk1-M-C	0.208864967
Chk1_pS345-R-C	0.016443311
Chk2-M-E	0.467672442
Chk2_pT68-R-C	-0.00434469799999992
cIAP-R-V	-0.035865642
Claudin-7-R-V	-0.604585351
Collagen_VI-R-V	-0.50939523
Cyclin_B1-R-V	0.586767338
Cyclin_D1-R-V	-0.553763709
Cyclin_E1-M-V	-0.487199663
Cyclin_E2-R-C	0.207512999
DJ-1-R-E	-0.161092387
Dvl3-R-V	0.220982051
E-Cadherin-R-V	0.247716313
eEF2-R-C	-0.064320253
eEF2K-R-V	0.90251653
EGFR-R-V	0.29926489
EGFR_pY1068-R-C	0.0440909830000003
EGFR_pY1173-R-V	-0.069488498
eIF4E-R-V	-0.26160062
eIF4G-R-C	0.221713472
ER-alpha-R-V	1.5009931
ER-alpha_pS118-R-V	0.092476925
ERCC1-M-V	0.386438564
ERK2-R-E	-0.170316505
ETS-1-R-V	0.01553045
FASN-R-V	-0.534449174
Fibronectin-R-V	-0.401183717
FoxM1-R-V	1.228058569
FOXO3a-R-C	0.213115116
FOXO3a_pS318_S321-R-C	0.1222334
G6PD-M-V	-0.110817776
GAB2-R-V	0.061227448
GAPDH-M-C	0.044191919
GATA3-M-V	0.155769141
GSK3-alpha-beta-M-V	0.095580291
GSK3-alpha-beta_pS21_S9-R-V	-0.480691012
GSK3_pS9-R-V	-0.37721782
HER2-M-V	0.128848231
HER2_pY1248-R-C	-0.0378222389999999
HER3-R-V	0.155006218
HER3_pY1289-R-C	-0.086013406
Heregulin-R-V	0.069416024
HSP70-R-C	-0.167264671
IGFBP2-R-V	-0.709094427
