Sample REF	49680150-87AC-4D5E-A4CE-CE96E2997D53
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0406551290000001
14-3-3_epsilon-M-C	0.0223814560000001
14-3-3_zeta-R-V	0.315638178
4E-BP1-R-V	0.165819294
4E-BP1_pS65-R-V	-0.086386943
4E-BP1_pT37_T46-R-V	0.488428563
4E-BP1_pT70-R-V	0.212339202
53BP1-R-E	-0.165731525
A-Raf_pS299-R-C	-0.041432787
ACC_pS79-R-V	0.187268736
ACC1-R-E	0.0480980009999999
Acetyl-a-Tubulin-Lys40-R-C	-0.439490802
ACVRL1-R-C	-0.053179062
ADAR1-M-V	-0.262402844
Akt-R-V	0.204771983
Akt_pS473-R-V	0.139103524
Akt_pT308-R-V	0.381629798
alpha-Catenin-M-V	0.0218912309999998
AMPK_alpha-R-C	-0.063113042
AMPK_pT172-R-V	0.257242842
Annexin-1-M-E	0.622730115
Annexin_VII-M-V	0.156625952
AR-R-V	-0.416294023
DIRAS3-M-E	-0.173811088
ASNS-R-V	0.371539262
ATM-R-E	-0.352943478
B-Raf-M-C	-0.07252553
Bad_pS112-R-V	0.191568057
Bak-R-C	-0.261414278
Bap1-c-4-M-E	0.125197882
Bax-R-V	0.411313808
Bcl-2-M-V	0.131622441
Bcl-xL-R-V	0.192871803
Beclin-G-C	-0.151030503
beta-Catenin-R-V	1.072271215
Bid-R-C	0.0867629170000001
Bim-R-V	-0.153199332
BRCA2-R-C	0.0903050909999999
c-Jun_pS73-R-V	0.0115870429999997
c-Kit-R-V	-0.0420402919999999
c-Met-M-E	0.156404258
c-Met_pY1235-R-V	-0.299786616
c-Myc-R-C	-0.501627693
C-Raf-R-V	-0.045012505
C-Raf_pS338-R-V	-0.077453698
Caspase-7_cleavedD198-R-C	1.251256161
Caspase-8-M-E	0.144538848
Caveolin-1-R-V	0.281240663
CD20-R-C	-0.024381911
CD31-M-V	-0.21148721
CD49b-M-V	0.109589017
CDK1-R-V	0.0817910979999997
Chk1-M-C	0.137030323
Chk1_pS345-R-C	0.135136508
Chk2-M-E	0.414792832
Chk2_pT68-R-C	-0.208039862
cIAP-R-V	0.024992864
Claudin-7-R-V	0.641121145
Collagen_VI-R-V	-0.04441626
Cyclin_B1-R-V	0.489453963
Cyclin_D1-R-V	0.446650917
Cyclin_E1-M-V	0.754964607
Cyclin_E2-R-C	-0.087508692
DJ-1-R-E	-0.090162876
Dvl3-R-V	0.13205149
E-Cadherin-R-V	0.569448315
eEF2-R-C	1.185813618
eEF2K-R-V	-0.675459266
EGFR-R-V	0.371514168
EGFR_pY1068-R-C	-0.184504584
EGFR_pY1173-R-V	-0.154387733
eIF4E-R-V	0.292770742
eIF4G-R-C	-0.235419163
ER-alpha-R-V	-0.431079997
ER-alpha_pS118-R-V	-0.27319985
ERCC1-M-V	0.00304075200000009
