Sample REF	4E99977A-5CA0-49FC-A1AC-69B4138A18BF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.387519235
14-3-3_epsilon-M-C	0.220737055
14-3-3_zeta-R-V	0.762268343
4E-BP1-R-V	0.440859076
4E-BP1_pS65-R-V	0.1522735
4E-BP1_pT37_T46-R-V	-0.920757848
4E-BP1_pT70-R-V	0.194638058
53BP1-R-E	-0.753693788
A-Raf_pS299-R-C	0.0302731730000002
ACC_pS79-R-V	0.810104734
ACC1-R-E	0.334748217
Acetyl-a-Tubulin-Lys40-R-C	-1.095921618
ACVRL1-R-C	0.277847397
ADAR1-M-V	-0.117582447
Akt-R-V	0.563928521
Akt_pS473-R-V	-0.282203097
Akt_pT308-R-V	-0.34781981
alpha-Catenin-M-V	0.00406145400000013
AMPK_alpha-R-C	0.421614924
AMPK_pT172-R-V	1.034975309
Annexin-1-M-E	0.48442923
Annexin_VII-M-V	0.599959459
AR-R-V	-0.0949910110000001
DIRAS3-M-E	0.10321521
ASNS-R-V	0.942479223
ATM-R-E	-1.608744036
B-Raf-M-C	-1.35161125
Bad_pS112-R-V	-0.355884522
Bak-R-C	0.0735642880000003
Bap1-c-4-M-E	-0.225931731
Bax-R-V	0.217807155
Bcl-2-M-V	1.169532418
Bcl-xL-R-V	0.174644366
Beclin-G-C	-0.0109866019999998
beta-Catenin-R-V	-0.716836358
Bid-R-C	0.0491470930000002
Bim-R-V	0.176120306
BRCA2-R-C	0.288848832
c-Jun_pS73-R-V	-0.256408804
c-Kit-R-V	-0.0270432249999999
c-Met-M-E	-0.579585854
c-Met_pY1235-R-V	-0.00404771699999995
c-Myc-R-C	-0.0477375499999999
C-Raf-R-V	-0.71000137
C-Raf_pS338-R-V	0.0676650480000001
Caspase-7_cleavedD198-R-C	-0.877739652
Caspase-8-M-E	-0.923271867
Caveolin-1-R-V	-0.41434166
CD20-R-C	0.105676728
CD31-M-V	0.101527668
CD49b-M-V	0.728043688
CDK1-R-V	0.222503102
Chk1-M-C	-0.17229135
Chk1_pS345-R-C	0.352399415
Chk2-M-E	0.98232445
Chk2_pT68-R-C	0.560013124
cIAP-R-V	0.330771075
Claudin-7-R-V	-1.51862148
Collagen_VI-R-V	0.684028814
Cyclin_B1-R-V	-0.0293036809999998
Cyclin_D1-R-V	-0.576537724
Cyclin_E1-M-V	0.43137782
Cyclin_E2-R-C	-0.491669777
DJ-1-R-E	-0.141904591
Dvl3-R-V	-0.663409878
E-Cadherin-R-V	0.105476506
eEF2-R-C	1.082898946
eEF2K-R-V	-0.199700723
EGFR-R-V	0.307250745
EGFR_pY1068-R-C	0.199763486
EGFR_pY1173-R-V	0.0459761220000002
eIF4E-R-V	0.524180717
eIF4G-R-C	-1.032592873
ER-alpha-R-V	-0.602952038
ER-alpha_pS118-R-V	-0.0329638799999998
ERCC1-M-V	0
ERK2-R-E	1.047150459
ETS-1-R-V	0.974296818
FASN-R-V	0.192462943
Fibronectin-R-V	0.0668678500000002
FoxM1-R-V	-0.0306476419999997
FOXO3a-R-C	0.164999264
FOXO3a_pS318_S321-R-C	-0.238036567
G6PD-M-V	0.892305647
GAB2-R-V	-0.864483147
GAPDH-M-C	0.843746254
GATA3-M-V	-0.0610258999999995
GSK3-alpha-beta-M-V	0.654899347
GSK3-alpha-beta_pS21_S9-R-V	-0.920980442
GSK3_pS9-R-V	-0.718533628
HER2-M-V	0.71814062
HER2_pY1248-R-C	-0.139162726
HER3-R-V	-0.236008992
HER3_pY1289-R-C	-0.0796995459999998
Heregulin-R-V	0.0129937150000001
HSP70-R-C	-0.257329838
IGFBP2-R-V	1.940078976
INPP4B-R-V	0.368767877
IRS1-R-V	0.144052213
JNK_pT183_pY185-R-V	0.0660276970000002
JNK2-R-C	0.282925471
Ku80-R-C	0.911701235
Lck-R-V	0.36474958
LKB1-M-E	-0.211110523
MAPK_pT202_Y204-R-V	-0.340667749
MEK1-R-V	0.522155029
MEK1_pS217_S221-R-V	-0.203673154
MIG-6-M-V	0.0949615010000002
Mre11-R-C	-0.150271139
MSH2-M-V	0.434339778
MSH6-R-C	-0.385192721
mTOR-R-V	-1.018684196
mTOR_pS2448-R-C	-0.394409756
MYH11-R-V	2.73220158
Myosin-IIa_pS1943-R-V	-0.315959963
N-Cadherin-R-V	0.240588902
N-Ras-M-V	-0.0566712619999998
NDRG1_pT346-R-V	-0.928966167
NF-kB-p65_pS536-R-C	-0.633314304
NF2-R-C	0.0560514760000002
Notch1-R-V	0.0921637630000001
P-Cadherin-R-C	0.496319629
p21-R-V	-2.265310172
p27-R-V	-0.073063109
p27_pT157-R-C	0.571086064
p27_pT198-R-V	0.259392933
p38_MAPK-R-V	0.58775945
p38_pT180_Y182-R-V	-0.726823392
p53-R-E	-0.317680211
p62-LCK-ligand-M-C	0.830978584
p70S6K-R-V	-0.383487144
p70S6K_pT389-R-V	-0.0271350829999997
p90RSK-R-C	-0.143310115
p90RSK_pT359_S363-R-C	-0.295636846
PAI-1-M-E	0.4438308
PARP_cleaved-M-E	-0.39849142
Paxillin-R-C	-0.509111443
PCNA-M-C	0.632659817
PDCD4-R-C	-1.76899205
PDK1-R-V	-0.167780883
PDK1_pS241-R-V	-0.0321257449999999
PEA15-R-V	0.0814902080000001
PEA15_pS116-R-V	1.542781648
PI3K-p110-alpha-R-C	0.422193907
PI3K-p85-R-V	0.0336569840000002
PKC-alpha-M-V	-0.448472843
PKC-alpha_pS657-R-C	-0.874944948
PKC-delta_pS664-R-V	0.000341751999999973
PKC-pan_BetaII_pS660-R-V	-0.913496331
PR-R-V	0.21820391
PRAS40_pT246-R-V	-0.0743977229999999
PRDX1-R-V	1.551509851
PREX1-R-E	-0.829074007
PTEN-R-V	-0.86240361
Rab11-R-E	0.291240843
Rab25-R-V	0.108586258
Rad50-M-V	0.0235272260000001
Rad51-R-V	-0.0774233019999999
Raptor-R-V	0.165466764
Rb-M-E	0.0491577080000001
Rb_pS807_S811-R-V	-0.310717286
RBM15-R-V	-1.497558108
Rictor-R-C	0.160504986
Rictor_pT1135-R-V	0.445080165
S6-R-E	-1.138817783
S6_pS235_S236-R-V	-0.912837887
S6_pS240_S244-R-V	-0.439347135
SCD-M-V	0.177684039
SETD2-R-E	-0.0345282069999997
SF2-M-V	-3.181840251
Shc_pY317-R-E	0.236423347
Smac-M-E	0.95674129
Smad1-R-V	0.102869636
Smad3-R-V	-0.0454165369999999
Smad4-M-V	0.28963739
Snail-M-E	-0.876450096
Src-M-V	0.111725238
Src_pY416-R-C	0.139823814
Src_pY527-R-V	-0.480362531
STAT3_pY705-R-V	-0.730473663
STAT5-alpha-R-V	-0.857939472
Stathmin-R-V	0.0290071370000001
Syk-M-V	-0.764421977
TAZ-R-V	0.318907041
TIGAR-R-V	0.346065303
Transglutaminase-M-V	-0.116577704
TFRC-R-V	2.85784794
TSC1-R-C	-1.645298244
TTF1-R-V	0.959677804
Tuberin-R-E	-1.347394221
Tuberin_pT1462-R-V	0.226580143
VEGFR2-R-V	-0.759986869
EPPK1-M-E	0.965030358
XBP1-G-C	0.315615335
XRCC1-R-E	-0.206118486
YAP-R-E	-0.0636626349999998
YAP_pS127-R-E	-1.017609741
YB-1-R-V	-0.490733958
YB-1_pS102-R-V	-0.187179258
JAB1-M-C	0.550796204
PARP1-R-V	-0.109973212
A-Raf-R-V	-0.258125762
ARID1A-R-C	-1.185274816
B-Raf_pS445-R-V	-0.679501803
Bcl2A1-R-V	0.0723269780000002
BRD4-R-V	-0.973034809
c-Abl-R-V	0.103200595
Caspase-3-R-C	0.907752771
CD26-R-V	0.378099133
Chk1_pS296-R-V	-0.120511689
COG3-R-V	-0.083003309
DUSP4-R-V	-0.134495956
ERCC5-R-C	-1.638500728
IGF1R_pY1135_Y1136-R-V	-0.102186125
IRF-1-R-C	-0.169961151
Jak2-R-V	0.423454132
p16_INK4a-R-V	1.268585481
SHP-2_pY542-R-C	-0.10921555
CDK1_pY15-R-C	-0.280678298
