Sample REF	4EE077A4-25B8-4C6B-B0D3-06301827E402
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.153368761
14-3-3_epsilon-M-C	-0.11355863
14-3-3_zeta-R-V	0.258062906
4E-BP1-R-V	0.311539321
4E-BP1_pS65-R-V	-0.0582218270000001
4E-BP1_pT37_T46-R-V	0.0148935869999999
4E-BP1_pT70-R-V	0.310651072
53BP1-R-E	-0.844262555
A-Raf_pS299-R-C	0.0522395069999999
ACC_pS79-R-V	0.291616947
ACC1-R-E	0.630574632
Acetyl-a-Tubulin-Lys40-R-C	0.987568265
ACVRL1-R-C	0.0604199159999999
ADAR1-M-V	-0.127408585
Akt-R-V	-0.116052331
Akt_pS473-R-V	-0.329993021
Akt_pT308-R-V	0.710795634
alpha-Catenin-M-V	0.169279418
AMPK_alpha-R-C	0.0480717179999999
AMPK_pT172-R-V	-0.769875279
Annexin-1-M-E	0.871356871
Annexin_VII-M-V	0.347324049
AR-R-V	-0.248652178
DIRAS3-M-E	0.0400870159999999
ASNS-R-V	-0.065241262
ATM-R-E	-0.985777011
B-Raf-M-C	-0.719709446
Bad_pS112-R-V	-0.267654693
Bak-R-C	-0.028538094
Bap1-c-4-M-E	-0.552353108
Bax-R-V	-0.0403229220000001
Bcl-2-M-V	-0.236982996
Bcl-xL-R-V	-0.050528074
Beclin-G-C	-0.120532929
beta-Catenin-R-V	0.0205206849999999
Bid-R-C	0.0666883339999999
Bim-R-V	0.257853701
BRCA2-R-C	0.0213585699999996
c-Jun_pS73-R-V	-0.799771812
c-Kit-R-V	-0.153789983
c-Met-M-E	-0.102960603
c-Met_pY1235-R-V	0.00212191599999989
c-Myc-R-C	-0.179240287
C-Raf-R-V	-0.0814197800000001
C-Raf_pS338-R-V	-0.0169315000000002
Caspase-7_cleavedD198-R-C	-0.248289656
Caspase-8-M-E	-0.16868016
Caveolin-1-R-V	0.651487682
CD20-R-C	-0.0480588720000001
CD31-M-V	-0.141954894
CD49b-M-V	0.45052283
CDK1-R-V	-0.228793509
Chk1-M-C	-0.182745114
Chk1_pS345-R-C	-0.301918361
Chk2-M-E	0.326406664
Chk2_pT68-R-C	0.00409325399999994
cIAP-R-V	0.162465504
Claudin-7-R-V	0.0745326049999999
Collagen_VI-R-V	0.225761502
Cyclin_B1-R-V	-0.17642392
Cyclin_D1-R-V	-0.111128094
Cyclin_E1-M-V	0.0284144819999996
Cyclin_E2-R-C	-0.179030371
DJ-1-R-E	0.302495179
Dvl3-R-V	0.0262029729999999
E-Cadherin-R-V	0.221049158
eEF2-R-C	0.56864461
eEF2K-R-V	-0.345014189
EGFR-R-V	-0.168899114
EGFR_pY1068-R-C	-0.724059709
EGFR_pY1173-R-V	0.00723492299999984
eIF4E-R-V	0.443420186
eIF4G-R-C	-1.173216812
ER-alpha-R-V	-0.996615696
ER-alpha_pS118-R-V	-0.172922723
ERCC1-M-V	-0.489511605
ERK2-R-E	0.217045465
ETS-1-R-V	-0.0607743840000001
FASN-R-V	0.776268452
Fibronectin-R-V	-0.023735024
FoxM1-R-V	-0.135135067
FOXO3a-R-C	0.134897274
FOXO3a_pS318_S321-R-C	-0.0957255460000002
G6PD-M-V	0.556763622
GAB2-R-V	-0.941750365
GAPDH-M-C	0.623219055
GATA3-M-V	0.095699244
GSK3-alpha-beta-M-V	0.228033867
GSK3-alpha-beta_pS21_S9-R-V	0.0705768629999999
GSK3_pS9-R-V	0.12352165
HER2-M-V	2.366001065
HER2_pY1248-R-C	1.546508354
HER3-R-V	-0.779151896
HER3_pY1289-R-C	0.0219214479999999
Heregulin-R-V	0.0211214019999999
HSP70-R-C	0.0389329359999999
IGFBP2-R-V	1.060936913
INPP4B-R-V	0.279807538
IRS1-R-V	-0.057218462
JNK_pT183_pY185-R-V	-0.223673813
JNK2-R-C	-0.99153157
Ku80-R-C	-0.0266956
Lck-R-V	-0.0191793350000001
LKB1-M-E	0.023997121
MAPK_pT202_Y204-R-V	-1.004010383
MEK1-R-V	0.175398437
MEK1_pS217_S221-R-V	0.0126521349999999
MIG-6-M-V	0.152709546
Mre11-R-C	0.0473243559999998
MSH2-M-V	-0.103805428
MSH6-R-C	0.0169277639999999
mTOR-R-V	-0.219448775
mTOR_pS2448-R-C	-0.651703063
MYH11-R-V	0.463079228
