Sample REF	4F8CD975-7A4D-43CD-A503-7ADE21803B47
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.600684185
14-3-3_epsilon-M-C	-0.055565818
14-3-3_zeta-R-V	1.079195022
4E-BP1-R-V	0.264661772
4E-BP1_pS65-R-V	-0.0810232719999999
4E-BP1_pT37_T46-R-V	0.280677189
4E-BP1_pT70-R-V	0.808932491
53BP1-R-E	-0.82118948
A-Raf_pS299-R-C	0.684182602
ACC_pS79-R-V	-1.101635436
ACC1-R-E	-1.241523636
Acetyl-a-Tubulin-Lys40-R-C	-0.3853104
ACVRL1-R-C	0.362352113
ADAR1-M-V	0.224370787
Akt-R-V	-1.911857201
Akt_pS473-R-V	0.825287842
Akt_pT308-R-V	0.81275627
alpha-Catenin-M-V	-0.135619054
AMPK_alpha-R-C	0.600328554
AMPK_pT172-R-V	-0.316112567
Annexin-1-M-E	1.344912702
Annexin_VII-M-V	-0.236926578
AR-R-V	-0.128083308
DIRAS3-M-E	0.58172288
ASNS-R-V	0.672151164
ATM-R-E	-0.65039304
B-Raf-M-C	-1.785179285
Bad_pS112-R-V	-0.233561912
Bak-R-C	-0.615549708
Bap1-c-4-M-E	-1.453350311
Bax-R-V	0.790628518
Bcl-2-M-V	-0.444000294
Bcl-xL-R-V	0.910015176
Beclin-G-C	-0.150198091
beta-Catenin-R-V	-1.730963886
Bid-R-C	0.570277112
Bim-R-V	-0.491775212
BRCA2-R-C	0.393226095
c-Jun_pS73-R-V	0.0898814779999999
c-Kit-R-V	0.580458473
c-Met-M-E	4.798987882
c-Met_pY1235-R-V	0.553530541
c-Myc-R-C	2.100694036
C-Raf-R-V	-0.262803701
C-Raf_pS338-R-V	0.655780656
Caspase-7_cleavedD198-R-C	-0.0211182639999998
Caspase-8-M-E	3.766523771
Caveolin-1-R-V	-1.998327152
CD20-R-C	-0.0753050609999999
CD31-M-V	0.210479032
CD49b-M-V	-0.475645299
CDK1-R-V	0.0104401120000002
Chk1-M-C	-0.296102535
Chk1_pS345-R-C	-0.283901673
Chk2-M-E	1.043105935
Chk2_pT68-R-C	0.786080057
cIAP-R-V	0.0710071290000001
Claudin-7-R-V	0.953620834
Collagen_VI-R-V	1.099347186
Cyclin_B1-R-V	-0.0696557329999998
Cyclin_D1-R-V	-0.020329724
Cyclin_E1-M-V	0.15410845
Cyclin_E2-R-C	-0.376178288
DJ-1-R-E	-0.135030156
Dvl3-R-V	-0.613405674
E-Cadherin-R-V	-1.487088225
eEF2-R-C	-1.238914834
eEF2K-R-V	-0.65959078
EGFR-R-V	-0.11414759
EGFR_pY1068-R-C	0.0160154020000005
EGFR_pY1173-R-V	0.499844742
eIF4E-R-V	-0.186362841
eIF4G-R-C	-1.714671382
ER-alpha-R-V	2.547870401
ER-alpha_pS118-R-V	0.151862907
ERCC1-M-V	-0.129947361
ERK2-R-E	-1.042357082
ETS-1-R-V	0
FASN-R-V	-0.863215768
Fibronectin-R-V	-0.410456423
FoxM1-R-V	0.325205162
FOXO3a-R-C	0.183292674
FOXO3a_pS318_S321-R-C	0.885319304
G6PD-M-V	-0.0749629040000002
GAB2-R-V	-0.857359372
GAPDH-M-C	-0.304043786
GATA3-M-V	-0.0123888089999997
GSK3-alpha-beta-M-V	-0.682153768
GSK3-alpha-beta_pS21_S9-R-V	-0.589422345
GSK3_pS9-R-V	-1.33358346
HER2-M-V	-1.302900293
HER2_pY1248-R-C	0.0994892499999998
HER3-R-V	-0.447678776
HER3_pY1289-R-C	-0.076390282
Heregulin-R-V	1.180136756
HSP70-R-C	0.648878979
IGFBP2-R-V	0.439905873
INPP4B-R-V	0.621450299
IRS1-R-V	0.343022047
JNK_pT183_pY185-R-V	0.202158588
JNK2-R-C	-0.831889862
Ku80-R-C	-0.653290194
Lck-R-V	-0.337178192
LKB1-M-E	0.849999199
MAPK_pT202_Y204-R-V	0.204877886
MEK1-R-V	-0.769125987
MEK1_pS217_S221-R-V	0.547985221
MIG-6-M-V	0.24133301
Mre11-R-C	0.85203142
MSH2-M-V	-0.0258341420000006
MSH6-R-C	-0.962442081
mTOR-R-V	-0.768584035
mTOR_pS2448-R-C	-0.527556787
MYH11-R-V	-2.137362298
Myosin-IIa_pS1943-R-V	-1.424588571
N-Cadherin-R-V	0.662597098
N-Ras-M-V	0.502943689
NDRG1_pT346-R-V	-1.199573558
NF-kB-p65_pS536-R-C	0.688664253
NF2-R-C	-0.336382713
Notch1-R-V	-0.0103436529999998
P-Cadherin-R-C	-0.711231175
p21-R-V	-0.822703443
p27-R-V	0.991044223
p27_pT157-R-C	0.785239613
p27_pT198-R-V	0.152812724
p38_MAPK-R-V	-0.282462788
