Sample REF	4FB37041-5A5A-492B-B730-CE4D9D0839F7
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0145918460000001
14-3-3_epsilon-M-C	-0.241606462
14-3-3_zeta-R-V	0.054570963
4E-BP1-R-V	0.352031972
4E-BP1_pS65-R-V	-0.212219351
4E-BP1_pT37_T46-R-V	0.420953423
4E-BP1_pT70-R-V	0.384925507
53BP1-R-E	-0.133389627
A-Raf_pS299-R-C	0.093616624
ACC_pS79-R-V	0.513756694
ACC1-R-E	0.927724081
Acetyl-a-Tubulin-Lys40-R-C	-0.878416383
ACVRL1-R-C	0.058732253
ADAR1-M-V	-0.246233086
Akt-R-V	-0.756465876
Akt_pS473-R-V	0.157627386
Akt_pT308-R-V	0.190423082
alpha-Catenin-M-V	0.084124156
AMPK_alpha-R-C	0.206128807
AMPK_pT172-R-V	-0.0180210790000001
Annexin-1-M-E	0.403230538
Annexin_VII-M-V	0.0881989289999999
AR-R-V	-0.236113153
DIRAS3-M-E	-0.05806765
ASNS-R-V	0.428928359
ATM-R-E	-0.918419944
B-Raf-M-C	-0.36448357
Bad_pS112-R-V	-0.027133337
Bak-R-C	-0.330962327
Bap1-c-4-M-E	-0.534767249
Bax-R-V	0.190423082
Bcl-2-M-V	0.0417835660000002
Bcl-xL-R-V	0.316060483
Beclin-G-C	0.0406260180000001
beta-Catenin-R-V	-0.581108167
Bid-R-C	0.0834853850000001
Bim-R-V	0.155965613
BRCA2-R-C	-0.0265858590000002
c-Jun_pS73-R-V	-0.366870292
c-Kit-R-V	0.329074053
c-Met-M-E	0.0400439679999999
c-Met_pY1235-R-V	-0.0598679009999999
c-Myc-R-C	0.063405178
C-Raf-R-V	-0.351263275
C-Raf_pS338-R-V	-0.042575028
Caspase-7_cleavedD198-R-C	0.034824733
Caspase-8-M-E	-0.239296988
Caveolin-1-R-V	1.497513102
CD20-R-C	-0.159636019
CD31-M-V	0.0224197260000002
CD49b-M-V	0.16621074
CDK1-R-V	-0.131050261
Chk1-M-C	-0.403571261
Chk1_pS345-R-C	-0.280787432
Chk2-M-E	0.0441560609999999
Chk2_pT68-R-C	-0.0296865709999999
cIAP-R-V	0.054064136
Claudin-7-R-V	-0.140973567
Collagen_VI-R-V	0.196454876
Cyclin_B1-R-V	-0.667448292
Cyclin_D1-R-V	0.02478687
Cyclin_E1-M-V	0.24275592
Cyclin_E2-R-C	-0.273225971
DJ-1-R-E	0.122231589
Dvl3-R-V	-0.303339434
E-Cadherin-R-V	-0.551270866
eEF2-R-C	0.05342075
eEF2K-R-V	-1.153750505
EGFR-R-V	0.221228493
EGFR_pY1068-R-C	1.249425655
EGFR_pY1173-R-V	-0.048245061
eIF4E-R-V	0.375885821
eIF4G-R-C	-1.095448258
ER-alpha-R-V	0.732486871
ER-alpha_pS118-R-V	-0.263998211
ERCC1-M-V	-0.265625602
ERK2-R-E	0.139808744
ETS-1-R-V	-0.096213758
FASN-R-V	0.023879632
Fibronectin-R-V	0.386108218
FoxM1-R-V	-0.351350928
FOXO3a-R-C	0.02590394
FOXO3a_pS318_S321-R-C	-0.0223583209999999
G6PD-M-V	0.867017725
GAB2-R-V	-0.389346953
GAPDH-M-C	0.062430524
GATA3-M-V	0.752519699
GSK3-alpha-beta-M-V	0.092346792
