Sample REF	5084B39A-9371-4D27-9812-371724EED76C
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.13356379
14-3-3_epsilon-M-C	-0.116366885
14-3-3_zeta-R-V	-0.0875216499999999
4E-BP1-R-V	-0.314591432
4E-BP1_pS65-R-V	-0.109584852
4E-BP1_pT37_T46-R-V	-0.292659173
4E-BP1_pT70-R-V	-0.0881107629999999
53BP1-R-E	0.215103477
A-Raf_pS299-R-C	-0.0774019439999999
ACC_pS79-R-V	-0.228759598
ACC1-R-E	-0.471706224
Acetyl-a-Tubulin-Lys40-R-C	0.777263107
ACVRL1-R-C	-0.00652288699999981
ADAR1-M-V	-0.101252843
Akt-R-V	-0.105705683
Akt_pS473-R-V	0.667961445
Akt_pT308-R-V	0.176250494
alpha-Catenin-M-V	0
AMPK_alpha-R-C	0.0290389850000002
AMPK_pT172-R-V	0.377219939
Annexin-1-M-E	-0.290366182
Annexin_VII-M-V	-0.0151609580000001
AR-R-V	0.253219839
DIRAS3-M-E	0.124151223
ASNS-R-V	-0.501510511
ATM-R-E	0.605471836
B-Raf-M-C	-0.0887026399999998
Bad_pS112-R-V	-0.206675243
Bak-R-C	0.0795210280000003
Bap1-c-4-M-E	-0.218146263
Bax-R-V	0.306769923
Bcl-2-M-V	0.225700369
Bcl-xL-R-V	0.363522704
Beclin-G-C	0.124151223
beta-Catenin-R-V	-0.0703633349999998
Bid-R-C	0.0949831970000002
Bim-R-V	0.237830575
BRCA2-R-C	0.00286137100000006
c-Jun_pS73-R-V	-0.244860149
c-Kit-R-V	0.197838765
c-Met-M-E	-0.212303526
c-Met_pY1235-R-V	0.094820674
c-Myc-R-C	0.0847746370000002
C-Raf-R-V	-0.107144537
C-Raf_pS338-R-V	0.0629637990000001
Caspase-7_cleavedD198-R-C	0.116929612
Caspase-8-M-E	-0.0466711899999996
Caveolin-1-R-V	0.653393899
CD20-R-C	0.0789346930000001
CD31-M-V	0.0803479410000003
CD49b-M-V	-0.450251245
CDK1-R-V	-0.108467718
Chk1-M-C	0.22241956
Chk1_pS345-R-C	-0.04016252
Chk2-M-E	0.228457908
Chk2_pT68-R-C	0.142182804
cIAP-R-V	0.0368723620000002
Claudin-7-R-V	0.242387985
Collagen_VI-R-V	0.0593257810000001
Cyclin_B1-R-V	0.0328080020000002
Cyclin_D1-R-V	-0.28986609
Cyclin_E1-M-V	0.329236713
Cyclin_E2-R-C	-0.0451272419999998
DJ-1-R-E	0.153113609
Dvl3-R-V	-0.349620741
E-Cadherin-R-V	0.00572455400000016
eEF2-R-C	-0.0397903439999999
eEF2K-R-V	0.0254746000000003
EGFR-R-V	-0.219945703
EGFR_pY1068-R-C	-0.0830373449999997
EGFR_pY1173-R-V	0.12048169
eIF4E-R-V	-0.300098011
eIF4G-R-C	-0.267245347
ER-alpha-R-V	1.955297732
ER-alpha_pS118-R-V	0.201498448
ERCC1-M-V	0.119165338
ERK2-R-E	0.0569076560000001
ETS-1-R-V	0.00397228900000018
FASN-R-V	-0.660907908
Fibronectin-R-V	-0.504697206
FoxM1-R-V	0.0749908540000002
FOXO3a-R-C	-0.00143700799999991
FOXO3a_pS318_S321-R-C	0.136707359
G6PD-M-V	0.238011845
GAB2-R-V	-0.00554621099999997
GAPDH-M-C	-0.0334504859999999
GATA3-M-V	-0.100412625
GSK3-alpha-beta-M-V	0.0421305930000001
GSK3-alpha-beta_pS21_S9-R-V	0.0115887120000001
GSK3_pS9-R-V	-0.443233764
HER2-M-V	0.0417374870000001
HER2_pY1248-R-C	-0.0086300039999998
HER3-R-V	-0.282727107
HER3_pY1289-R-C	-0.159183404
Heregulin-R-V	0.146968762
HSP70-R-C	-0.261474304
IGFBP2-R-V	1.243839706
INPP4B-R-V	0.24753495
IRS1-R-V	0.0046247960000001
JNK_pT183_pY185-R-V	-0.0814818899999998
JNK2-R-C	-0.0240366579999998
Ku80-R-C	0.274960362
Lck-R-V	0.0762285810000001
LKB1-M-E	0.251137118
MAPK_pT202_Y204-R-V	-0.0567620369999999
MEK1-R-V	-0.168265986
MEK1_pS217_S221-R-V	0.00989944800000013
MIG-6-M-V	0.104095702
Mre11-R-C	0.116563578
MSH2-M-V	-0.00854331699999999
MSH6-R-C	0.00155290400000013
mTOR-R-V	0.11136999
mTOR_pS2448-R-C	-0.0298355299999997
MYH11-R-V	0.124151223
Myosin-IIa_pS1943-R-V	-0.204623676
N-Cadherin-R-V	-0.0159056139999998
N-Ras-M-V	0.00377391300000013
NDRG1_pT346-R-V	-1.339868855
NF-kB-p65_pS536-R-C	-0.169053443
NF2-R-C	-0.0612777269999999
Notch1-R-V	-0.172556242
P-Cadherin-R-C	0.301301598
p21-R-V	-1.353155148
p27-R-V	0.182459812
p27_pT157-R-C	0.240662594
p27_pT198-R-V	0.328128081
p38_MAPK-R-V	0.0263424870000002
p38_pT180_Y182-R-V	-0.19011088
p53-R-E	-0.0115486859999998
p62-LCK-ligand-M-C	-0.109721124
p70S6K-R-V	-0.251522368
p70S6K_pT389-R-V	0.00113474700000027
p90RSK-R-C	0.111208294
p90RSK_pT359_S363-R-C	-0.0377231749999998
PAI-1-M-E	-0.907451427
PARP_cleaved-M-E	0.00399090400000013
Paxillin-R-C	-0.120691378
PCNA-M-C	0.0734764000000001
PDCD4-R-C	0.103437675
PDK1-R-V	-0.0400857659999999
PDK1_pS241-R-V	-0.0246324829999999
PEA15-R-V	0.153758391
PEA15_pS116-R-V	0.0379671410000001
PI3K-p110-alpha-R-C	-0.216690187
PI3K-p85-R-V	0.00825376200000016
PKC-alpha-M-V	-0.530145027
PKC-alpha_pS657-R-C	-0.671773264
PKC-delta_pS664-R-V	-0.00633075500000002
PKC-pan_BetaII_pS660-R-V	-0.197076429
PR-R-V	0.150876648
PRAS40_pT246-R-V	0.0624648730000001
PRDX1-R-V	0.0506909900000002
PREX1-R-E	0.346461243
PTEN-R-V	-0.1872711
Rab11-R-E	0.0541125800000002
Rab25-R-V	0.00311776399999997
Rad50-M-V	-0.0773650059999997
Rad51-R-V	0.180533276
Raptor-R-V	-0.125501581
Rb-M-E	-0.02133527
Rb_pS807_S811-R-V	-0.385568959
RBM15-R-V	0.148287771
Rictor-R-C	-0.284481109
Rictor_pT1135-R-V	0.189164431
S6-R-E	0.124151223
S6_pS235_S236-R-V	-0.0920897509999996
S6_pS240_S244-R-V	-0.121199261
SCD-M-V	-0.0753617199999999
SETD2-R-E	0.0119669680000003
SF2-M-V	-0.472223781
Shc_pY317-R-E	-0.118310954
Smac-M-E	-0.229475342
Smad1-R-V	-0.140023895
Smad3-R-V	0.0281712030000001
Smad4-M-V	0.1954678
Snail-M-E	-0.132685514999999
Src-M-V	-0.410993412
Src_pY416-R-C	-0.155742564
Src_pY527-R-V	-0.216299355
STAT3_pY705-R-V	0.137495302
STAT5-alpha-R-V	-0.0449914849999999
Stathmin-R-V	0.241206546
Syk-M-V	0.0870068980000002
TAZ-R-V	0.0555068970000001
TIGAR-R-V	-0.0140689829999998
Transglutaminase-M-V	1.534355343
TFRC-R-V	-0.401127004
TSC1-R-C	0.0401736560000001
