Sample REF	512D1B08-402F-433F-974C-B134628CBA33
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0257691089999999
14-3-3_epsilon-M-C	-0.097626603
14-3-3_zeta-R-V	-0.010960368
4E-BP1-R-V	0.180960132
4E-BP1_pS65-R-V	-0.0491624479999999
4E-BP1_pT37_T46-R-V	-0.257178423
4E-BP1_pT70-R-V	-0.180382053
53BP1-R-E	-1.108412464
A-Raf_pS299-R-C	0.055011855
ACC_pS79-R-V	0.178112026
ACC1-R-E	0.177228917
Acetyl-a-Tubulin-Lys40-R-C	-0.326317098
ACVRL1-R-C	-0.189869112
ADAR1-M-V	0.0892169220000001
Akt-R-V	-0.0153727219999999
Akt_pS473-R-V	0.6407966
Akt_pT308-R-V	0.196084956
alpha-Catenin-M-V	0.030044453
AMPK_alpha-R-C	0.575234667
AMPK_pT172-R-V	1.169926944
Annexin-1-M-E	-0.599655396
Annexin_VII-M-V	-0.375775211
AR-R-V	-0.0345589589999999
DIRAS3-M-E	0
ASNS-R-V	2.11275753
ATM-R-E	-0.332243952
B-Raf-M-C	0.336323202
Bad_pS112-R-V	-0.290174793
Bak-R-C	0.127681684
Bap1-c-4-M-E	0.375631087
Bax-R-V	-0.104185475
Bcl-2-M-V	-0.45866242
Bcl-xL-R-V	0.085269629
Beclin-G-C	0.158155867
beta-Catenin-R-V	0.625330804
Bid-R-C	-0.181363837
Bim-R-V	-0.372567375
BRCA2-R-C	-0.048049584
c-Jun_pS73-R-V	0.223696181
c-Kit-R-V	-0.345647799
c-Met-M-E	0.188217165
c-Met_pY1235-R-V	0.025693277
c-Myc-R-C	-0.322328018
C-Raf-R-V	0.193755544
C-Raf_pS338-R-V	-0.107550329
Caspase-7_cleavedD198-R-C	-0.852928496
Caspase-8-M-E	0.067503575
Caveolin-1-R-V	-0.959791206
CD20-R-C	-0.000934722999999971
CD31-M-V	-0.0235545069999997
CD49b-M-V	-0.210906947
CDK1-R-V	-0.133404107
Chk1-M-C	0.110576
Chk1_pS345-R-C	0.04049632
