Sample REF	53BE8C06-2C3C-42EF-A4B8-202A39B34E36
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.06001197
14-3-3_epsilon-M-C	0.0615797430000001
14-3-3_zeta-R-V	0.346280701
4E-BP1-R-V	0.290611939
4E-BP1_pS65-R-V	-0.119833244
4E-BP1_pT37_T46-R-V	0.228358235
4E-BP1_pT70-R-V	0.247153873
53BP1-R-E	-0.587339918
A-Raf_pS299-R-C	0.076167156
ACC_pS79-R-V	0.87719154
ACC1-R-E	0.955140142
Acetyl-a-Tubulin-Lys40-R-C	0.176134197
ACVRL1-R-C	0.00325806999999989
ADAR1-M-V	-0.159266844
Akt-R-V	0
Akt_pS473-R-V	-0.251970746
Akt_pT308-R-V	-0.309801197
alpha-Catenin-M-V	0.125780591
AMPK_alpha-R-C	-0.108690915
AMPK_pT172-R-V	0.191276993
Annexin-1-M-E	-0.32521472
Annexin_VII-M-V	-0.016601126
AR-R-V	-0.313695741
DIRAS3-M-E	0.024066185
ASNS-R-V	0.45876025
ATM-R-E	0.410213738
B-Raf-M-C	-0.293171118
Bad_pS112-R-V	-0.153930358
Bak-R-C	-0.102424531
Bap1-c-4-M-E	-0.353469634
Bax-R-V	0.119200403
Bcl-2-M-V	0.148818277
Bcl-xL-R-V	-0.177119461
Beclin-G-C	-0.0973960129999999
beta-Catenin-R-V	-0.48083173
Bid-R-C	-0.0309702319999999
Bim-R-V	0.417132228
BRCA2-R-C	0.04647714
c-Jun_pS73-R-V	-0.568429945
c-Kit-R-V	-0.01047487
c-Met-M-E	-0.026315202
c-Met_pY1235-R-V	-0.0297594499999999
c-Myc-R-C	-0.190607542
C-Raf-R-V	-0.038519033
C-Raf_pS338-R-V	-0.010367407
Caspase-7_cleavedD198-R-C	1.508181752
Caspase-8-M-E	0.0330422340000002
Caveolin-1-R-V	-1.04321282
CD20-R-C	-0.084129695
CD31-M-V	0.161496253
CD49b-M-V	-0.145415091
CDK1-R-V	-0.0468153890000002
Chk1-M-C	-0.300313061
Chk1_pS345-R-C	-0.175675581
Chk2-M-E	0.128509749
Chk2_pT68-R-C	-0.0656053689999999
cIAP-R-V	-0.010498113
Claudin-7-R-V	-0.329939754
Collagen_VI-R-V	-0.081551641
Cyclin_B1-R-V	-0.199553305
Cyclin_D1-R-V	-0.0544687369999999
