Sample REF	580103D7-9873-4F83-857F-4D46A9DD24A2
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0979275889999999
14-3-3_epsilon-M-C	-0.0290161709999999
14-3-3_zeta-R-V	0.0957638600000001
4E-BP1-R-V	-0.410188
4E-BP1_pS65-R-V	0.00527667700000001
4E-BP1_pT37_T46-R-V	0.243100683
4E-BP1_pT70-R-V	0.013461149
53BP1-R-E	-0.141475925
A-Raf_pS299-R-C	-0.232621046
ACC_pS79-R-V	0.518037157
ACC1-R-E	0.750960006
Acetyl-a-Tubulin-Lys40-R-C	-0.0216769470000001
ACVRL1-R-C	0.0248014329999999
ADAR1-M-V	0.0340390320000001
Akt-R-V	0.215530881
Akt_pS473-R-V	-0.726015903
Akt_pT308-R-V	-0.606163611
alpha-Catenin-M-V	-0.131101845
AMPK_alpha-R-C	0.351483956
AMPK_pT172-R-V	0.0361067919999999
Annexin-1-M-E	-0.250939127
Annexin_VII-M-V	-0.0753669190000002
AR-R-V	-0.202712372
DIRAS3-M-E	-0.08584135
ASNS-R-V	-0.778718506
ATM-R-E	0.469166479
B-Raf-M-C	0.226058689
Bad_pS112-R-V	0.053435811
Bak-R-C	0.000467539999999989
Bap1-c-4-M-E	0.212570117
Bax-R-V	0.507474937
Bcl-2-M-V	-0.138075304
Bcl-xL-R-V	0.149733651
Beclin-G-C	-0.0721449610000001
beta-Catenin-R-V	0.057164036
Bid-R-C	0.037988577
Bim-R-V	-0.100816247
BRCA2-R-C	-0.05131658
c-Jun_pS73-R-V	-0.0141376060000003
c-Kit-R-V	1.016644653
c-Met-M-E	-0.277694026
c-Met_pY1235-R-V	-0.0771913880000001
c-Myc-R-C	-0.241171883
C-Raf-R-V	-0.04175277
C-Raf_pS338-R-V	-0.058311645
Caspase-7_cleavedD198-R-C	2.492355914
Caspase-8-M-E	0.233475628
Caveolin-1-R-V	-1.436805796
CD20-R-C	-0.0606118920000001
CD31-M-V	-0.0721680349999999
CD49b-M-V	-0.109436446
CDK1-R-V	-0.180216118
Chk1-M-C	0.19228715
Chk1_pS345-R-C	0.049761805
Chk2-M-E	-0.0837556710000001
Chk2_pT68-R-C	-0.114680143
cIAP-R-V	0.398624703
Claudin-7-R-V	0.633338495
Collagen_VI-R-V	-0.28405772
Cyclin_B1-R-V	0.047894344
Cyclin_D1-R-V	0.15199779
Cyclin_E1-M-V	0.170470479
Cyclin_E2-R-C	-0.169566597
DJ-1-R-E	0.1275096
Dvl3-R-V	-0.498975012
E-Cadherin-R-V	-1.11050302
eEF2-R-C	0.297878264
eEF2K-R-V	0.089084442
EGFR-R-V	-0.112560722
EGFR_pY1068-R-C	-0.198430787
EGFR_pY1173-R-V	-0.014822481
eIF4E-R-V	-0.225239135
eIF4G-R-C	0.0877092579999998
ER-alpha-R-V	-0.24136689
ER-alpha_pS118-R-V	0.023338826
ERCC1-M-V	0.27304886
ERK2-R-E	-0.071721243
ETS-1-R-V	0.275108551
FASN-R-V	0.560408711
Fibronectin-R-V	-0.763715058
FoxM1-R-V	-0.328131713
FOXO3a-R-C	-0.217550629
FOXO3a_pS318_S321-R-C	-0.168695623
G6PD-M-V	0.24362048
GAB2-R-V	0.448629928
GAPDH-M-C	0.101912342
GATA3-M-V	-0.228946638
GSK3-alpha-beta-M-V	0.107135996
GSK3-alpha-beta_pS21_S9-R-V	-0.308522842
GSK3_pS9-R-V	-0.690517702
HER2-M-V	0.395198112
HER2_pY1248-R-C	0.168355584
HER3-R-V	1.166584743
HER3_pY1289-R-C	0.166746755
Heregulin-R-V	-0.124145285
HSP70-R-C	0.240891482
IGFBP2-R-V	-1.302933688
INPP4B-R-V	-0.0935795819999999
IRS1-R-V	-0.0908298189999999
JNK_pT183_pY185-R-V	0.132770689
JNK2-R-C	0.37757949
Ku80-R-C	0.212115964
Lck-R-V	0.371281745
LKB1-M-E	-0.065073093
MAPK_pT202_Y204-R-V	-0.811477796
MEK1-R-V	-0.706736261
MEK1_pS217_S221-R-V	-0.11727887
MIG-6-M-V	0.161390841
Mre11-R-C	-0.058956626
MSH2-M-V	-0.130117672
MSH6-R-C	-0.010163195
mTOR-R-V	0.794043846
mTOR_pS2448-R-C	-0.0972508319999999
MYH11-R-V	-1.832050652
Myosin-IIa_pS1943-R-V	-0.484981652
N-Cadherin-R-V	0.264584991
N-Ras-M-V	0.031941032
NDRG1_pT346-R-V	-2.830595799
NF-kB-p65_pS536-R-C	-0.0295078690000002
NF2-R-C	-0.122470184
Notch1-R-V	-0.195241391
P-Cadherin-R-C	0.373303992
p21-R-V	0.016945573
p27-R-V	-0.0181458589999999
p27_pT157-R-C	0.068036443
p27_pT198-R-V	0.266069853
p38_MAPK-R-V	0.391194611
p38_pT180_Y182-R-V	0.453470227
p53-R-E	-0.0662269849999997
p62-LCK-ligand-M-C	0.0536893689999999
p70S6K-R-V	0.04104637
p70S6K_pT389-R-V	0.030209576
p90RSK-R-C	0.070623541
p90RSK_pT359_S363-R-C	0.093483637
PAI-1-M-E	-1.200101224
PARP_cleaved-M-E	-0.0190724280000001
Paxillin-R-C	-0.196033921
PCNA-M-C	-0.180226281
PDCD4-R-C	0.258890112
PDK1-R-V	0
PDK1_pS241-R-V	-0.064835107
PEA15-R-V	0.03597019
PEA15_pS116-R-V	0.241836922
PI3K-p110-alpha-R-C	-0.362300728
PI3K-p85-R-V	-0.159737848
PKC-alpha-M-V	-0.421535839
PKC-alpha_pS657-R-C	-0.305343617
PKC-delta_pS664-R-V	-0.188435814
PKC-pan_BetaII_pS660-R-V	-0.156901409
PR-R-V	-0.020471272
