Sample REF	5852B79F-E34E-4B67-ADDA-CD19B9FDF975
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.15332857
14-3-3_epsilon-M-C	0.0498174240000001
14-3-3_zeta-R-V	-0.352498009
4E-BP1-R-V	0.251122255
4E-BP1_pS65-R-V	0.065225324
4E-BP1_pT37_T46-R-V	-0.349481629
4E-BP1_pT70-R-V	0.240674379
53BP1-R-E	0.550008649
A-Raf_pS299-R-C	-0.261834913
ACC_pS79-R-V	0.049081631
ACC1-R-E	0.258320616
Acetyl-a-Tubulin-Lys40-R-C	1.759424639
ACVRL1-R-C	-0.140377777
ADAR1-M-V	0.036971036
Akt-R-V	0.225521405
Akt_pS473-R-V	1.762538077
Akt_pT308-R-V	1.254542492
alpha-Catenin-M-V	-0.0519949739999999
AMPK_alpha-R-C	0.01616517
AMPK_pT172-R-V	0.263217076
Annexin-1-M-E	-1.238736979
Annexin_VII-M-V	-0.230050288
AR-R-V	0.11166904
DIRAS3-M-E	0.031522263
ASNS-R-V	1.082506254
ATM-R-E	-0.120979096
B-Raf-M-C	0.455435342
Bad_pS112-R-V	-0.325424856
Bak-R-C	0.185509101
Bap1-c-4-M-E	0.898031685
Bax-R-V	-0.784525476
Bcl-2-M-V	-0.316320911
Bcl-xL-R-V	0.0254419870000001
Beclin-G-C	0.374848893
beta-Catenin-R-V	1.646287082
Bid-R-C	0.0194186530000001
Bim-R-V	0.504046216
BRCA2-R-C	-0.123359375
c-Jun_pS73-R-V	-0.251925729
c-Kit-R-V	-0.020109703
c-Met-M-E	-0.103917327
c-Met_pY1235-R-V	0.1298139
c-Myc-R-C	-0.31016975
C-Raf-R-V	0.170996284
C-Raf_pS338-R-V	-0.040076869
Caspase-7_cleavedD198-R-C	-0.01618578
Caspase-8-M-E	-0.146410048
Caveolin-1-R-V	-1.534377164
CD20-R-C	0.29745545
CD31-M-V	-0.0148403659999999
CD49b-M-V	-0.166622576
CDK1-R-V	0.00258339099999988
Chk1-M-C	0.716732891
Chk1_pS345-R-C	-0.098816799
Chk2-M-E	-0.0820654720000001
Chk2_pT68-R-C	0.085137365
cIAP-R-V	-0.0300918079999999
Claudin-7-R-V	0.914742878
Collagen_VI-R-V	-0.169102209
Cyclin_B1-R-V	0.982104455
Cyclin_D1-R-V	-0.0116097669999999
Cyclin_E1-M-V	-0.223226259
Cyclin_E2-R-C	0.30640112
DJ-1-R-E	-0.241902026
Dvl3-R-V	-0.121393767
E-Cadherin-R-V	0.355098291
eEF2-R-C	-0.041677573
eEF2K-R-V	-0.64211368
EGFR-R-V	-0.799315484
EGFR_pY1068-R-C	-0.479909115
EGFR_pY1173-R-V	0.050420074
eIF4E-R-V	0.231252749
eIF4G-R-C	0.556220239
ER-alpha-R-V	-1.029924428
ER-alpha_pS118-R-V	0.238654529
ERCC1-M-V	0.12924302
ERK2-R-E	-0.122090926
ETS-1-R-V	-0.075157485
FASN-R-V	1.171208274
Fibronectin-R-V	1.594078727
FoxM1-R-V	0.503664513
FOXO3a-R-C	-0.010975663
FOXO3a_pS318_S321-R-C	-0.133147252
G6PD-M-V	-0.324768861
GAB2-R-V	1.438267017
GAPDH-M-C	0.093364397
GATA3-M-V	-0.524687892
GSK3-alpha-beta-M-V	0.321433053
GSK3-alpha-beta_pS21_S9-R-V	0.062798873
GSK3_pS9-R-V	0.142574547
HER2-M-V	-0.138168675
HER2_pY1248-R-C	-0.295203936
HER3-R-V	0.11450705
HER3_pY1289-R-C	-0.018472643
Heregulin-R-V	0.034096327
HSP70-R-C	0.200036337
IGFBP2-R-V	-0.518800847
INPP4B-R-V	0.21354043
IRS1-R-V	0.060794471
JNK_pT183_pY185-R-V	-0.138285098
JNK2-R-C	-0.000797867999999979
Ku80-R-C	0.198841681
Lck-R-V	-0.68638694
LKB1-M-E	0.01138078
MAPK_pT202_Y204-R-V	-0.676886569
MEK1-R-V	-0.101232049
MEK1_pS217_S221-R-V	-0.128115516
MIG-6-M-V	0.133267235
Mre11-R-C	0.020732863
MSH2-M-V	-0.550039025
MSH6-R-C	-1.146706901
mTOR-R-V	-0.11834681
mTOR_pS2448-R-C	-0.342919351
MYH11-R-V	0.823291776
Myosin-IIa_pS1943-R-V	-0.029532316
N-Cadherin-R-V	-0.039303821
N-Ras-M-V	0
NDRG1_pT346-R-V	-1.545652878
NF-kB-p65_pS536-R-C	0.271583916
NF2-R-C	-0.107142467
Notch1-R-V	0.168222978
P-Cadherin-R-C	-0.219634485
p21-R-V	0.178446419
p27-R-V	-0.279608573
p27_pT157-R-C	0.1877225
p27_pT198-R-V	0.112264491
p38_MAPK-R-V	0.152266035
p38_pT180_Y182-R-V	-1.063071741
p53-R-E	0.140825449
p62-LCK-ligand-M-C	-0.287713824
p70S6K-R-V	-0.143380814
p70S6K_pT389-R-V	0.204935166
p90RSK-R-C	-0.278669419
p90RSK_pT359_S363-R-C	-0.427614969
PAI-1-M-E	1.24765044
PARP_cleaved-M-E	-0.03379326
Paxillin-R-C	0.224288962
PCNA-M-C	-0.151977721
PDCD4-R-C	-0.929009944
PDK1-R-V	-0.00146406799999999
PDK1_pS241-R-V	-0.020278946
PEA15-R-V	-0.195132132
PEA15_pS116-R-V	-0.0333207319999999
PI3K-p110-alpha-R-C	0.015100498
PI3K-p85-R-V	-0.303513965
PKC-alpha-M-V	-0.0762149749999999
PKC-alpha_pS657-R-C	-0.0504038270000001
PKC-delta_pS664-R-V	-0.311834167
