Sample REF	58CD44F1-118D-4675-A3F8-0F28F8F98EF9
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.000456884000000213
14-3-3_epsilon-M-C	-0.0860403909999998
14-3-3_zeta-R-V	-0.348025476
4E-BP1-R-V	0.0722065580000001
4E-BP1_pS65-R-V	-0.0526931749999999
4E-BP1_pT37_T46-R-V	-0.270232265
4E-BP1_pT70-R-V	-0.0835234869999999
53BP1-R-E	0.126185728
A-Raf_pS299-R-C	0.14023538
ACC_pS79-R-V	-0.00820451599999983
ACC1-R-E	-0.298021087
Acetyl-a-Tubulin-Lys40-R-C	0.469787875
ACVRL1-R-C	-0.000321212999999876
ADAR1-M-V	-0.0712011329999997
Akt-R-V	0.49588367
Akt_pS473-R-V	-0.696632366
Akt_pT308-R-V	-0.335546197
alpha-Catenin-M-V	-0.0922106030000001
AMPK_alpha-R-C	-0.140247414
AMPK_pT172-R-V	0
Annexin-1-M-E	-0.385986334
Annexin_VII-M-V	-0.181595176
AR-R-V	0.173102684
DIRAS3-M-E	-0.0635860769999999
ASNS-R-V	0.288955394
ATM-R-E	-0.5693653
B-Raf-M-C	0.144645985
Bad_pS112-R-V	0.0696822460000001
Bak-R-C	0.221126875
Bap1-c-4-M-E	0.279706733
Bax-R-V	-0.3834966
Bcl-2-M-V	1.254042672
Bcl-xL-R-V	0.0890133330000001
Beclin-G-C	-0.0340862929999999
beta-Catenin-R-V	0.582113618
Bid-R-C	-0.0368916889999998
Bim-R-V	-0.0296559749999999
BRCA2-R-C	-0.0265860449999999
c-Jun_pS73-R-V	-0.24330026
c-Kit-R-V	0.340306764
c-Met-M-E	-0.317974151
c-Met_pY1235-R-V	0.0522436860000001
c-Myc-R-C	-0.314519167
C-Raf-R-V	0.0331390480000001
C-Raf_pS338-R-V	-0.0229064559999999
Caspase-7_cleavedD198-R-C	-0.31301415
Caspase-8-M-E	-0.167866188
Caveolin-1-R-V	0.112389639
CD20-R-C	0.328162384
CD31-M-V	-0.149493486
CD49b-M-V	1.147623042
CDK1-R-V	-0.0464398009999998
Chk1-M-C	0.168971133
Chk1_pS345-R-C	0.0392531530000001
Chk2-M-E	0.159553291
Chk2_pT68-R-C	-0.187642251
cIAP-R-V	-0.20286583
Claudin-7-R-V	-1.341244685
Collagen_VI-R-V	-0.0352351599999999
Cyclin_B1-R-V	-0.215857068
Cyclin_D1-R-V	-0.00699630799999984
Cyclin_E1-M-V	-0.172046824
Cyclin_E2-R-C	0.180630465
DJ-1-R-E	-0.259133201
Dvl3-R-V	0.20713838
E-Cadherin-R-V	0.176518139
eEF2-R-C	0.616942045
eEF2K-R-V	-0.0774148569999997
EGFR-R-V	0.432706239
EGFR_pY1068-R-C	-0.316911458
EGFR_pY1173-R-V	0.0029787160000001
eIF4E-R-V	-0.357823049
eIF4G-R-C	-0.128717911
ER-alpha-R-V	-0.36282539
ER-alpha_pS118-R-V	0.119143482
ERCC1-M-V	-0.130329048
ERK2-R-E	0.379494822
ETS-1-R-V	0.625564804
FASN-R-V	-0.913507922
Fibronectin-R-V	0.310435702
FoxM1-R-V	0.586201128
FOXO3a-R-C	-0.052145127
FOXO3a_pS318_S321-R-C	-0.0370587299999998
G6PD-M-V	-0.364889809
GAB2-R-V	0.148205959
GAPDH-M-C	-0.2400629
GATA3-M-V	1.628716572
GSK3-alpha-beta-M-V	-0.0578516099999999
GSK3-alpha-beta_pS21_S9-R-V	-0.23854944
GSK3_pS9-R-V	-0.0781181119999999
HER2-M-V	0.918140318
HER2_pY1248-R-C	0.138681845
HER3-R-V	-0.210416422
HER3_pY1289-R-C	0.197310306
Heregulin-R-V	-0.000311175999999858
HSP70-R-C	0.484338286
IGFBP2-R-V	1.563269669
INPP4B-R-V	-0.186546536
IRS1-R-V	0.253470944
JNK_pT183_pY185-R-V	-0.0843876519999998
JNK2-R-C	0.204066083
Ku80-R-C	0.369991739
Lck-R-V	-0.353965959
