Sample REF	58DA0BF4-6F81-404C-B348-29BDA4104BAE
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.238459338
14-3-3_epsilon-M-C	-0.0875026650000001
14-3-3_zeta-R-V	-0.173831683
4E-BP1-R-V	-0.101310521
4E-BP1_pS65-R-V	-0.00218447800000016
4E-BP1_pT37_T46-R-V	0.647111826
4E-BP1_pT70-R-V	-0.171054644
53BP1-R-E	0.20207811
A-Raf_pS299-R-C	-0.0435979400000002
ACC_pS79-R-V	0.314307761
ACC1-R-E	-0.138976591
Acetyl-a-Tubulin-Lys40-R-C	-0.241353555
ACVRL1-R-C	-0.137606264
ADAR1-M-V	0.00955365499999983
Akt-R-V	0.151288841
Akt_pS473-R-V	0.810383052
Akt_pT308-R-V	0.498493494
alpha-Catenin-M-V	-0.0975472580000001
AMPK_alpha-R-C	-0.072104978
AMPK_pT172-R-V	0.204076272
Annexin-1-M-E	0.530859613
Annexin_VII-M-V	0.00811604999999971
AR-R-V	-0.0908047230000002
DIRAS3-M-E	-0.233971925
ASNS-R-V	-0.114498785
ATM-R-E	-0.354651491
B-Raf-M-C	0.203886382
Bad_pS112-R-V	0.331127453
Bak-R-C	0.0765859579999999
Bap1-c-4-M-E	1.090354725
Bax-R-V	-0.265208262
Bcl-2-M-V	0.532994667
Bcl-xL-R-V	0.18416232
Beclin-G-C	-0.122981084
beta-Catenin-R-V	0.985602622
Bid-R-C	-0.259210004
Bim-R-V	0.0214246019999998
BRCA2-R-C	-0.165514526
c-Jun_pS73-R-V	0.470168153
c-Kit-R-V	-0.191220432
c-Met-M-E	0.0527611259999996
c-Met_pY1235-R-V	-0.0736559850000001
c-Myc-R-C	0.0648808639999998
C-Raf-R-V	0.154401749
C-Raf_pS338-R-V	0.171597375
Caspase-7_cleavedD198-R-C	1.119846195
Caspase-8-M-E	0
Caveolin-1-R-V	-1.632145392
CD20-R-C	0.0595122839999999
CD31-M-V	-0.15377572
CD49b-M-V	-0.435709806
CDK1-R-V	-0.00731271100000042
Chk1-M-C	0.455426548
Chk1_pS345-R-C	0.258753707
Chk2-M-E	0.250446423
Chk2_pT68-R-C	-2.67600000014578e-06
cIAP-R-V	-0.0448309780000001
Claudin-7-R-V	1.606570083
Collagen_VI-R-V	-0.393364569
Cyclin_B1-R-V	-0.262657321
Cyclin_D1-R-V	-0.333975251
Cyclin_E1-M-V	0.105172106
Cyclin_E2-R-C	0.0853862169999999
DJ-1-R-E	-0.611026804
Dvl3-R-V	0.424676034
E-Cadherin-R-V	1.32257701
eEF2-R-C	-0.0899032500000002
eEF2K-R-V	0.497093645
EGFR-R-V	-0.237246756
EGFR_pY1068-R-C	0.671899586
EGFR_pY1173-R-V	-0.0918857430000002
eIF4E-R-V	0.0278726689999999
eIF4G-R-C	0.997872944
ER-alpha-R-V	0.136813401
ER-alpha_pS118-R-V	0.101036151
ERCC1-M-V	-0.0899593160000001
ERK2-R-E	-0.158608447
ETS-1-R-V	-0.0780000780000001
FASN-R-V	0.15134469
Fibronectin-R-V	-0.673611167
FoxM1-R-V	0.48703928
FOXO3a-R-C	-0.0572465140000005
FOXO3a_pS318_S321-R-C	0.19678477
G6PD-M-V	0.157007426
GAB2-R-V	0.342440412
GAPDH-M-C	-0.457125971
GATA3-M-V	-0.124713083
GSK3-alpha-beta-M-V	0.00240325299999977
GSK3-alpha-beta_pS21_S9-R-V	0.117455881
GSK3_pS9-R-V	0.31773572
HER2-M-V	0.697120705
HER2_pY1248-R-C	0.580143633
HER3-R-V	0.545801003
HER3_pY1289-R-C	0.155188748
Heregulin-R-V	0.159079528
HSP70-R-C	-0.39723075
IGFBP2-R-V	1.282214704
INPP4B-R-V	-0.339071013
