Sample REF	5BF84867-52E7-4E3A-9B13-944FA8E8EAC4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.112386016
14-3-3_epsilon-M-C	-0.074740227
14-3-3_zeta-R-V	-0.126128008
4E-BP1-R-V	0.0985553739999999
4E-BP1_pS65-R-V	-0.131985734
4E-BP1_pT37_T46-R-V	-0.621125806
4E-BP1_pT70-R-V	-0.100317728
53BP1-R-E	0.411149467
A-Raf_pS299-R-C	-0.017947974
ACC_pS79-R-V	0.40045241
ACC1-R-E	0.236477041
Acetyl-a-Tubulin-Lys40-R-C	0.384925892
ACVRL1-R-C	-0.0533238500000001
ADAR1-M-V	-0.029653656
Akt-R-V	0.279803616
Akt_pS473-R-V	-0.687114455
Akt_pT308-R-V	-0.509111088
alpha-Catenin-M-V	0.091530831
AMPK_alpha-R-C	0.078212741
AMPK_pT172-R-V	0.65800402
Annexin-1-M-E	1.271532959
Annexin_VII-M-V	-0.302342746
AR-R-V	-0.020403996
DIRAS3-M-E	0.036338416
ASNS-R-V	-0.426830819
ATM-R-E	0.420120655
B-Raf-M-C	0.340829143
Bad_pS112-R-V	-0.194929304
Bak-R-C	0.302320784
Bap1-c-4-M-E	0.363914333
Bax-R-V	0.248283223
Bcl-2-M-V	-0.422954685
Bcl-xL-R-V	0.0654070289999999
Beclin-G-C	-0.164357135
beta-Catenin-R-V	0.539830712
Bid-R-C	0.010792924
Bim-R-V	0.569858585
BRCA2-R-C	-0.132826875
c-Jun_pS73-R-V	-0.292970591
c-Kit-R-V	-0.061512005
c-Met-M-E	-0.0649213640000001
c-Met_pY1235-R-V	0.065805598
c-Myc-R-C	-0.326359792
C-Raf-R-V	0.189296937
C-Raf_pS338-R-V	-0.013274904
Caspase-7_cleavedD198-R-C	0.538287989
Caspase-8-M-E	0.00421226600000013
Caveolin-1-R-V	-0.153932385
CD20-R-C	0.041230349
CD31-M-V	-0.19962039
CD49b-M-V	0.124384841
CDK1-R-V	-0.196680286
Chk1-M-C	0.348499087
Chk1_pS345-R-C	-0.0939218060000001
Chk2-M-E	-0.511710911
Chk2_pT68-R-C	-0.107124436
cIAP-R-V	0.196761849
Claudin-7-R-V	1.41186997
Collagen_VI-R-V	-0.276842441
Cyclin_B1-R-V	0.436109689
Cyclin_D1-R-V	-0.0113999149999999
Cyclin_E1-M-V	0.0460155359999999
Cyclin_E2-R-C	0.148656886
DJ-1-R-E	-0.067723325
Dvl3-R-V	0.36313327
E-Cadherin-R-V	0.975349276
eEF2-R-C	0.236359292
eEF2K-R-V	0.767452995
EGFR-R-V	0.649478174
EGFR_pY1068-R-C	-0.268632455
EGFR_pY1173-R-V	-0.021594238
eIF4E-R-V	-0.023758653
eIF4G-R-C	0.551665356
ER-alpha-R-V	0.114524139
ER-alpha_pS118-R-V	-0.012149848
ERCC1-M-V	0.355046665
ERK2-R-E	-0.035557847
ETS-1-R-V	0.0354781040000001
FASN-R-V	-0.0965209619999999
Fibronectin-R-V	1.025508713
FoxM1-R-V	0.405615357
FOXO3a-R-C	-0.0626399320000002
FOXO3a_pS318_S321-R-C	-0.095547994
G6PD-M-V	-0.182720273
GAB2-R-V	-0.103900625
GAPDH-M-C	0.234295988
GATA3-M-V	-0.0841989840000001
GSK3-alpha-beta-M-V	0.129073324
GSK3-alpha-beta_pS21_S9-R-V	-0.404238301
GSK3_pS9-R-V	-0.827426169
HER2-M-V	0.419059377
HER2_pY1248-R-C	0.204563364
HER3-R-V	0.683130989
HER3_pY1289-R-C	0.243949654
Heregulin-R-V	-0.017795867
HSP70-R-C	-0.263043616
IGFBP2-R-V	0.681654572
INPP4B-R-V	0.0520136600000001
IRS1-R-V	0.0662671419999999
