Sample REF	5D8CB763-CC51-417E-B960-560E5C59938A
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.056863216
14-3-3_epsilon-M-C	0.0468404100000001
14-3-3_zeta-R-V	-0.181716623
4E-BP1-R-V	-0.222819204
4E-BP1_pS65-R-V	0.161141879
4E-BP1_pT37_T46-R-V	-0.025001214
4E-BP1_pT70-R-V	0.216273381
53BP1-R-E	0.08627989
A-Raf_pS299-R-C	-0.228716284
ACC_pS79-R-V	0.290437951
ACC1-R-E	-0.0123030070000001
Acetyl-a-Tubulin-Lys40-R-C	0.732619339
ACVRL1-R-C	0.108219833
ADAR1-M-V	0.024678997
Akt-R-V	0.180007655
Akt_pS473-R-V	-0.393328383
Akt_pT308-R-V	-0.386634692
alpha-Catenin-M-V	-0.0172877600000001
AMPK_alpha-R-C	0.002324137
AMPK_pT172-R-V	-0.255140736
Annexin-1-M-E	-0.224300027
Annexin_VII-M-V	-0.0649930060000001
AR-R-V	0.134322087
DIRAS3-M-E	0.104368452
ASNS-R-V	-0.28348394
ATM-R-E	0.740956409
B-Raf-M-C	-0.159204753
Bad_pS112-R-V	0.24041147
Bak-R-C	0.148284063
Bap1-c-4-M-E	-0.055794691
Bax-R-V	-0.0256655649999999
Bcl-2-M-V	-0.126432667
Bcl-xL-R-V	-0.058162409
Beclin-G-C	0.101493972
beta-Catenin-R-V	0.273965188
Bid-R-C	-0.00504859599999996
Bim-R-V	-0.462169332
BRCA2-R-C	-0.0382644120000002
c-Jun_pS73-R-V	-0.225439405
c-Kit-R-V	-0.0399720189999999
c-Met-M-E	0.141133237
c-Met_pY1235-R-V	0.0530386439999999
c-Myc-R-C	0.230268675
C-Raf-R-V	-0.069214301
C-Raf_pS338-R-V	-0.0300400830000001
Caspase-7_cleavedD198-R-C	1.715488474
Caspase-8-M-E	0.466582421
Caveolin-1-R-V	0.145461141
CD20-R-C	0.115075497
CD31-M-V	0.0349461129999999
CD49b-M-V	0
CDK1-R-V	-0.294999817
Chk1-M-C	0.168626952
Chk1_pS345-R-C	0.0739785439999999
Chk2-M-E	-0.267336694
Chk2_pT68-R-C	0.026453131
cIAP-R-V	0.140158346
Claudin-7-R-V	-0.187968706
Collagen_VI-R-V	-0.165891166
Cyclin_B1-R-V	-0.480353608
Cyclin_D1-R-V	-0.176853002
Cyclin_E1-M-V	-0.426081338
Cyclin_E2-R-C	-0.0947328
DJ-1-R-E	0.061183503
Dvl3-R-V	0.102655956
E-Cadherin-R-V	-0.0104369029999999
eEF2-R-C	-0.163227851
eEF2K-R-V	0.279320041
EGFR-R-V	-0.035700595
EGFR_pY1068-R-C	-0.373856496
EGFR_pY1173-R-V	0.038322541
eIF4E-R-V	-0.346510424
eIF4G-R-C	0.23046626
ER-alpha-R-V	1.580298579
ER-alpha_pS118-R-V	0.25238866
ERCC1-M-V	0.249483251
ERK2-R-E	0.019753442
ETS-1-R-V	0.253652038
FASN-R-V	0.294924932
Fibronectin-R-V	0.379241324
FoxM1-R-V	-0.04930338
FOXO3a-R-C	0.0339758959999998
FOXO3a_pS318_S321-R-C	0.136155105
G6PD-M-V	0.0515195029999997
GAB2-R-V	0.107759366
GAPDH-M-C	0.180798491
GATA3-M-V	0.607283952
GSK3-alpha-beta-M-V	-0.119471166
GSK3-alpha-beta_pS21_S9-R-V	-0.340345422
GSK3_pS9-R-V	-0.457855079
HER2-M-V	0.028138664
HER2_pY1248-R-C	-0.150275181
HER3-R-V	-0.503139963
HER3_pY1289-R-C	0.210877674
Heregulin-R-V	0.42050474
HSP70-R-C	0.016640329
IGFBP2-R-V	-0.311244208
INPP4B-R-V	0.0218091120000001
IRS1-R-V	0.235398462
JNK_pT183_pY185-R-V	-0.103004948
JNK2-R-C	-0.252937567
Ku80-R-C	0.257044249
Lck-R-V	0.508078866
LKB1-M-E	-0.040218877
MAPK_pT202_Y204-R-V	-0.480516817
MEK1-R-V	-1.249608746
MEK1_pS217_S221-R-V	-0.025540721
MIG-6-M-V	0.085067498
Mre11-R-C	0.04140973
MSH2-M-V	0.0689838329999997
MSH6-R-C	-0.273671702
mTOR-R-V	0.307234138
mTOR_pS2448-R-C	0.0355848070000001
MYH11-R-V	-2.01901659
Myosin-IIa_pS1943-R-V	-0.061558414
N-Cadherin-R-V	0.191107928
N-Ras-M-V	0.00577494099999998
NDRG1_pT346-R-V	-1.106373587
NF-kB-p65_pS536-R-C	-0.559925138
NF2-R-C	-0.00563455400000001
Notch1-R-V	-0.0145309730000001
P-Cadherin-R-C	0.0978305739999998
p21-R-V	-0.868077187
p27-R-V	-0.224800276
p27_pT157-R-C	-0.000749133999999985
p27_pT198-R-V	0.031524164
p38_MAPK-R-V	0.114294899
p38_pT180_Y182-R-V	0.0960454000000001
p53-R-E	0.0696469190000004
p62-LCK-ligand-M-C	-0.174529707
p70S6K-R-V	-0.221349344
p70S6K_pT389-R-V	-0.178193633
p90RSK-R-C	-0.057487037
p90RSK_pT359_S363-R-C	-0.29371123
PAI-1-M-E	0.750226653
PARP_cleaved-M-E	-0.027847057
Paxillin-R-C	0.460191182
PCNA-M-C	-0.169094482
PDCD4-R-C	0.297954151
PDK1-R-V	-0.027370146
PDK1_pS241-R-V	-0.017976978
PEA15-R-V	0.642464816
PEA15_pS116-R-V	0.246333897
PI3K-p110-alpha-R-C	-0.232273507
PI3K-p85-R-V	0.278626679
PKC-alpha-M-V	-0.223766898
PKC-alpha_pS657-R-C	-0.0599707660000001
PKC-delta_pS664-R-V	0.133409219
PKC-pan_BetaII_pS660-R-V	0.253899925
PR-R-V	0.204146814
PRAS40_pT246-R-V	-0.0744184809999999
PRDX1-R-V	0.253203326
PREX1-R-E	0.633460907
PTEN-R-V	0.246552484
Rab11-R-E	-0.165638378
Rab25-R-V	-0.522572724
Rad50-M-V	-0.0430473099999999
Rad51-R-V	-0.043123783
Raptor-R-V	0.143864282
Rb-M-E	0.0634239599999999
Rb_pS807_S811-R-V	-0.037907044
RBM15-R-V	0.198736708
Rictor-R-C	-0.114287259
Rictor_pT1135-R-V	-0.080838582
S6-R-E	0.205533241
S6_pS235_S236-R-V	-0.602455617
S6_pS240_S244-R-V	-0.164837716
SCD-M-V	0.108748173
SETD2-R-E	0.00460107400000009
SF2-M-V	0.466365034
Shc_pY317-R-E	-0.043531593
Smac-M-E	-0.440154239
Smad1-R-V	-0.193017166
Smad3-R-V	-0.00466303499999998
Smad4-M-V	-0.0294823200000001
Snail-M-E	0.752707689
Src-M-V	-0.112515955
Src_pY416-R-C	-0.61470863
Src_pY527-R-V	-0.448173076
STAT3_pY705-R-V	0.510288329
STAT5-alpha-R-V	0.576104189
Stathmin-R-V	-0.015085993
Syk-M-V	-0.30741765
TAZ-R-V	0.18946636
TIGAR-R-V	0.125601815
Transglutaminase-M-V	1.759624707
TFRC-R-V	-1.018428586
TSC1-R-C	0.322019939
TTF1-R-V	0.0599778270000001
Tuberin-R-E	0.03323486
Tuberin_pT1462-R-V	-0.261171877
VEGFR2-R-V	0.787309925
EPPK1-M-E	-0.405367513
XBP1-G-C	0.0993761949999998
XRCC1-R-E	-0.234990296
YAP-R-E	0.082515444
YAP_pS127-R-E	0.698139088
YB-1-R-V	-0.034595506
YB-1_pS102-R-V	-0.032762347
JAB1-M-C	0.023293292
PARP1-R-V	-0.319284328
A-Raf-R-V	-0.18418086
ARID1A-R-C	-0.042281012
B-Raf_pS445-R-V	-0.240134307
Bcl2A1-R-V	0.065114778
BRD4-R-V	-0.121212842
