Sample REF	62C8376A-9A66-4499-A4E3-E7C0102B5EB4
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.180440134
14-3-3_epsilon-M-C	0.10390619
14-3-3_zeta-R-V	0.16403632
4E-BP1-R-V	0.287224328
4E-BP1_pS65-R-V	-0.130124074
4E-BP1_pT37_T46-R-V	-0.233158951
4E-BP1_pT70-R-V	0.044853514
53BP1-R-E	-0.41021981
A-Raf_pS299-R-C	0.00415744399999995
ACC_pS79-R-V	0.031885157
ACC1-R-E	-0.348495017
Acetyl-a-Tubulin-Lys40-R-C	1.202049052
ACVRL1-R-C	0.285575527
ADAR1-M-V	0.211255714
Akt-R-V	-0.48639084
Akt_pS473-R-V	0.626919492
Akt_pT308-R-V	0.221204018
alpha-Catenin-M-V	0.561812962
AMPK_alpha-R-C	-0.430566237
AMPK_pT172-R-V	-0.0169527850000001
Annexin-1-M-E	0.40675792
Annexin_VII-M-V	-0.0556090310000001
AR-R-V	-0.0833552240000001
DIRAS3-M-E	0.107327849
ASNS-R-V	0.998447328
ATM-R-E	-0.754166672
B-Raf-M-C	0.135539669
Bad_pS112-R-V	-0.26301257
Bak-R-C	0.204944059
Bap1-c-4-M-E	0.439560545
Bax-R-V	-0.552424112
Bcl-2-M-V	0.468021045
Bcl-xL-R-V	0.024700216
Beclin-G-C	0.495234501
beta-Catenin-R-V	-0.0997298660000001
Bid-R-C	-0.359442065
Bim-R-V	-0.0653968010000001
BRCA2-R-C	0.496644747
c-Jun_pS73-R-V	0.312736873
c-Kit-R-V	-0.0582638420000001
c-Met-M-E	0.709801924
c-Met_pY1235-R-V	0.129566293
c-Myc-R-C	0.0959635150000001
C-Raf-R-V	0.284645756
C-Raf_pS338-R-V	-0.0229098700000001
Caspase-7_cleavedD198-R-C	-0.723169913
Caspase-8-M-E	-0.068459148
Caveolin-1-R-V	-1.29300635
CD20-R-C	0.235621333
CD31-M-V	0.755218398
CD49b-M-V	0.404130484
CDK1-R-V	0.51901447
Chk1-M-C	0.0527410069999999
Chk1_pS345-R-C	0.0573223299999999
Chk2-M-E	0.242008224
Chk2_pT68-R-C	0.011288884
cIAP-R-V	-0.092000315
Claudin-7-R-V	-0.326165086
Collagen_VI-R-V	-0.312339887
Cyclin_B1-R-V	-0.011895126
Cyclin_D1-R-V	-0.156725315
Cyclin_E1-M-V	0.248981936
Cyclin_E2-R-C	0.033464176
DJ-1-R-E	-0.223897756
Dvl3-R-V	0.290429458
E-Cadherin-R-V	-0.333168944
eEF2-R-C	0.14867832
eEF2K-R-V	0.42164664
EGFR-R-V	0.191683236
EGFR_pY1068-R-C	0.552397889
EGFR_pY1173-R-V	-0.119558731
eIF4E-R-V	-0.081631396
eIF4G-R-C	0.936184284
ER-alpha-R-V	-0.191799114
ER-alpha_pS118-R-V	0.024411634
ERCC1-M-V	0.361886113
ERK2-R-E	-0.329653357
ETS-1-R-V	0.0673276999999999
FASN-R-V	0.67847523
Fibronectin-R-V	0.947408217
FoxM1-R-V	0.307300982
FOXO3a-R-C	1.122798839
FOXO3a_pS318_S321-R-C	0.109512493
G6PD-M-V	1.084384114
GAB2-R-V	0.0588108649999999
GAPDH-M-C	-0.234083026
GATA3-M-V	0.589135174
GSK3-alpha-beta-M-V	-0.0288860280000001
GSK3-alpha-beta_pS21_S9-R-V	-0.598087111
GSK3_pS9-R-V	-0.422432237
HER2-M-V	-0.432245903
HER2_pY1248-R-C	-0.184031417
HER3-R-V	-0.040737016
HER3_pY1289-R-C	-0.0989293390000001
Heregulin-R-V	0.590104537
HSP70-R-C	0.049160796
IGFBP2-R-V	0.95121226
INPP4B-R-V	0.545020879
IRS1-R-V	0.227441056
JNK_pT183_pY185-R-V	0.274588329
JNK2-R-C	0.080678152
Ku80-R-C	0.195885271
Lck-R-V	-0.647857989
LKB1-M-E	0.070493961
MAPK_pT202_Y204-R-V	0.0643665689999999
MEK1-R-V	-0.316283723
MEK1_pS217_S221-R-V	-0.069317798
MIG-6-M-V	0.00212592299999997
Mre11-R-C	0.073167889
MSH2-M-V	0.767146326
MSH6-R-C	-0.163734342
mTOR-R-V	-0.572751909
mTOR_pS2448-R-C	-0.0925534489999999
MYH11-R-V	-0.634904673
Myosin-IIa_pS1943-R-V	0.096007384
N-Cadherin-R-V	0
N-Ras-M-V	0.093874284
NDRG1_pT346-R-V	0.412786728
NF-kB-p65_pS536-R-C	-0.17019049
NF2-R-C	-0.035004402
Notch1-R-V	0.330824701
P-Cadherin-R-C	0.503211265
p21-R-V	-0.995206823
p27-R-V	-0.0932215800000001
p27_pT157-R-C	-0.237344375
p27_pT198-R-V	0.187847282
p38_MAPK-R-V	-0.00410908500000001
p38_pT180_Y182-R-V	-0.754500512
p53-R-E	1.059541239
p62-LCK-ligand-M-C	1.355369966
p70S6K-R-V	-0.0509031600000001
p70S6K_pT389-R-V	0.298747924
p90RSK-R-C	-0.449279054
p90RSK_pT359_S363-R-C	0.067940928
PAI-1-M-E	0.0640850539999999
PARP_cleaved-M-E	0.415137164
Paxillin-R-C	-0.115059658
PCNA-M-C	-0.200631083
PDCD4-R-C	-0.893151877
PDK1-R-V	-0.270221632
PDK1_pS241-R-V	-0.335773542
PEA15-R-V	-0.371633635
PEA15_pS116-R-V	-0.251314789
PI3K-p110-alpha-R-C	0.172896904
PI3K-p85-R-V	0.011966647
PKC-alpha-M-V	0.040079807
PKC-alpha_pS657-R-C	-0.0158488110000001
PKC-delta_pS664-R-V	0.417418059
PKC-pan_BetaII_pS660-R-V	-0.470448275
PR-R-V	0.391974472
PRAS40_pT246-R-V	-0.019487513
PRDX1-R-V	0.530741076
PREX1-R-E	-0.065824601
PTEN-R-V	-0.463806324
Rab11-R-E	-0.229889691
Rab25-R-V	-0.13813854
Rad50-M-V	-0.200546129
Rad51-R-V	0.465035474
Raptor-R-V	-0.079920652
Rb-M-E	0.112901309
Rb_pS807_S811-R-V	0.314877858
RBM15-R-V	-0.159090046
Rictor-R-C	-0.291623664
Rictor_pT1135-R-V	-0.255364429
S6-R-E	-0.150037891
S6_pS235_S236-R-V	0.109123636
S6_pS240_S244-R-V	0.328288848
SCD-M-V	0.240688643
SETD2-R-E	0.26304076
SF2-M-V	0.438864994
Shc_pY317-R-E	0.555081175
Smac-M-E	-0.430224623
Smad1-R-V	-0.135873212
Smad3-R-V	-0.16934854
Smad4-M-V	0.406905403
Snail-M-E	0.608415468
Src-M-V	-0.144180034
Src_pY416-R-C	0.482563258
Src_pY527-R-V	-0.433540598
STAT3_pY705-R-V	-0.42755565
STAT5-alpha-R-V	-0.768583737
Stathmin-R-V	-0.192712397
Syk-M-V	-0.415210622
TAZ-R-V	0.032470176
TIGAR-R-V	-0.196630308
Transglutaminase-M-V	-0.468440029
TFRC-R-V	1.084242209
TSC1-R-C	-0.401385432
TTF1-R-V	0.284181976
Tuberin-R-E	-0.201802195
Tuberin_pT1462-R-V	0.225127764
VEGFR2-R-V	-0.301756954
EPPK1-M-E	0.631839783
XBP1-G-C	0.714371442
XRCC1-R-E	-0.151629765
YAP-R-E	0.107220327
YAP_pS127-R-E	-0.320200039
YB-1-R-V	-0.00583996500000006
YB-1_pS102-R-V	-0.00811853000000001
JAB1-M-C	0.878838467
PARP1-R-V	-0.0525861540000001
A-Raf-R-V	-0.527238229
ARID1A-R-C	-0.450374807
B-Raf_pS445-R-V	-0.162826082
Bcl2A1-R-V	-0.211930152
BRD4-R-V	-0.43909364
c-Abl-R-V	-0.322776549
Caspase-3-R-C	-0.02230416
CD26-R-V	-0.247774796
Chk1_pS296-R-V	-0.270789903
COG3-R-V	-0.115620718
DUSP4-R-V	0.425652823
ERCC5-R-C	-0.672786021
IGF1R_pY1135_Y1136-R-V	-0.168191598
IRF-1-R-C	-0.427275926
Jak2-R-V	-0.374879709
p16_INK4a-R-V	-0.893885507
SHP-2_pY542-R-C	0.0658304190000001
CDK1_pY15-R-C	0.0204329039999999
