Sample REF	6424B36F-37F0-4816-8964-D1DB61A06F63
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.148802978
14-3-3_epsilon-M-C	-0.302565514
14-3-3_zeta-R-V	0.30172623
4E-BP1-R-V	0.318403004
4E-BP1_pS65-R-V	0.044481031
4E-BP1_pT37_T46-R-V	0.978444543
4E-BP1_pT70-R-V	0.153031334
53BP1-R-E	1.03072347
A-Raf_pS299-R-C	-0.307054158
ACC_pS79-R-V	0.033052718
ACC1-R-E	0.257168644
Acetyl-a-Tubulin-Lys40-R-C	-0.129137653
ACVRL1-R-C	-0.362555561
ADAR1-M-V	-0.11418909
Akt-R-V	0.672864715
Akt_pS473-R-V	0.635552687
Akt_pT308-R-V	0.2218496
alpha-Catenin-M-V	-0.151666947
AMPK_alpha-R-C	0.455254377
AMPK_pT172-R-V	0.558565434
Annexin-1-M-E	-1.126168282
Annexin_VII-M-V	-0.29456553
AR-R-V	0.241573132
DIRAS3-M-E	-0.338221276
ASNS-R-V	0.299520411
ATM-R-E	1.079794853
B-Raf-M-C	1.153588078
Bad_pS112-R-V	-0.11917437
Bak-R-C	-0.312617359
Bap1-c-4-M-E	0.115872694
Bax-R-V	0.364328893
Bcl-2-M-V	-0.152742061
Bcl-xL-R-V	0.051907973
Beclin-G-C	-0.0495254390000001
beta-Catenin-R-V	0.47705873
Bid-R-C	-0.066331149
Bim-R-V	0.311529524
BRCA2-R-C	-0.367861751
c-Jun_pS73-R-V	-0.115783922
c-Kit-R-V	-0.220177292
c-Met-M-E	-0.649268386
c-Met_pY1235-R-V	-0.261479091
c-Myc-R-C	-0.424207845
C-Raf-R-V	0.341717389
C-Raf_pS338-R-V	0.0963759919999999
Caspase-7_cleavedD198-R-C	-0.505926524
Caspase-8-M-E	-0.256073397
Caveolin-1-R-V	-0.152742061
CD20-R-C	-0.333841694
CD31-M-V	-0.54704089
CD49b-M-V	-1.105202107
CDK1-R-V	0.143097094
Chk1-M-C	0.495968325
Chk1_pS345-R-C	-0.128205633
Chk2-M-E	0.740763638
Chk2_pT68-R-C	-0.024518042
cIAP-R-V	-0.196662904
Claudin-7-R-V	0.371685258
Collagen_VI-R-V	-0.266825583
Cyclin_B1-R-V	0.29436657
Cyclin_D1-R-V	-0.32089954
Cyclin_E1-M-V	0.459151652
Cyclin_E2-R-C	0.187164626
DJ-1-R-E	-0.329398407
Dvl3-R-V	-0.56737407
E-Cadherin-R-V	1.074038072
eEF2-R-C	-0.2206278
eEF2K-R-V	-0.0654304889999999
EGFR-R-V	-0.70037183
EGFR_pY1068-R-C	0.0268406520000002
EGFR_pY1173-R-V	-0.188590096
eIF4E-R-V	-0.039225612
eIF4G-R-C	0.111173293
ER-alpha-R-V	0.242345864
ER-alpha_pS118-R-V	-0.0899631970000001
ERCC1-M-V	0.324517626
ERK2-R-E	0.084640429
ETS-1-R-V	-0.209821212
FASN-R-V	0.883870931
Fibronectin-R-V	-0.777863705
FoxM1-R-V	0.391673109
FOXO3a-R-C	-0.506966843
FOXO3a_pS318_S321-R-C	-0.0764854720000001
G6PD-M-V	-0.578472023
GAB2-R-V	1.503188381
GAPDH-M-C	-0.107084844
GATA3-M-V	0.858939536
GSK3-alpha-beta-M-V	0.14549306
GSK3-alpha-beta_pS21_S9-R-V	0.51764337
GSK3_pS9-R-V	0.608256761
HER2-M-V	1.01450197
HER2_pY1248-R-C	0.58167631
HER3-R-V	0.456053656
HER3_pY1289-R-C	0.291912832
Heregulin-R-V	-0.32904676
HSP70-R-C	-0.475002675
IGFBP2-R-V	0.621793116
INPP4B-R-V	0.0513422070000003
IRS1-R-V	-0.34473741
JNK_pT183_pY185-R-V	-0.272992268
JNK2-R-C	0.018587285
Ku80-R-C	0.643760273
Lck-R-V	-0.013891378
LKB1-M-E	-0.303975612
MAPK_pT202_Y204-R-V	1.186962117
MEK1-R-V	0.172219336
MEK1_pS217_S221-R-V	-0.085539972
MIG-6-M-V	-0.113471279
Mre11-R-C	-0.179129618
MSH2-M-V	0.343691424
MSH6-R-C	0.591456225
mTOR-R-V	0.355292664
mTOR_pS2448-R-C	0.138747069
MYH11-R-V	-2.195467329
Myosin-IIa_pS1943-R-V	-0.345153276
N-Cadherin-R-V	-0.537393376
N-Ras-M-V	-0.464835602
NDRG1_pT346-R-V	-0.504045685
NF-kB-p65_pS536-R-C	-0.0397799
NF2-R-C	0.337564545
Notch1-R-V	-0.269078129
P-Cadherin-R-C	-0.196234669
p21-R-V	0.039423614
p27-R-V	0.022953058
p27_pT157-R-C	-0.212680747
p27_pT198-R-V	-0.0123080090000001
p38_MAPK-R-V	0
p38_pT180_Y182-R-V	0.463765305
p53-R-E	-0.440011036
p62-LCK-ligand-M-C	-0.789146805
p70S6K-R-V	0.311241087
p70S6K_pT389-R-V	0.037613398
p90RSK-R-C	-0.371616654
p90RSK_pT359_S363-R-C	-0.188581807
PAI-1-M-E	-0.747709444
PARP_cleaved-M-E	-0.410838866
Paxillin-R-C	0.317238107
PCNA-M-C	0.444213184
PDCD4-R-C	0.87657928
PDK1-R-V	0.129110596
PDK1_pS241-R-V	0.28282918
PEA15-R-V	-0.106135256
PEA15_pS116-R-V	0.115055162
PI3K-p110-alpha-R-C	-0.193661447
PI3K-p85-R-V	0.103470897
PKC-alpha-M-V	0.094320223
PKC-alpha_pS657-R-C	0.149967562
PKC-delta_pS664-R-V	-0.144068847
PKC-pan_BetaII_pS660-R-V	0.404922086
PR-R-V	-0.356507379
