Sample REF	655D5978-8AF4-42DB-9ADB-801D8ACEDFB8
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.062026531
14-3-3_epsilon-M-C	0.269118053
14-3-3_zeta-R-V	-0.278323143
4E-BP1-R-V	-0.248851767
4E-BP1_pS65-R-V	0.0421284199999999
4E-BP1_pT37_T46-R-V	0.101419737
4E-BP1_pT70-R-V	-0.0256111430000001
53BP1-R-E	-0.101088773
A-Raf_pS299-R-C	0.039780896
ACC_pS79-R-V	-0.142046966
ACC1-R-E	-0.466345248
Acetyl-a-Tubulin-Lys40-R-C	0.00802697199999991
ACVRL1-R-C	-0.033970024
ADAR1-M-V	0.110618994
Akt-R-V	0.122342451
Akt_pS473-R-V	0.220851677
Akt_pT308-R-V	0.291680971
alpha-Catenin-M-V	-0.0304423170000001
AMPK_alpha-R-C	-0.102283013
AMPK_pT172-R-V	-0.149132843
Annexin-1-M-E	-0.563275171
Annexin_VII-M-V	0.0659811769999998
AR-R-V	0.0995503259999999
DIRAS3-M-E	-0.0348633130000001
ASNS-R-V	-0.225450439
ATM-R-E	0.808558675
B-Raf-M-C	0.0250496069999999
Bad_pS112-R-V	0.269958642
Bak-R-C	0.269481498
Bap1-c-4-M-E	0.173232126
Bax-R-V	-0.0541225810000001
Bcl-2-M-V	0.235686861
Bcl-xL-R-V	0.0143235779999999
Beclin-G-C	0.150753701
beta-Catenin-R-V	-0.879699538
Bid-R-C	-0.099794083
Bim-R-V	-0.046834091
BRCA2-R-C	-0.09969494
c-Jun_pS73-R-V	0.0987921499999997
c-Kit-R-V	-0.132183828
c-Met-M-E	-0.000697083000000154
c-Met_pY1235-R-V	0.0211554239999998
c-Myc-R-C	-0.0275075850000001
C-Raf-R-V	0.211568489
C-Raf_pS338-R-V	-0.0688720080000001
Caspase-7_cleavedD198-R-C	1.774661957
Caspase-8-M-E	0.064416853
Caveolin-1-R-V	-0.769008827
CD20-R-C	0.0846125119999999
CD31-M-V	0.230831631
CD49b-M-V	-0.466866634
CDK1-R-V	-0.021487394
Chk1-M-C	-0.0575775500000002
Chk1_pS345-R-C	0.181585078
Chk2-M-E	-0.194734882
Chk2_pT68-R-C	-0.027892389
cIAP-R-V	0.077165701
Claudin-7-R-V	-0.436245272
Collagen_VI-R-V	-0.0906175290000001
Cyclin_B1-R-V	-0.359528213
Cyclin_D1-R-V	-0.045879819
Cyclin_E1-M-V	0.256820988
Cyclin_E2-R-C	-0.036127074
DJ-1-R-E	-0.0294820350000001
Dvl3-R-V	-0.0543825090000001
E-Cadherin-R-V	-0.0684041780000001
eEF2-R-C	0.0202406639999999
eEF2K-R-V	0.081388751
EGFR-R-V	-0.00245333700000017
EGFR_pY1068-R-C	-0.203632253
EGFR_pY1173-R-V	-0.0514509490000001
eIF4E-R-V	-0.368192845
eIF4G-R-C	-0.00567599600000013
ER-alpha-R-V	0.150416605
ER-alpha_pS118-R-V	0.087242775
ERCC1-M-V	0.264542696
ERK2-R-E	0.0233948089999999
ETS-1-R-V	0.199809684
FASN-R-V	-0.68874526
Fibronectin-R-V	-0.516594326
FoxM1-R-V	-0.0160768529999999
FOXO3a-R-C	0.250902497
FOXO3a_pS318_S321-R-C	-0.00869176800000004
G6PD-M-V	0.69082344
GAB2-R-V	0.896463271
GAPDH-M-C	-0.119315358
GATA3-M-V	0.391372547
GSK3-alpha-beta-M-V	-0.12576426
GSK3-alpha-beta_pS21_S9-R-V	0.432046014
GSK3_pS9-R-V	0.417635204
HER2-M-V	-0.109870545
HER2_pY1248-R-C	-0.099446719
HER3-R-V	-0.053139794
HER3_pY1289-R-C	-0.24150574
Heregulin-R-V	0.111241999
HSP70-R-C	-0.253494743
IGFBP2-R-V	0.061097849
INPP4B-R-V	0.0835387009999999
IRS1-R-V	-0.0126060450000001
JNK_pT183_pY185-R-V	-0.153342577
JNK2-R-C	-0.279135898
Ku80-R-C	0.083857631
Lck-R-V	1.129498198
LKB1-M-E	0.061176775
MAPK_pT202_Y204-R-V	0.00289292999999979
MEK1-R-V	-0.527377243
MEK1_pS217_S221-R-V	-0.0454707150000001
MIG-6-M-V	0.0486458829999999
Mre11-R-C	0
MSH2-M-V	-0.0265862250000002
MSH6-R-C	-0.234824463
mTOR-R-V	-0.020355495
mTOR_pS2448-R-C	0.137011627
MYH11-R-V	0.430474943
Myosin-IIa_pS1943-R-V	-0.058301903
N-Cadherin-R-V	-0.0170614070000001
N-Ras-M-V	-0.0457739290000001
NDRG1_pT346-R-V	0.869954901
NF-kB-p65_pS536-R-C	0.568420275
NF2-R-C	0.106905119
Notch1-R-V	0.190730008
P-Cadherin-R-C	0.0835387009999999
p21-R-V	0.0583959639999999
p27-R-V	0.288424836
p27_pT157-R-C	-0.0264906440000001
p27_pT198-R-V	0.238598422
p38_MAPK-R-V	0.027820603
p38_pT180_Y182-R-V	0.241361224
p53-R-E	0.242672191
p62-LCK-ligand-M-C	0.0158125869999999
p70S6K-R-V	-0.0845285700000001
p70S6K_pT389-R-V	0.0761704409999999
p90RSK-R-C	-0.151710883
p90RSK_pT359_S363-R-C	0.182353376
PAI-1-M-E	-0.349691643
PARP_cleaved-M-E	-0.0401427770000002
Paxillin-R-C	-0.150729021
PCNA-M-C	-0.301070358
PDCD4-R-C	1.147076426
PDK1-R-V	0.056041465
PDK1_pS241-R-V	0.167606786
PEA15-R-V	0.0404003279999999
PEA15_pS116-R-V	-0.0392046940000001
PI3K-p110-alpha-R-C	-0.116393969
PI3K-p85-R-V	0.476696288
PKC-alpha-M-V	-0.165268977
PKC-alpha_pS657-R-C	-0.0793167840000002
PKC-delta_pS664-R-V	0.400191418
PKC-pan_BetaII_pS660-R-V	0.832783118
PR-R-V	0.0451745020000001
PRAS40_pT246-R-V	0.19862529
PRDX1-R-V	0.609452441
PREX1-R-E	0.821849276
PTEN-R-V	0.215735597
Rab11-R-E	0.038342965
Rab25-R-V	-0.489741324
Rad50-M-V	-0.019089176
Rad51-R-V	0.0835387009999999
Raptor-R-V	-0.0447147840000001
Rb-M-E	-0.0884406260000001
Rb_pS807_S811-R-V	0.447305056
RBM15-R-V	0.208095463
Rictor-R-C	0.146471767
Rictor_pT1135-R-V	-0.0208527600000001
S6-R-E	0.340533146
S6_pS235_S236-R-V	1.270434846
S6_pS240_S244-R-V	0.875968212
SCD-M-V	-0.0283039469999999
SETD2-R-E	-0.100613251
SF2-M-V	0.00187995100000005
Shc_pY317-R-E	-0.0953760750000001
Smac-M-E	-0.233563408
Smad1-R-V	-0.277685036
Smad3-R-V	0.0503039129999999
Smad4-M-V	-0.0483786770000001
Snail-M-E	-0.188531412
Src-M-V	0.586958392
Src_pY416-R-C	0.507139628
Src_pY527-R-V	-0.504121646
