Sample REF	6614076A-C936-48EA-97E2-3A12301EDC8A
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.00126012299999989
14-3-3_epsilon-M-C	-0.279215531
14-3-3_zeta-R-V	-0.663774048
4E-BP1-R-V	-0.0792807090000001
4E-BP1_pS65-R-V	0.251310826
4E-BP1_pT37_T46-R-V	0.305778378
4E-BP1_pT70-R-V	-0.163924973
53BP1-R-E	0.445715015
A-Raf_pS299-R-C	-0.162087275
ACC_pS79-R-V	0.099267706
ACC1-R-E	-0.250266396
Acetyl-a-Tubulin-Lys40-R-C	1.040422234
ACVRL1-R-C	-0.187758941
ADAR1-M-V	0.00427644100000002
Akt-R-V	0.625843472
Akt_pS473-R-V	0.830493225
Akt_pT308-R-V	0.509260638
alpha-Catenin-M-V	-0.0873170049999999
AMPK_alpha-R-C	0.0769824019999999
AMPK_pT172-R-V	0.480645846
Annexin-1-M-E	-0.729760013
Annexin_VII-M-V	-0.157227088
AR-R-V	0.206808979
DIRAS3-M-E	-0.001903345
ASNS-R-V	0.924277049
ATM-R-E	0.363447798
B-Raf-M-C	0.501934006
Bad_pS112-R-V	0.15668858
Bak-R-C	0.15716826
Bap1-c-4-M-E	0.267418927
Bax-R-V	-0.386431744
Bcl-2-M-V	0.055583947
Bcl-xL-R-V	0
Beclin-G-C	0.168414759
beta-Catenin-R-V	0.647658981
Bid-R-C	-0.107052532
Bim-R-V	0.745750763
BRCA2-R-C	-0.169289714
c-Jun_pS73-R-V	-0.241960733
c-Kit-R-V	0.803219757
c-Met-M-E	-0.180693658
c-Met_pY1235-R-V	-0.0677948220000001
c-Myc-R-C	-0.487907026
C-Raf-R-V	-0.087878982
C-Raf_pS338-R-V	-0.187239018
Caspase-7_cleavedD198-R-C	-0.317402352
Caspase-8-M-E	-0.0404273789999999
Caveolin-1-R-V	0.026441032
CD20-R-C	0.0569943439999999
CD31-M-V	-0.290827298
CD49b-M-V	-0.194227415
CDK1-R-V	0.0303498409999999
Chk1-M-C	0.507209556
Chk1_pS345-R-C	0.115797501
Chk2-M-E	0.268254215
Chk2_pT68-R-C	-0.142525415
cIAP-R-V	-0.343641196
Claudin-7-R-V	-0.283961841
Collagen_VI-R-V	-0.270918777
Cyclin_B1-R-V	-0.0876747720000001
Cyclin_D1-R-V	-0.142280738
Cyclin_E1-M-V	0.116604869
Cyclin_E2-R-C	0.132124387
DJ-1-R-E	-0.292204691
Dvl3-R-V	0.103182834
E-Cadherin-R-V	0.451437196
eEF2-R-C	-0.179346113
eEF2K-R-V	0.25984318
EGFR-R-V	-0.294918009
EGFR_pY1068-R-C	-0.502836706
EGFR_pY1173-R-V	-0.12721588
eIF4E-R-V	-0.344834186
eIF4G-R-C	0.194687803
ER-alpha-R-V	1.48123773
ER-alpha_pS118-R-V	0.00884131799999999
ERCC1-M-V	0.0344213480000001
ERK2-R-E	-0.052096831
ETS-1-R-V	0.0175775669999999
FASN-R-V	1.177641082
Fibronectin-R-V	0.279342293
FoxM1-R-V	0.759295109
FOXO3a-R-C	-0.218112669
FOXO3a_pS318_S321-R-C	0.300692978
