Sample REF	677D93FA-9BC4-4BDC-A8E7-EC89133566BD
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.283065353
14-3-3_epsilon-M-C	0.0108553650000001
14-3-3_zeta-R-V	0.451566184
4E-BP1-R-V	0.407043909
4E-BP1_pS65-R-V	0.120654229
4E-BP1_pT37_T46-R-V	0
4E-BP1_pT70-R-V	0.222806529
53BP1-R-E	-1.018692396
A-Raf_pS299-R-C	0.10416136
ACC_pS79-R-V	0.460602734
ACC1-R-E	0.391775929
Acetyl-a-Tubulin-Lys40-R-C	-1.058688998
ACVRL1-R-C	-0.091614759
ADAR1-M-V	0.057787823
Akt-R-V	-0.777207391
Akt_pS473-R-V	0.0729442129999998
Akt_pT308-R-V	-0.133850641
alpha-Catenin-M-V	-0.0139362509999998
AMPK_alpha-R-C	0.270649706
AMPK_pT172-R-V	0.0560144149999999
Annexin-1-M-E	0.357723653
Annexin_VII-M-V	0.273634249
AR-R-V	-0.244245166
DIRAS3-M-E	0.059723486
ASNS-R-V	0.375178267
ATM-R-E	-0.378870346
B-Raf-M-C	-0.710426341
Bad_pS112-R-V	-0.104479431
Bak-R-C	-0.0496856269999999
Bap1-c-4-M-E	-0.0514729270000001
Bax-R-V	0.326901007
Bcl-2-M-V	0.162053988
Bcl-xL-R-V	0.0549471239999999
Beclin-G-C	-0.408375211
beta-Catenin-R-V	-0.888450857
Bid-R-C	-0.12145107
Bim-R-V	-0.200863153
BRCA2-R-C	0.307876686
c-Jun_pS73-R-V	-0.629660331
c-Kit-R-V	0.171130394
c-Met-M-E	-0.154171692
c-Met_pY1235-R-V	0.150613429
c-Myc-R-C	-0.299291321
C-Raf-R-V	-0.283468304
C-Raf_pS338-R-V	0.162065974
Caspase-7_cleavedD198-R-C	1.04381836
Caspase-8-M-E	0.0260180489999999
Caveolin-1-R-V	0.00889465499999997
CD20-R-C	-0.181690675
CD31-M-V	0.0886907960000001
CD49b-M-V	-0.111930366
CDK1-R-V	-0.0333675360000003
Chk1-M-C	0.0800259059999997
Chk1_pS345-R-C	0.0172522309999998
Chk2-M-E	-0.00270605600000007
Chk2_pT68-R-C	0.210979377
cIAP-R-V	0.0927422409999999
Claudin-7-R-V	0.636004429
Collagen_VI-R-V	0.502393312
Cyclin_B1-R-V	-0.598266833
Cyclin_D1-R-V	0.238061874
Cyclin_E1-M-V	0.114652568
Cyclin_E2-R-C	-0.198388807
DJ-1-R-E	0.137474336
Dvl3-R-V	0.407477283
E-Cadherin-R-V	-0.199783289
eEF2-R-C	-0.884815183
eEF2K-R-V	-0.544104167
EGFR-R-V	-0.360445013
EGFR_pY1068-R-C	-0.116845327
EGFR_pY1173-R-V	0.052951493
eIF4E-R-V	0.323439761
eIF4G-R-C	-0.834473687
ER-alpha-R-V	0.637694728
ER-alpha_pS118-R-V	-0.0918801499999999
ERCC1-M-V	-0.662040903
ERK2-R-E	-1.048617495
ETS-1-R-V	0.132848106
FASN-R-V	0.667409001
Fibronectin-R-V	0.250580989
FoxM1-R-V	0.0350830930000001
FOXO3a-R-C	-0.159347535
FOXO3a_pS318_S321-R-C	0.0450894639999999
G6PD-M-V	-0.21919697
GAB2-R-V	-0.556736908
GAPDH-M-C	0.409178598
GATA3-M-V	0.328818753
GSK3-alpha-beta-M-V	0.282300156
GSK3-alpha-beta_pS21_S9-R-V	-0.556231931
GSK3_pS9-R-V	-0.842581025
HER2-M-V	-0.71213727
HER2_pY1248-R-C	-0.167017627
HER3-R-V	-0.485867162
HER3_pY1289-R-C	0.181665731
Heregulin-R-V	-0.243381424
HSP70-R-C	0.173206112
IGFBP2-R-V	1.736685772
INPP4B-R-V	0.616479549
IRS1-R-V	-0.23768476
JNK_pT183_pY185-R-V	-0.0100582150000001
JNK2-R-C	-0.852252426
Ku80-R-C	-0.335131119
Lck-R-V	-0.600441858
LKB1-M-E	-0.193798683
MAPK_pT202_Y204-R-V	0.614111752
MEK1-R-V	-0.559305435
MEK1_pS217_S221-R-V	0.218928348
MIG-6-M-V	0.140826695
Mre11-R-C	0.125662337
MSH2-M-V	0.148152562
MSH6-R-C	0.138919284
mTOR-R-V	-0.407276518
mTOR_pS2448-R-C	-0.0326955609999999
MYH11-R-V	1.286538223
Myosin-IIa_pS1943-R-V	-0.338180827
N-Cadherin-R-V	-0.119655521
N-Ras-M-V	0.146589938
NDRG1_pT346-R-V	0.607566874
NF-kB-p65_pS536-R-C	-0.39970414
NF2-R-C	-0.154465398
Notch1-R-V	-0.171221983
P-Cadherin-R-C	-0.206389771
p21-R-V	0.640606979
p27-R-V	-0.029750967
p27_pT157-R-C	-0.00597748600000003
p27_pT198-R-V	-0.267063931
p38_MAPK-R-V	0.285869495
p38_pT180_Y182-R-V	0.208914478
p53-R-E	0.0205543510000001
p62-LCK-ligand-M-C	-0.249024515
p70S6K-R-V	0.134866225
p70S6K_pT389-R-V	-0.120525037
p90RSK-R-C	-0.461926753
p90RSK_pT359_S363-R-C	-0.199635472
PAI-1-M-E	-0.107555995
PARP_cleaved-M-E	0.0500979839999998
Paxillin-R-C	-1.793800579
PCNA-M-C	0.160019459
PDCD4-R-C	0.267337061
PDK1-R-V	-0.0341341020000001
PDK1_pS241-R-V	-0.145341572
PEA15-R-V	0.420340467
PEA15_pS116-R-V	-0.586842981
PI3K-p110-alpha-R-C	0.025086437
PI3K-p85-R-V	-0.215931555
PKC-alpha-M-V	-0.525642853
PKC-alpha_pS657-R-C	-0.945209425
PKC-delta_pS664-R-V	-0.153044227
PKC-pan_BetaII_pS660-R-V	-0.9860797
PR-R-V	-0.178870752
PRAS40_pT246-R-V	0.020828229
PRDX1-R-V	0.336503354
PREX1-R-E	0.0714809079999998
PTEN-R-V	0.195367555
Rab11-R-E	0.328816563
Rab25-R-V	0.665124832
Rad50-M-V	-0.634522766
Rad51-R-V	0.0265596589999999
Raptor-R-V	-0.261467121
Rb-M-E	-0.0483578740000001
Rb_pS807_S811-R-V	-0.0145500270000001
RBM15-R-V	-0.688229112
Rictor-R-C	-0.307057073
Rictor_pT1135-R-V	-0.284641583
S6-R-E	-0.0687499620000001
S6_pS235_S236-R-V	-0.437924457
S6_pS240_S244-R-V	-0.398775674
SCD-M-V	0.132666949
SETD2-R-E	-0.201310584
SF2-M-V	-0.395767275
Shc_pY317-R-E	-0.00491633099999977
Smac-M-E	0.628180768
Smad1-R-V	-0.0694947299999999
Smad3-R-V	0.00943909499999995
Smad4-M-V	0.273674811
Snail-M-E	-0.441549017
Src-M-V	0.135135237
Src_pY416-R-C	0.769646465
Src_pY527-R-V	0.160566034
STAT3_pY705-R-V	-0.422657884
STAT5-alpha-R-V	-1.684245535
Stathmin-R-V	0.163882439
Syk-M-V	-0.209092845
TAZ-R-V	0.28024421
TIGAR-R-V	-0.120874709
Transglutaminase-M-V	0.489377443
TFRC-R-V	-0.918374549
TSC1-R-C	-0.226610078
TTF1-R-V	-0.28849374
Tuberin-R-E	-1.195227266
Tuberin_pT1462-R-V	-0.24016327
VEGFR2-R-V	0.38943728
EPPK1-M-E	-0.897932431
XBP1-G-C	-0.666382218
XRCC1-R-E	0.52413946
YAP-R-E	0.449404113
YAP_pS127-R-E	0.297563127
YB-1-R-V	0.022770909
YB-1_pS102-R-V	0.184897498
JAB1-M-C	0.248902299
PARP1-R-V	0.0805717229999999
A-Raf-R-V	0.195934328
ARID1A-R-C	-0.572000129
B-Raf_pS445-R-V	0.50870636
Bcl2A1-R-V	0.145229311
BRD4-R-V	-0.458913182
c-Abl-R-V	0.098533947
Caspase-3-R-C	0.190757378
CD26-R-V	-0.0963601950000001
Chk1_pS296-R-V	0.190880444
COG3-R-V	-0.830236592
DUSP4-R-V	0.249480666
ERCC5-R-C	0.238946516
IGF1R_pY1135_Y1136-R-V	0.177385221
IRF-1-R-C	-0.250851235
Jak2-R-V	-0.296298835
p16_INK4a-R-V	0.690277334
SHP-2_pY542-R-C	0.191238329
CDK1_pY15-R-C	0.15610916
