Sample REF	6922055B-2C39-4A60-80D9-ADF3269CD2DB
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.137711273
14-3-3_epsilon-M-C	-0.123402965
14-3-3_zeta-R-V	-0.187536599
4E-BP1-R-V	0.42219888
4E-BP1_pS65-R-V	0.036614756
4E-BP1_pT37_T46-R-V	0.276987434
4E-BP1_pT70-R-V	0.349955778
53BP1-R-E	1.006994072
A-Raf_pS299-R-C	-0.329722963
ACC_pS79-R-V	0.139115874
ACC1-R-E	0.0133305039999999
Acetyl-a-Tubulin-Lys40-R-C	1.606872224
ACVRL1-R-C	-0.0506204010000001
ADAR1-M-V	0.057093941
Akt-R-V	0.00477835900000001
Akt_pS473-R-V	-0.238771206
Akt_pT308-R-V	-0.561549841
alpha-Catenin-M-V	-0.118446003
AMPK_alpha-R-C	-0.0591125929999999
AMPK_pT172-R-V	0.416075582
Annexin-1-M-E	0.455963019
Annexin_VII-M-V	0.145798235
AR-R-V	0.217419987
DIRAS3-M-E	-0.019018661
ASNS-R-V	0.213276298
ATM-R-E	1.069525023
B-Raf-M-C	-0.00501143899999998
Bad_pS112-R-V	-0.197100846
Bak-R-C	0.0457867370000001
Bap1-c-4-M-E	0.44856194
Bax-R-V	-0.0537146140000001
Bcl-2-M-V	0.465058669
Bcl-xL-R-V	0.189153602
Beclin-G-C	-0.201284748
beta-Catenin-R-V	0.35939457
Bid-R-C	-0.15442406
Bim-R-V	0.178454387
BRCA2-R-C	-0.200012128
c-Jun_pS73-R-V	-0.136825024
c-Kit-R-V	-0.305961242
c-Met-M-E	0.0674104969999999
c-Met_pY1235-R-V	0.0704329229999999
c-Myc-R-C	0.308421545
C-Raf-R-V	-0.086869037
C-Raf_pS338-R-V	-0.147073658
Caspase-7_cleavedD198-R-C	0.258380236
Caspase-8-M-E	0.188380409
Caveolin-1-R-V	-1.261441158
CD20-R-C	0.020164013
CD31-M-V	-0.129515006
CD49b-M-V	-0.35560225
CDK1-R-V	0.069670163
Chk1-M-C	0.633036071
Chk1_pS345-R-C	-0.109097587
Chk2-M-E	0.381906594
Chk2_pT68-R-C	0.0256248920000001
cIAP-R-V	-0.06182538
Claudin-7-R-V	-0.25374277
Collagen_VI-R-V	-0.056591282
Cyclin_B1-R-V	0.840425019
Cyclin_D1-R-V	-0.326735063
Cyclin_E1-M-V	0.0689782439999999
Cyclin_E2-R-C	0.253404762
DJ-1-R-E	0.05651654
Dvl3-R-V	0.291016234
E-Cadherin-R-V	0.0541914130000001
eEF2-R-C	-0.167624035
eEF2K-R-V	0.203301116
EGFR-R-V	-0.246514122
EGFR_pY1068-R-C	0.043804633
EGFR_pY1173-R-V	0.053184206
eIF4E-R-V	0.34243103
eIF4G-R-C	0.435277878
ER-alpha-R-V	0.778364545
ER-alpha_pS118-R-V	0.0743496450000001
ERCC1-M-V	0.265205333
ERK2-R-E	-0.02261483
ETS-1-R-V	0.090063023
FASN-R-V	0.355874971
Fibronectin-R-V	-0.356935566
FoxM1-R-V	0.595849911
FOXO3a-R-C	-0.0398939500000003
FOXO3a_pS318_S321-R-C	0.12014118
G6PD-M-V	-0.243131615
GAB2-R-V	1.586906218
GAPDH-M-C	0.050860239
GATA3-M-V	-0.045329946
GSK3-alpha-beta-M-V	-0.032657433
GSK3-alpha-beta_pS21_S9-R-V	-0.651565554
GSK3_pS9-R-V	-0.796487951
HER2-M-V	3.188751726
HER2_pY1248-R-C	2.713675688
HER3-R-V	-0.081145006
HER3_pY1289-R-C	-0.176653028
Heregulin-R-V	-0.0223337419999999
HSP70-R-C	-0.558682947
IGFBP2-R-V	1.230892349
INPP4B-R-V	0.299186865
IRS1-R-V	-0.107441182
JNK_pT183_pY185-R-V	-0.315713579
JNK2-R-C	0.270566507
Ku80-R-C	0.300939513
Lck-R-V	-0.320862351
LKB1-M-E	-0.0240219509999999
MAPK_pT202_Y204-R-V	-0.706959124
MEK1-R-V	0.30779952
MEK1_pS217_S221-R-V	-0.209562723
MIG-6-M-V	0.216291898
Mre11-R-C	0.00770723000000006
MSH2-M-V	0.333928145
MSH6-R-C	0.23713312
mTOR-R-V	0.052877814
mTOR_pS2448-R-C	0.00279123900000011
MYH11-R-V	-0.160025676
Myosin-IIa_pS1943-R-V	0.0487979080000001
N-Cadherin-R-V	-0.100268991
N-Ras-M-V	-0.034676327
NDRG1_pT346-R-V	-1.66408018
NF-kB-p65_pS536-R-C	0.624733539
NF2-R-C	0.028158778
Notch1-R-V	-0.244158754
P-Cadherin-R-C	-0.124888721
p21-R-V	-1.950083526
p27-R-V	0.507556941
p27_pT157-R-C	0.142712834
p27_pT198-R-V	-0.050718265
p38_MAPK-R-V	-0.0880963069999999
p38_pT180_Y182-R-V	-0.670268615
p53-R-E	-0.0376585549999998
p62-LCK-ligand-M-C	0.183310981
p70S6K-R-V	-0.065374503
p70S6K_pT389-R-V	-0.224293832
p90RSK-R-C	-0.181860438
p90RSK_pT359_S363-R-C	-0.146712146
PAI-1-M-E	0.156217177
PARP_cleaved-M-E	0.208915377
Paxillin-R-C	0.214065131
PCNA-M-C	-0.193215317
PDCD4-R-C	-0.77119117
PDK1-R-V	-0.061759201
PDK1_pS241-R-V	-0.130585196
PEA15-R-V	-0.197070753
PEA15_pS116-R-V	-0.048112688
PI3K-p110-alpha-R-C	0.261804737
PI3K-p85-R-V	0.035564404
PKC-alpha-M-V	-0.712749589
PKC-alpha_pS657-R-C	-0.920753479
PKC-delta_pS664-R-V	-0.121951984
PKC-pan_BetaII_pS660-R-V	-0.68275655
PR-R-V	0.00743658000000014
PRAS40_pT246-R-V	-0.069311799
PRDX1-R-V	-0.244158754
PREX1-R-E	0.280868968
PTEN-R-V	0.668839039
Rab11-R-E	-0.247104962
Rab25-R-V	0.00966366399999996
Rad50-M-V	0.311255287
Rad51-R-V	-0.390713416
Raptor-R-V	-0.191440219
Rb-M-E	-0.189695956
Rb_pS807_S811-R-V	0.863948632
RBM15-R-V	0.509227887
Rictor-R-C	0.0126594249999999
Rictor_pT1135-R-V	-0.158485538
S6-R-E	-0.094201677
S6_pS235_S236-R-V	-0.503659348
S6_pS240_S244-R-V	0.107289758
SCD-M-V	-0.0749606469999999
SETD2-R-E	1.938272627
SF2-M-V	-0.010799739
Shc_pY317-R-E	-0.0713596689999997
Smac-M-E	0.137511245
Smad1-R-V	0.190432888
Smad3-R-V	-0.033568619
