Sample REF	6DEA112A-68FE-4D44-A1D3-94F52FA9D333
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0407908270000001
14-3-3_epsilon-M-C	0.13839619
14-3-3_zeta-R-V	0.19931069
4E-BP1-R-V	-0.0512200689999999
4E-BP1_pS65-R-V	-0.0261057439999999
4E-BP1_pT37_T46-R-V	-1.081143366
4E-BP1_pT70-R-V	0.129539973
53BP1-R-E	0.226294907
A-Raf_pS299-R-C	-0.146078645
ACC_pS79-R-V	-0.106430414
ACC1-R-E	0.093066418
Acetyl-a-Tubulin-Lys40-R-C	0.0148486540000001
ACVRL1-R-C	0.109919404
ADAR1-M-V	0.0285174090000002
Akt-R-V	-0.0986510939999999
Akt_pS473-R-V	-0.851964429
Akt_pT308-R-V	-0.448924155
alpha-Catenin-M-V	0.0543389240000001
AMPK_alpha-R-C	0.153487881
AMPK_pT172-R-V	0.23828715
Annexin-1-M-E	0.790679191
Annexin_VII-M-V	-0.056609063
AR-R-V	-0.228526032
DIRAS3-M-E	0.0949059000000001
ASNS-R-V	-0.704431512
ATM-R-E	0.713811084
B-Raf-M-C	0.225135606
Bad_pS112-R-V	-0.282472232
Bak-R-C	0.368673347
Bap1-c-4-M-E	0.0410443310000002
Bax-R-V	0.123822767
Bcl-2-M-V	-0.0162259299999996
Bcl-xL-R-V	-0.0875247789999999
Beclin-G-C	-0.0734137039999998
beta-Catenin-R-V	0.262964486
Bid-R-C	0.0828251670000001
Bim-R-V	0.296617312
BRCA2-R-C	0.0237153450000001
c-Jun_pS73-R-V	-0.494181932
c-Kit-R-V	0.152392448
c-Met-M-E	-0.11211832
c-Met_pY1235-R-V	0.0803844790000001
c-Myc-R-C	0.0640415080000001
C-Raf-R-V	-0.0791746179999999
C-Raf_pS338-R-V	0.0229346010000001
Caspase-7_cleavedD198-R-C	-0.0144848049999999
Caspase-8-M-E	-0.0619902999999997
Caveolin-1-R-V	0.514589244
CD20-R-C	0.0424294860000001
CD31-M-V	-0.049662257
CD49b-M-V	0.176279695
CDK1-R-V	-0.123961961
Chk1-M-C	0.34618041
Chk1_pS345-R-C	-0.314081279
Chk2-M-E	-0.406447452
Chk2_pT68-R-C	-0.0610330159999999
cIAP-R-V	-0.0326809359999999
Claudin-7-R-V	-0.836976757
Collagen_VI-R-V	-0.0579848419999999
