Sample REF	6E230015-A5EA-43CD-9BCE-4FB37061E492
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.128783552
14-3-3_epsilon-M-C	-0.09581563
14-3-3_zeta-R-V	-0.0375101249999999
4E-BP1-R-V	0.044879287
4E-BP1_pS65-R-V	0.254552236
4E-BP1_pT37_T46-R-V	0.368269519
4E-BP1_pT70-R-V	0.132102945
53BP1-R-E	-0.191631327
A-Raf_pS299-R-C	-0.034767048
ACC_pS79-R-V	0.627699317
ACC1-R-E	0.654924649
Acetyl-a-Tubulin-Lys40-R-C	0.103798212
ACVRL1-R-C	-0.173738633
ADAR1-M-V	0.0918672230000001
Akt-R-V	-0.223083619
Akt_pS473-R-V	2.37089523
Akt_pT308-R-V	1.679220685
alpha-Catenin-M-V	0.182433195
AMPK_alpha-R-C	-0.177562076
AMPK_pT172-R-V	0.222722852
Annexin-1-M-E	0.0635585220000001
Annexin_VII-M-V	-0.277007018
AR-R-V	-0.195241874
DIRAS3-M-E	0.10319614
ASNS-R-V	-0.266426302
ATM-R-E	-0.132360932
B-Raf-M-C	-0.243027634
Bad_pS112-R-V	0.262226361
Bak-R-C	0.0256639990000002
Bap1-c-4-M-E	0.159569807
Bax-R-V	-0.12397611
Bcl-2-M-V	-0.312133146
Bcl-xL-R-V	-0.17634199
Beclin-G-C	-0.109983578
beta-Catenin-R-V	0.572995639
Bid-R-C	-0.00121181999999997
Bim-R-V	-0.069968385
BRCA2-R-C	-0.0990664310000001
c-Jun_pS73-R-V	0.0463527239999998
c-Kit-R-V	-0.267991554
c-Met-M-E	-0.13372759
c-Met_pY1235-R-V	-0.0379822390000001
c-Myc-R-C	-0.148527175
C-Raf-R-V	0.036941718
C-Raf_pS338-R-V	0.189049628
Caspase-7_cleavedD198-R-C	0.479587735
Caspase-8-M-E	0.0895824720000001
Caveolin-1-R-V	-0.30071652
CD20-R-C	-0.076078416
CD31-M-V	-0.12996186
CD49b-M-V	0.09765275
CDK1-R-V	0.085246432
Chk1-M-C	0.0842386539999999
Chk1_pS345-R-C	0.123430886
Chk2-M-E	-0.145343941
Chk2_pT68-R-C	0.026445645
cIAP-R-V	-0.042941386
Claudin-7-R-V	0.213509336
Collagen_VI-R-V	-0.309103446
Cyclin_B1-R-V	0.616540249
Cyclin_D1-R-V	0.039747353
Cyclin_E1-M-V	0.395110528
Cyclin_E2-R-C	0.107779988
DJ-1-R-E	-0.260407411
Dvl3-R-V	0.317397684
E-Cadherin-R-V	0.528730636
eEF2-R-C	0.118044481
eEF2K-R-V	0.269230936
EGFR-R-V	0.513602305
EGFR_pY1068-R-C	0.157101306
EGFR_pY1173-R-V	0
eIF4E-R-V	-0.180947932
eIF4G-R-C	0.404890796
ER-alpha-R-V	-0.011738929
ER-alpha_pS118-R-V	-0.072076504
ERCC1-M-V	-0.0620970159999999
ERK2-R-E	-0.050291758
ETS-1-R-V	-0.03834559
FASN-R-V	0.616773802
Fibronectin-R-V	0.265802741
FoxM1-R-V	0.398546422
FOXO3a-R-C	-0.118906982
FOXO3a_pS318_S321-R-C	0.101397039
G6PD-M-V	-0.28326941
GAB2-R-V	-0.0768312330000001
GAPDH-M-C	0.11644042
GATA3-M-V	-0.386920127
GSK3-alpha-beta-M-V	0.018248527
GSK3-alpha-beta_pS21_S9-R-V	0.595560637
GSK3_pS9-R-V	1.034283281
HER2-M-V	-0.077429642
HER2_pY1248-R-C	-0.019636945
HER3-R-V	-0.342235281
HER3_pY1289-R-C	0.06255676
Heregulin-R-V	-0.171862443
HSP70-R-C	0.595620322
IGFBP2-R-V	1.522681082
INPP4B-R-V	0.0432624300000001
IRS1-R-V	-0.047712567
JNK_pT183_pY185-R-V	-0.169579527
JNK2-R-C	-0.0295449999999999
Ku80-R-C	-0.282406172
Lck-R-V	-0.134452791
LKB1-M-E	0.00724491599999999
MAPK_pT202_Y204-R-V	0.356403126
MEK1-R-V	0.299422517
MEK1_pS217_S221-R-V	0.02524112
MIG-6-M-V	-0.065036809
Mre11-R-C	-0.022095723
MSH2-M-V	0.158035186
MSH6-R-C	-0.011938855
mTOR-R-V	-0.0869654349999999
mTOR_pS2448-R-C	0.0302513720000001
MYH11-R-V	-0.392395865
Myosin-IIa_pS1943-R-V	-0.050537687
N-Cadherin-R-V	-0.035251722
N-Ras-M-V	-0.108532389
NDRG1_pT346-R-V	2.688297987
NF-kB-p65_pS536-R-C	0.126343537
NF2-R-C	-0.106936162
Notch1-R-V	0.819991941
P-Cadherin-R-C	-0.235364647
p21-R-V	0.235414633
p27-R-V	-0.216795856
p27_pT157-R-C	-0.012930138
p27_pT198-R-V	0.078874645
p38_MAPK-R-V	0.125755234
p38_pT180_Y182-R-V	0.106052169
p53-R-E	-0.084675218
p62-LCK-ligand-M-C	0.719615763
p70S6K-R-V	0.070957508
p70S6K_pT389-R-V	-0.057983526
p90RSK-R-C	-0.344827334
p90RSK_pT359_S363-R-C	0.169767447
PAI-1-M-E	1.020397457
PARP_cleaved-M-E	-0.057347763
Paxillin-R-C	-0.150826467
PCNA-M-C	0.117104638
PDCD4-R-C	-0.221233686
PDK1-R-V	0.012573112
PDK1_pS241-R-V	0.072725968
PEA15-R-V	-0.095777258
PEA15_pS116-R-V	-0.08456641
PI3K-p110-alpha-R-C	0.2360987
PI3K-p85-R-V	0.372638407
PKC-alpha-M-V	-0.252344997
PKC-alpha_pS657-R-C	-0.307664398
PKC-delta_pS664-R-V	-0.061291632
PKC-pan_BetaII_pS660-R-V	0.238457052
PR-R-V	-0.166496519
PRAS40_pT246-R-V	0.287960059
PRDX1-R-V	-0.212904729
PREX1-R-E	-0.137611424
PTEN-R-V	-0.023700198
Rab11-R-E	0.017369977
Rab25-R-V	0.452934538
Rad50-M-V	-0.287220591
Rad51-R-V	-0.015415645
Raptor-R-V	-0.015501192
Rb-M-E	-0.127293913
Rb_pS807_S811-R-V	-0.116611017
RBM15-R-V	-0.076765845
Rictor-R-C	-0.297389688
Rictor_pT1135-R-V	0.038604937
S6-R-E	0.042857882
S6_pS235_S236-R-V	0.954707169
S6_pS240_S244-R-V	1.298057707
SCD-M-V	0.02140193
SETD2-R-E	-0.246999778
SF2-M-V	0.234660423
Shc_pY317-R-E	-0.0373983489999999
Smac-M-E	-0.247810725
Smad1-R-V	-0.160147071
Smad3-R-V	-0.071269458
Smad4-M-V	0.0528896549999999
Snail-M-E	-0.169269789
Src-M-V	-0.003087006
Src_pY416-R-C	0.479966864
Src_pY527-R-V	0.337078611
STAT3_pY705-R-V	0.329928561
STAT5-alpha-R-V	0.081011266
Stathmin-R-V	-0.058016493
Syk-M-V	0.274308884
TAZ-R-V	0.116899546
TIGAR-R-V	-0.124517744
Transglutaminase-M-V	-0.111253313
TFRC-R-V	0.100628013
TSC1-R-C	0.081937024
TTF1-R-V	-0.120737925
Tuberin-R-E	-0.077288906
Tuberin_pT1462-R-V	0.185808755
VEGFR2-R-V	0.210197263
EPPK1-M-E	0.259305254
XBP1-G-C	-0.0507873830000002
XRCC1-R-E	-0.063387551
YAP-R-E	-0.163962912
YAP_pS127-R-E	-0.244888273
YB-1-R-V	0.171113434
YB-1_pS102-R-V	0.395607861
JAB1-M-C	-0.0426631119999999
PARP1-R-V	0.16959025
A-Raf-R-V	0.130978496
ARID1A-R-C	0.210381139
B-Raf_pS445-R-V	-0.361448107
Bcl2A1-R-V	-0.180215371
BRD4-R-V	0.404956556
c-Abl-R-V	0.038588481
Caspase-3-R-C	0.155112129
CD26-R-V	-0.226903178
Chk1_pS296-R-V	0.054921074
COG3-R-V	-0.35951988
DUSP4-R-V	-0.172452563
ERCC5-R-C	0.0938313930000001
IGF1R_pY1135_Y1136-R-V	-0.01320682
IRF-1-R-C	-0.107738125
Jak2-R-V	-0.025744236
p16_INK4a-R-V	0.112591894
SHP-2_pY542-R-C	0.256318869
CDK1_pY15-R-C	0.193120884
