Sample REF	6EE028AB-9CE6-46AD-8B4E-488E38706EDF
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.099782335
14-3-3_epsilon-M-C	-0.277882757
14-3-3_zeta-R-V	0.408610944
4E-BP1-R-V	0.111129674
4E-BP1_pS65-R-V	-0.144010244
4E-BP1_pT37_T46-R-V	0.64028897
4E-BP1_pT70-R-V	-0.128386685
53BP1-R-E	0.0671313719999999
A-Raf_pS299-R-C	-0.149504769
ACC_pS79-R-V	-0.593570473
ACC1-R-E	-0.954753874
Acetyl-a-Tubulin-Lys40-R-C	0.237777526
ACVRL1-R-C	-0.114969084
ADAR1-M-V	-0.314638075
Akt-R-V	0.249986968
Akt_pS473-R-V	0.101668206
Akt_pT308-R-V	-0.315319157
alpha-Catenin-M-V	0.0513086669999998
AMPK_alpha-R-C	-0.141817008
AMPK_pT172-R-V	-0.220580992
Annexin-1-M-E	1.114003315
Annexin_VII-M-V	-0.160331211
AR-R-V	0.219145569
DIRAS3-M-E	-0.226483553
ASNS-R-V	-0.861827809
ATM-R-E	0.087909303
B-Raf-M-C	0.0126803339999999
Bad_pS112-R-V	0.336849453
Bak-R-C	-0.162642183
Bap1-c-4-M-E	0.151832013
Bax-R-V	-0.0745544220000001
Bcl-2-M-V	-0.010300687
Bcl-xL-R-V	-0.188871761
Beclin-G-C	-0.188479867
beta-Catenin-R-V	0.694672574
Bid-R-C	-0.0861833770000001
Bim-R-V	0.0221092359999999
BRCA2-R-C	0.0201407619999998
c-Jun_pS73-R-V	0.968871192
c-Kit-R-V	0.0439472189999999
c-Met-M-E	-0.368630372
c-Met_pY1235-R-V	-0.094644154
c-Myc-R-C	0.230351878
C-Raf-R-V	0.0780304399999999
C-Raf_pS338-R-V	-0.126749988
Caspase-7_cleavedD198-R-C	-0.210785797
Caspase-8-M-E	-0.249630323
Caveolin-1-R-V	-0.211290045
CD20-R-C	-0.0503583170000002
CD31-M-V	-0.106728877
CD49b-M-V	0.037106552
CDK1-R-V	0.148245249
Chk1-M-C	0.0835258859999999
Chk1_pS345-R-C	0.234993252
Chk2-M-E	-0.080431863
Chk2_pT68-R-C	-0.167449163
cIAP-R-V	-0.183339586
Claudin-7-R-V	0.089878138
Collagen_VI-R-V	-0.00136592700000016
Cyclin_B1-R-V	0.292545753
Cyclin_D1-R-V	-0.395692587
Cyclin_E1-M-V	0.0447881979999996
Cyclin_E2-R-C	0.233389801
DJ-1-R-E	-0.237761834
Dvl3-R-V	0.287419594
E-Cadherin-R-V	0.830215387
eEF2-R-C	0.117593468
eEF2K-R-V	0.827038608
EGFR-R-V	0.0902050049999998
EGFR_pY1068-R-C	0.273521137
EGFR_pY1173-R-V	-0.0737411780000001
eIF4E-R-V	-0.301721289
eIF4G-R-C	0.304167627
ER-alpha-R-V	0.701239357
ER-alpha_pS118-R-V	0.191625026
ERCC1-M-V	0.21306064
ERK2-R-E	-0.00124421000000008
ETS-1-R-V	-0.160998191
FASN-R-V	-0.484339966
Fibronectin-R-V	-0.0699268290000004
FoxM1-R-V	0.560912445
FOXO3a-R-C	-0.123548045
FOXO3a_pS318_S321-R-C	0.0139584829999999
G6PD-M-V	-0.13984377
GAB2-R-V	0.85008591
GAPDH-M-C	-0.155540029
GATA3-M-V	-0.135791608
GSK3-alpha-beta-M-V	0.0912467069999999
GSK3-alpha-beta_pS21_S9-R-V	0.0987229279999999
GSK3_pS9-R-V	0.251657538
HER2-M-V	0.201664503
HER2_pY1248-R-C	0.183662617
HER3-R-V	0.548144673
HER3_pY1289-R-C	0.000619570999999916
Heregulin-R-V	-0.238928371
HSP70-R-C	-0.44131465
IGFBP2-R-V	-0.052838495
INPP4B-R-V	-0.238600701
IRS1-R-V	0.177464113
JNK_pT183_pY185-R-V	0.0521294029999999
JNK2-R-C	0.151608932
Ku80-R-C	0.138911231
Lck-R-V	-0.126801077
LKB1-M-E	-0.185526782
MAPK_pT202_Y204-R-V	0.376687129
MEK1-R-V	0.280012867
MEK1_pS217_S221-R-V	-0.0936152340000001
MIG-6-M-V	0.0126387669999999
Mre11-R-C	-0.0194475190000001
MSH2-M-V	0.0101094309999996
MSH6-R-C	0.109820093
mTOR-R-V	0.0932077659999999
mTOR_pS2448-R-C	0.194748771
MYH11-R-V	1.000189298
Myosin-IIa_pS1943-R-V	0.22983981
N-Cadherin-R-V	-0.307351229
N-Ras-M-V	-0.292991463
NDRG1_pT346-R-V	-0.804832006
NF-kB-p65_pS536-R-C	0.176028612
NF2-R-C	0.0986796699999999
Notch1-R-V	0.610428434
P-Cadherin-R-C	-0.240358401
p21-R-V	-1.001474334
p27-R-V	0.0477715029999999
p27_pT157-R-C	-0.140868748
p27_pT198-R-V	-0.0479509630000001
p38_MAPK-R-V	0.202207746
p38_pT180_Y182-R-V	0.282236484
p53-R-E	0
p62-LCK-ligand-M-C	-0.28400772
p70S6K-R-V	-0.0996112600000001
p70S6K_pT389-R-V	-0.014031068
p90RSK-R-C	-0.19826456
p90RSK_pT359_S363-R-C	-0.094185414
PAI-1-M-E	-0.980836546
PARP_cleaved-M-E	-0.404349841
Paxillin-R-C	0.291915222
PCNA-M-C	-0.0889112800000001
PDCD4-R-C	1.728411327
PDK1-R-V	0.0218881839999999
PDK1_pS241-R-V	0.0330407869999999
PEA15-R-V	-0.0826525070000001
PEA15_pS116-R-V	0.0185607979999999
PI3K-p110-alpha-R-C	0.0221092359999999
PI3K-p85-R-V	-0.099275595
PKC-alpha-M-V	-0.238736011
PKC-alpha_pS657-R-C	-0.301214928
PKC-delta_pS664-R-V	-0.0678411180000003
PKC-pan_BetaII_pS660-R-V	0.283373573
PR-R-V	-0.107123196
PRAS40_pT246-R-V	0.198575277
PRDX1-R-V	-0.267777768
PREX1-R-E	-0.113486025
PTEN-R-V	0.444238924
Rab11-R-E	0.0819946699999999
Rab25-R-V	0.128640322
Rad50-M-V	-0.204469235
Rad51-R-V	0.327040401
Raptor-R-V	-0.0562493720000001
Rb-M-E	-0.276661503
Rb_pS807_S811-R-V	0.701506169
RBM15-R-V	0.426602068
Rictor-R-C	0.645495737
Rictor_pT1135-R-V	0.0269079759999999
S6-R-E	0.0743582219999999
S6_pS235_S236-R-V	0.974378707
S6_pS240_S244-R-V	0.151135663
SCD-M-V	-0.315503559
SETD2-R-E	0.309369333
SF2-M-V	-0.254324003
Shc_pY317-R-E	0.278377916
Smac-M-E	-0.356900288
Smad1-R-V	-0.295782357
Smad3-R-V	-0.0297147250000001
Smad4-M-V	-0.0751026760000002
Snail-M-E	-0.346964333
Src-M-V	-0.0761670130000001
Src_pY416-R-C	-0.122892458
Src_pY527-R-V	0.0902295310000001
STAT3_pY705-R-V	-0.012391255
STAT5-alpha-R-V	0.548079807
Stathmin-R-V	-0.170597206
Syk-M-V	0.283071654
TAZ-R-V	-0.0362635270000001
TIGAR-R-V	-0.079028575
Transglutaminase-M-V	-0.0866977170000001
TFRC-R-V	0.611786413
TSC1-R-C	-0.0708429270000001
TTF1-R-V	0.0177962219999999
Tuberin-R-E	0.276166349
Tuberin_pT1462-R-V	0.0622291989999999
VEGFR2-R-V	0.321524328
EPPK1-M-E	1.460196867
XBP1-G-C	0.247920969
XRCC1-R-E	-0.088660551
