Sample REF	6F74B999-D13D-458C-90F2-30D59F8D9B54
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.064552189
14-3-3_epsilon-M-C	-0.0842743320000001
14-3-3_zeta-R-V	0.046089372
4E-BP1-R-V	0.343329951
4E-BP1_pS65-R-V	0.0971957689999999
4E-BP1_pT37_T46-R-V	0.198952502
4E-BP1_pT70-R-V	0.306079607
53BP1-R-E	-0.0082854710000001
A-Raf_pS299-R-C	0.0231270389999999
ACC_pS79-R-V	0.629897359
ACC1-R-E	0.488055651
Acetyl-a-Tubulin-Lys40-R-C	0
ACVRL1-R-C	-0.177266911
ADAR1-M-V	0.0864085709999999
Akt-R-V	0.463754805
Akt_pS473-R-V	0.0187113759999999
Akt_pT308-R-V	-0.240915454
alpha-Catenin-M-V	-0.110151522
AMPK_alpha-R-C	-0.0122243940000001
AMPK_pT172-R-V	0.53725811
Annexin-1-M-E	0.425253537
Annexin_VII-M-V	-0.162446951
AR-R-V	-0.130119968
DIRAS3-M-E	-0.140690645
ASNS-R-V	1.709477871
ATM-R-E	0.151533067
B-Raf-M-C	0.996396599
Bad_pS112-R-V	0.0543328519999999
Bak-R-C	0.0110745910000001
Bap1-c-4-M-E	0.151796809
Bax-R-V	0.105907679
Bcl-2-M-V	-0.425981161
Bcl-xL-R-V	0.0519693369999999
Beclin-G-C	-0.200503163
beta-Catenin-R-V	0.590685628
Bid-R-C	0.00322114499999993
Bim-R-V	-0.288299289
BRCA2-R-C	-0.0354659430000002
c-Jun_pS73-R-V	-0.189666643
c-Kit-R-V	-0.137422543
c-Met-M-E	-0.122924504
c-Met_pY1235-R-V	-0.0890367110000001
c-Myc-R-C	-0.479980085
C-Raf-R-V	0.279576253
C-Raf_pS338-R-V	-0.0368860680000001
Caspase-7_cleavedD198-R-C	0.407079278
Caspase-8-M-E	0.218171574
Caveolin-1-R-V	-0.242454012
CD20-R-C	-0.0156051340000001
CD31-M-V	-0.060513721
CD49b-M-V	-0.0242618130000001
CDK1-R-V	0.024741801
Chk1-M-C	0.268466642
Chk1_pS345-R-C	0.0469240369999999
Chk2-M-E	0.342940826
Chk2_pT68-R-C	-0.058351161
cIAP-R-V	-0.136386614
Claudin-7-R-V	1.400120269
Collagen_VI-R-V	-0.35383006
Cyclin_B1-R-V	1.307443865
Cyclin_D1-R-V	-0.0497770340000001
Cyclin_E1-M-V	-0.190313595
Cyclin_E2-R-C	-0.0613271940000001
DJ-1-R-E	-0.238563483
Dvl3-R-V	-0.0915363140000001
E-Cadherin-R-V	0.325002667
eEF2-R-C	0.287857475
eEF2K-R-V	0.0211281759999999
EGFR-R-V	0.92156195
EGFR_pY1068-R-C	0.162733451
EGFR_pY1173-R-V	-0.0936868900000001
eIF4E-R-V	0.081564216
eIF4G-R-C	0.515825099
ER-alpha-R-V	-0.427167172
ER-alpha_pS118-R-V	-0.120030125
ERCC1-M-V	0.110272099
ERK2-R-E	-0.0432507600000001
ETS-1-R-V	0.172930688
FASN-R-V	1.072153401
Fibronectin-R-V	0.0385838679999999
FoxM1-R-V	0.368588369
FOXO3a-R-C	0.0472000369999999
FOXO3a_pS318_S321-R-C	-0.161459332
G6PD-M-V	0.00537355999999978
GAB2-R-V	0.255472491
GAPDH-M-C	0.284380803
GATA3-M-V	-0.346412013
GSK3-alpha-beta-M-V	0.303243136
GSK3-alpha-beta_pS21_S9-R-V	0.0732798929999999
GSK3_pS9-R-V	0.00975113299999997
HER2-M-V	0.164716442
HER2_pY1248-R-C	0.107605937
HER3-R-V	0.2459701
HER3_pY1289-R-C	0.230512676
Heregulin-R-V	-0.191941128
HSP70-R-C	-0.400044479
IGFBP2-R-V	0.786201255
INPP4B-R-V	-0.256114952
IRS1-R-V	-0.0132086160000001
JNK_pT183_pY185-R-V	-0.170619938
JNK2-R-C	0.479384159
Ku80-R-C	0.20817588
Lck-R-V	0.0600077639999999
LKB1-M-E	-0.101739883
MAPK_pT202_Y204-R-V	-0.425333275
MEK1-R-V	0.071961561
MEK1_pS217_S221-R-V	-0.115471438
MIG-6-M-V	0.0569210239999999
Mre11-R-C	-0.10929273
MSH2-M-V	0.0390189309999995
MSH6-R-C	0.0646126419999999
mTOR-R-V	0.464143457
mTOR_pS2448-R-C	0.028643878
MYH11-R-V	-0.743691204
Myosin-IIa_pS1943-R-V	-0.0938848420000001
N-Cadherin-R-V	0.075650643
N-Ras-M-V	-0.131591359
NDRG1_pT346-R-V	1.89947863
NF-kB-p65_pS536-R-C	-0.0901924160000003
NF2-R-C	0.27449795
Notch1-R-V	0.320901921
P-Cadherin-R-C	-0.0743302700000001
p21-R-V	-1.476114752
p27-R-V	-0.394422808
p27_pT157-R-C	-0.0571297110000001
p27_pT198-R-V	0.0911331949999999
p38_MAPK-R-V	0.22626753
p38_pT180_Y182-R-V	-0.0832659480000001
p53-R-E	-0.10401103
p62-LCK-ligand-M-C	0.227317804
p70S6K-R-V	0.0955953359999999
p70S6K_pT389-R-V	-0.0571463430000001
p90RSK-R-C	-0.122663188
p90RSK_pT359_S363-R-C	-0.435485375
PAI-1-M-E	-0.115523925
PARP_cleaved-M-E	-0.0813450130000002
Paxillin-R-C	0.345372741
PCNA-M-C	-0.0858515630000001
PDCD4-R-C	-0.602382441
PDK1-R-V	0.142036558
PDK1_pS241-R-V	0.0955125889999999
PEA15-R-V	0.0798294039999999
PEA15_pS116-R-V	0.393245142
PI3K-p110-alpha-R-C	-0.112788192
PI3K-p85-R-V	0.602318019
PKC-alpha-M-V	-0.53136272
PKC-alpha_pS657-R-C	-0.590317058
PKC-delta_pS664-R-V	0.140978856
PKC-pan_BetaII_pS660-R-V	0.216845815
PR-R-V	-0.00656433000000001
PRAS40_pT246-R-V	-0.029616977
PRDX1-R-V	0.37728152
PREX1-R-E	-0.126961805
PTEN-R-V	0.401994218
Rab11-R-E	0.1127406
Rab25-R-V	0.442694834
Rad50-M-V	-0.054559782
Rad51-R-V	-0.138701852
Raptor-R-V	0.127812473
Rb-M-E	-0.131911741
Rb_pS807_S811-R-V	-0.0290775800000003
RBM15-R-V	-0.173543278
Rictor-R-C	-0.324441556
Rictor_pT1135-R-V	0.127320881
S6-R-E	-0.212465681
S6_pS235_S236-R-V	-0.588269077
S6_pS240_S244-R-V	-0.304572478
SCD-M-V	-0.0783916790000001
SETD2-R-E	-0.218341232
SF2-M-V	-0.267105108
Shc_pY317-R-E	-0.167262123
Smac-M-E	-0.344650282
Smad1-R-V	0.00790808599999993
Smad3-R-V	-0.150285336
Smad4-M-V	-0.180437388
Snail-M-E	-0.0971407299999998
Src-M-V	-0.638935917
Src_pY416-R-C	-0.0582807620000001
Src_pY527-R-V	-0.879280871
STAT3_pY705-R-V	0.082051527
STAT5-alpha-R-V	0.399290667
Stathmin-R-V	-0.154631557
Syk-M-V	0.302785785
TAZ-R-V	-0.0142122240000001
TIGAR-R-V	0.115755499
Transglutaminase-M-V	-0.186644984
TFRC-R-V	0.389438124
TSC1-R-C	-0.114400439
TTF1-R-V	0.263776023
Tuberin-R-E	0.129157367
Tuberin_pT1462-R-V	-0.0468007510000001
VEGFR2-R-V	0.578847742
EPPK1-M-E	0.364896381
XBP1-G-C	0.0876221229999998
XRCC1-R-E	-0.00143181500000006
YAP-R-E	0.107189906
YAP_pS127-R-E	-0.127968595
YB-1-R-V	0.0356846039999999
YB-1_pS102-R-V	-0.169173269
JAB1-M-C	0.000534960999999834
PARP1-R-V	0.240627789
A-Raf-R-V	0.317125374
ARID1A-R-C	0.384824125
B-Raf_pS445-R-V	0.707041179
Bcl2A1-R-V	-0.155871614
BRD4-R-V	0.425515065
c-Abl-R-V	-0.0693589650000001
Caspase-3-R-C	-0.0689341990000001
CD26-R-V	-0.0544179390000001
Chk1_pS296-R-V	-0.0648658210000001
COG3-R-V	0.0873429969999999
DUSP4-R-V	-0.400643502
ERCC5-R-C	-0.658780199
IGF1R_pY1135_Y1136-R-V	-0.095496791
IRF-1-R-C	-0.0929883540000001
Jak2-R-V	0.139932492
p16_INK4a-R-V	0.317803495
SHP-2_pY542-R-C	-0.127702371
CDK1_pY15-R-C	-0.269091166
